candidate_status,source_name,source_type,source_tier,title,publication_or_organisation,publication_date_text,access_date,url,canonical_url,external_id,publicness_status,rights_access_status,narrative_type,secondary_role,australian_relation,humanoid_basis,source_label,location_text,location_role,latitude,longitude,location_precision,geocode_source,geocode_verification_status,coordinate_evidence_note,duplicate_check_status,quality_class,ethics_review_status,cultural_sensitivity,acceptance_decision,rejection_reason,evidence_summary
accepted,Australian Broadcasting Corporation,institutional_media_page,A,The stories of Australia's ghosts,Australian Broadcasting Corporation,2023-09-26,2026-06-22,https://www.abc.net.au/listen/programs/overnights/the-stories-of-australian-ghosts/102927054,https://www.abc.net.au/listen/programs/overnights/the-stories-of-australian-ghosts/102927054,public-page:https-www-abc-net-au-listen-programs:brisbane,public_web_page,public_access_short_excerpt_only,apparition_account,place_first_public_page_record,Exact ABC public pages rescanned with place-centred evidence excerpts for source-stated ghost-place units.,explicit_supernatural_or_anomalous_person_form_agent,ghosts,"Brisbane, QLD",apparition_location,-27.4689623,153.0235009,town,nominatim_openstreetmap_state_checked_public_page_2026-06-22,verified_gazetteer_point,"Public page text names `Brisbane` in a ghost/supernatural context; gazetteer result state-checked as Brisbane, Queensland, Australia.",canonical_url_external_id_and_excerpt_hash_checked,B,public_page_context_reviewed,low,accepted,,"The stories of Australia's ghosts - ABC listen Skip to main content Skip to listen navigation, settings and search Explore the ABC ABC listen Search Loading Program: The stories of Australia's ghosts Source:774 ABC Melbourne|Program:Overnights Wed 27 Sep 2023 at 2:00amWed 27 Sep 2023 at 2:00am Wed 27 Sep 2023 at 2:00am Space to play or pause, M to mute, left and right arrows to seek, up and down arrows for volume. Play Duration: 42 minutes 29 seconds42m Brought to you by 774 ABC Melbourne Presented by Michael Pavlich Every culture has its stories of ghosts and paranormal experiences. Australia is no exception and author Ben Pobjie has travelled the country gathering tales of spooky experiences from a haunted Brisbane lift to the ghostly black horse of Sutton Forest. Ben shares some of the stories from the resulting book, 100 Tales from Australia's Most Haunted Places. Credits Michael."
accepted,Australian Broadcasting Corporation,institutional_media_page,A,The stories of Australia's ghosts,Australian Broadcasting Corporation,2023-09-26,2026-06-22,https://www.abc.net.au/listen/programs/overnights/the-stories-of-australian-ghosts/102927054,https://www.abc.net.au/listen/programs/overnights/the-stories-of-australian-ghosts/102927054,public-page:https-www-abc-net-au-listen-programs:sutton-forest,public_web_page,public_access_short_excerpt_only,apparition_account,place_first_public_page_record,Exact ABC public pages rescanned with place-centred evidence excerpts for source-stated ghost-place units.,explicit_supernatural_or_anomalous_person_form_agent,ghosts,"Sutton Forest, NSW",apparition_location,-34.5672546,150.3212358,locality,nominatim_openstreetmap_state_checked_public_page_2026-06-22,verified_gazetteer_point,"Public page text names `Sutton Forest` in a ghost/supernatural context; gazetteer result state-checked as Sutton Forest, New South Wales, 2577, Australia.",canonical_url_external_id_and_excerpt_hash_checked,B,public_page_context_reviewed,low,accepted,,"The stories of Australia's ghosts - ABC listen Skip to main content Skip to listen navigation, settings and search Explore the ABC ABC listen Search Loading Program: The stories of Australia's ghosts Source:774 ABC Melbourne|Program:Overnights Wed 27 Sep 2023 at 2:00amWed 27 Sep 2023 at 2:00am Wed 27 Sep 2023 at 2:00am Space to play or pause, M to mute, left and right arrows to seek, up and down arrows for volume. Play Duration: 42 minutes 29 seconds42m Brought to you by 774 ABC Melbourne Presented by Michael Pavlich Every culture has its stories of ghosts and paranormal experiences. Australia is no exception and author Ben Pobjie has travelled the country gathering tales of spooky experiences from a haunted Brisbane lift to the ghostly black horse of Sutton Forest. Ben shares some of the stories from the resulting book, 100 Tales from Australia's Most Haunted Places. Credits Michael."
