candidate_status,source_name,source_type,source_tier,title,publication_or_organisation,publication_date_text,access_date,url,canonical_url,external_id,publicness_status,rights_access_status,narrative_type,secondary_role,australian_relation,humanoid_basis,source_label,location_text,location_role,latitude,longitude,location_precision,geocode_source,geocode_verification_status,coordinate_evidence_note,duplicate_check_status,quality_class,ethics_review_status,cultural_sensitivity,acceptance_decision,rejection_reason,evidence_summary
accepted,Australian Broadcasting Corporation,institutional_media_page,A,Dumbleyung Pub,Australian Broadcasting Corporation,2015-10-22,2026-06-22,https://www.abc.net.au/listen/programs/lifematters/dumbleyung-pub/6875282,https://www.abc.net.au/listen/programs/lifematters/dumbleyung-pub/6875282,public-page:https-www-abc-net-au-listen-programs:grand-olde-dumbleyung-in,public_media_page,public_access_short_excerpt_only,apparition_account,place_first_public_page_record,"Exact ABC public pages naming additional modern ghost and haunted-place narratives in WA, Tasmania, and South Australia.",explicit_supernatural_or_anomalous_person_form_agent,resident_ghost,"Grand Olde Dumbleyung Inn, WA",apparition_location,-33.3158771,117.7417032,exact_site,nominatim_openstreetmap_state_checked_public_page_2026-06-22,verified_gazetteer_point,"Public page text names `Grand Olde Dumbleyung Inn` in a ghost/supernatural context; gazetteer result state-checked as Grand Olde Dumbleyung Inn, Bartram Road, Dumbleyung, Western Australia, 6350, Australia.",canonical_url_external_id_and_excerpt_hash_checked,B,public_media_context_reviewed,low,accepted,,"Dumbleyung Pub - ABC listen Skip to main content Skip to listen navigation, settings and search Explore the ABC ABC listen Search Loading Program: Dumbleyung Pub Program:Life Matters Thu 22 Oct 2015 at 8:50pmThu 22 Oct 2015 at 8:50pm Thu 22 Oct 2015 at 8:50pm Space to play or pause, M to mute, left and right arrows to seek, up and down arrows for volume. Play Duration: 7 minutes 16 seconds7m Brought to you by ABC Radio National Presented by Natasha Mitchell Kaye Edwards has just turned seventy. She’s just got her first tattoo and she recently reopened a rundown old tavern in the tiny rural community of Dumbleyung in the Great Southern of Western Australia. And she’s turned it into a grand country pub once more, complete with fluffy towels and a friendly resident ghost. Kaye run pubs all over Western Australia – from Borden to Pingrup and Kulin and now the Grand Olde Dumbleyung Inn. And."
accepted,Australian Broadcasting Corporation,institutional_media_page,A,Haunted house sells for record price in Cowandilla,Australian Broadcasting Corporation,2024-07-11,2026-06-22,https://www.abc.net.au/listen/programs/adelaide-breakfast/haunted-house/104084330,https://www.abc.net.au/listen/programs/adelaide-breakfast/haunted-house/104084330,public-page:https-www-abc-net-au-listen-programs:cowandilla,public_media_page,public_access_short_excerpt_only,apparition_account,place_first_public_page_record,"Exact ABC public pages naming additional modern ghost and haunted-place narratives in WA, Tasmania, and South Australia.",explicit_supernatural_or_anomalous_person_form_agent,haunted_house,"Cowandilla, SA",apparition_location,-34.9324599,138.5569406,locality,nominatim_openstreetmap_state_checked_public_page_2026-06-22,verified_gazetteer_point,"Public page text names `Cowandilla` in a ghost/supernatural context; gazetteer result state-checked as Cowandilla, South Australia, 5033, Australia.",canonical_url_external_id_and_excerpt_hash_checked,B,public_media_context_reviewed,low,accepted,,"Haunted house sells for record price in Cowandilla - ABC listen Skip to main content Skip to listen navigation, settings and search Explore the ABC ABC listen Search Loading Program: Haunted house sells for record price in Cowandilla Source:891 ABC Adelaide|Program:Adelaide Breakfast Thu 11 Jul 2024 at 6:00amThu 11 Jul 2024 at 6:00am Thu 11 Jul 2024 at 6:00am Space to play or pause, M to mute, left and right arrows to seek, up and down arrows for volume. Play Duration: 2 minutes 17 seconds2m 17s Brought to you by 891 ABC Adelaide Presented by Sonya Feldhoff and Jules Schiller Bobby Macumber Cowandilla House, advertised as possessing the ghost of a young girl, has set a suburb record at sale in Adelaide's western suburbs. ""If you've driven to the airport, no doubt you've driven past this house many times"", said 891 ABC Radio Adelaide Roving Reporter, Bobby Macumber. ""Mister Turner's."
accepted,Australian Broadcasting Corporation,institutional_media_page,A,TV ghost buster Ben Hansen investigates Adelaide's popular haunts,Australian Broadcasting Corporation,2015-05-14,2026-06-22,https://www.abc.net.au/news/2015-05-14/syfy-ghost-buster-ben-hansen-investigates-adelaides-haunts/6467530,https://www.abc.net.au/news/2015-05-14/syfy-ghost-buster-ben-hansen-investigates-adelaides-haunts/6467530,public-page:https-www-abc-net-au-news-2015-05-14:old-tailem-town,public_media_page,public_access_short_excerpt_only,apparition_account,place_first_public_page_record,"Exact ABC public pages naming additional modern ghost and haunted-place narratives in WA, Tasmania, and South Australia.",explicit_supernatural_or_anomalous_person_form_agent,ghost,"Old Tailem Town, SA",apparition_location,-35.2249640,139.4214197,exact_site,nominatim_openstreetmap_state_checked_public_page_2026-06-22,verified_gazetteer_point,"Public page text names `Old Tailem Town` in a ghost/supernatural context; gazetteer result state-checked as Old Tailem Town, Princes Highway, Tailem Bend, South Australia, 5260, Australia.",canonical_url_external_id_and_excerpt_hash_checked,B,public_media_context_reviewed,low,accepted,,"TV ghost buster Ben Hansen investigates Adelaide's popular haunts - ABC News Skip to main content Skip to news navigation, settings and search Explore the ABC ABC News News Home TV ghost buster Ben Hansen investigates Adelaide's popular haunts ShareShare article TV ghost buster Ben Hansen investigates Adelaide's popular haunts B By Brett Williamson 891 ABC Adelaide Topic:Human Interest Thu 14 May 2015 at 8:10pmThu 14 May 2015 at 8:10pm Thu 14 May 2015 at 8:10pm Ben Hansen will visit Adelaide's former Glenside asylum, Old Tailem Town and National Railway Museum to conduct investigations. (Supplied: Access Paranormal) abc.net.au/news/syfy-ghost-buster-ben-hansen-investigates-adelaides-haunts/6467530 Link copied ShareShare article The SyFy channel's Ben Hansen, host of Fact or Faked: Paranormal Files will be touring three of Adelaide's most paranormally active sites this weekend. The."
accepted,Australian Broadcasting Corporation,institutional_media_page,A,Celebrating the history of the Theatre Royal,Australian Broadcasting Corporation,2018-07-29,2026-06-22,https://www.abc.net.au/hobart/air:-gae-williams-theatre-royal/10048768,https://www.abc.net.au/hobart/air:-gae-williams-theatre-royal/10048768,public-page:https-www-abc-net-au-hobart-air-gae:theatre-royal-hobart,public_media_page,public_access_short_excerpt_only,apparition_account,place_first_public_page_record,"Exact ABC public pages naming additional modern ghost and haunted-place narratives in WA, Tasmania, and South Australia.",explicit_supernatural_or_anomalous_person_form_agent,resident_ghost,"Theatre Royal Hobart, TAS",apparition_location,-42.8795092,147.3311803,exact_site,nominatim_openstreetmap_state_checked_public_page_2026-06-22,verified_gazetteer_point,"Public page text names `Theatre Royal` in a ghost/supernatural context; gazetteer result state-checked as Theatre Royal, Sun Street, Hobart, Tasmania, 7000, Australia.",canonical_url_external_id_and_excerpt_hash_checked,B,public_media_context_reviewed,low,accepted,,"Celebrating the history of the Theatre Royal. - ABC Hobart Skip to main content More from ABC Search Loading HOBART Program: Celebrating the history of the Theatre Royal. Sun 29 Jul 2018 at 10:00amSun 29 Jul 2018 at 10:00am Sun 29 Jul 2018 at 10:00am Space to play or pause, M to mute, left and right arrows to seek, up and down arrows for volume. Play Duration: 14 minutes 58 seconds14m When the Theatre Royal was nearly gutted by fire in 1984 many credited Fred – the resident ghost, with saving one of the Nation’s most significant and beautiful historic buildings. Now - some 34 years after the blaze – as the theatre enters a period of refurbishment – it seems timely to reflect on Australia’s oldest working theatre and celebrate its rich past. Gae Williams is with the Friends of the Theatre Royal and recently spoke with Paul McIntyre, who began by asking her about the most memorable."
accepted,Australian Broadcasting Corporation,institutional_media_page,A,Dig to unearth Tas convict ghost tales,Australian Broadcasting Corporation,2004-01-02,2026-06-22,https://www.abc.net.au/news/2004-01-02/dig-to-unearth-tas-convict-ghost-tales/114104,https://www.abc.net.au/news/2004-01-02/dig-to-unearth-tas-convict-ghost-tales/114104,public-page:https-www-abc-net-au-news-2004-01-02:isle-of-the-dead,public_media_page,public_access_short_excerpt_only,apparition_account,place_first_public_page_record,"Exact ABC public pages naming additional modern ghost and haunted-place narratives in WA, Tasmania, and South Australia.",explicit_supernatural_or_anomalous_person_form_agent,ghost,"Isle of the Dead, TAS",apparition_location,-43.1492718,147.8675721,exact_site,nominatim_openstreetmap_state_checked_public_page_2026-06-22,verified_gazetteer_point,"Public page text names `Isle of the Dead` in a ghost/supernatural context; gazetteer result state-checked as Isle of the Dead, Point Puer Track, Port Arthur, Tasmania, 7182, Australia.",canonical_url_external_id_and_excerpt_hash_checked,B,public_media_context_reviewed,low,accepted,,"Dig to unearth Tas convict ghost tales - ABC News Skip to main content Skip to news navigation, settings and search Explore the ABC ABC News News Home Dig to unearth Tas convict ghost tales ShareShare article Dig to unearth Tas convict ghost tales Topic:Archaeology Fri 2 Jan 2004 at 8:41amFri 2 Jan 2004 at 8:41am Fri 2 Jan 2004 at 8:41am abc.net.au/news/dig-to-unearth-tas-convict-ghost-tales/114104 Link copied ShareShare article Archaeologists are planning a dig at one of Tasmania's oldest and most mysterious burial grounds. The Isle of the Dead at Port Arthur, the focus of many myths and ghost stories, will be unearthed early this year. About 1,200 convicts and free settlers are believed to have been buried on the island during the 19th century. Archaeologist Greg Jackman plans to dispel or verify some of these myths when the dig begins next month. ""The island is a place where myths."
