candidate_status,source_name,source_type,source_tier,title,publication_or_organisation,publication_date_text,access_date,url,canonical_url,external_id,publicness_status,rights_access_status,narrative_type,secondary_role,australian_relation,humanoid_basis,source_label,location_text,location_role,latitude,longitude,location_precision,geocode_source,geocode_verification_status,coordinate_evidence_note,duplicate_check_status,quality_class,ethics_review_status,cultural_sensitivity,acceptance_decision,rejection_reason,evidence_summary
accepted,Project Gutenberg,public_domain_ebook,B,ghost in While the Billy Boils,While the Billy Boils; Henry Lawson,1896,2026-06-22,https://www.gutenberg.org/ebooks/7144.txt.utf-8,https://www.gutenberg.org/ebooks/7144.txt.utf-8,sprint-mapfirst-gutenberg-la:gutenberg-7144-while-billy-b:ghost:367dbcdb3dfb9149,public_domain_public_web,public_access_text_available,apparition_account,source_grounded_section_record,Public-domain New South Wales story collection with source-stated Bourke passages; accepted rows require scoped supernatural/person-form evidence.,explicit_supernatural_or_anomalous_person_form_agent,ghost,"Bourke, NSW",narrative_setting,-29.9960307,145.2940392,locality,nominatim_openstreetmap_state_matched,verified_gazetteer_point,Exact text block names Bourke; coordinate uses previously verified Bourke locality row.,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"yer pecker up, young 'un!” IN A WET SEASON It was raining--“general rain.” The train left Bourke, and then there began the long, long agony of scrub and wire fence, with here and there a natural clearing, which seemed even more dismal than the funereal “timber” itself. The only thing which might seem in keeping with one of these soddened flats would be the ghost of a funeral--a city funeral with plain hearse and string of cabs--going very slowly across from the scrub on one side to the scrub on the other. Sky like a wet, grey blanket; plains like dead seas, save for the tufts of coarse grass sticking up out of the water; scrub."
rejected,Project Gutenberg,public_domain_ebook,B,devil in While the Billy Boils,While the Billy Boils; Henry Lawson,1896,2026-06-22,https://www.gutenberg.org/ebooks/7144.txt.utf-8,https://www.gutenberg.org/ebooks/7144.txt.utf-8,sprint-mapfirst-gutenberg-la:gutenberg-7144-while-billy-b:devil:dcb66360728029fc,public_domain_public_web,public_access_text_available,descriptive_belief_record,context_only,Public-domain New South Wales story collection with source-stated Bourke passages; accepted rows require scoped supernatural/person-form evidence.,idiomatic_or_non_scope_term_use,devil,"Bourke, NSW",narrative_setting,-29.9960307,145.2940392,locality,nominatim_openstreetmap_state_matched,verified_gazetteer_point,Exact text block names Bourke; coordinate uses previously verified Bourke locality row.,source_url_external_id_and_excerpt_hash_checked,reviewed_context,public_context_reviewed,moderate,not_accepted,rejected,"every scrap of print within reach, and now lies on his side, with his face to the wall and one arm thrown up over his head; the jumper is twisted back, and leaves his skin bare from hip to arm-pit. His lower face is brutal, his eyes small and shifty, and ugly straight lines run across his low forehead. He says very little, but scowls most of the time--poor devil. He might be, or at least _seem_, a totally different man under more favourable conditions. He is probably a free labourer. A very sick jackaroo lies in one of the bunks. A sandy, sawney-looking Bourke native takes great interest in this wreck; watches his every movement."
