label,count_family,metric,count,source,notes
local_rule_map_eligible_narrative_locations,mapped_public_record_counts,local_rule_map_eligible_narrative_locations,1098,narrative_locations JOIN locations JOIN narrative_units,Local rule denominator=4393; do not substitute for frontend map count.
local_rule_map_eligibility_share_pct,mapped_public_record_counts,local_rule_map_eligibility_share_pct,24.99,narrative_locations JOIN locations JOIN narrative_units,
canonical_frontend_public_records,mapped_public_record_counts,canonical_frontend_public_records,4265,data/processed/v2/canonical_count_reconciliation.csv,
canonical_frontend_public_map_rows,mapped_public_record_counts,canonical_frontend_public_map_rows,1593,data/processed/v2/canonical_count_reconciliation.csv,
