query_id,query_string,date_start,date_end,source_name,expected_noise_level,manual_search_url,notes
40,"""Yahoo-devil-devil""",1842,1875,Trove Magazines and Newsletters,low,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Yahoo-devil-devil%22,Early anchor period; generated from alias Yahoo-devil-devil.
41,"""Yahoo-devil-devil""",1876,1969,Trove Newspapers and Gazettes,low,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Yahoo-devil-devil%22,Pre-modern newspaper and publication expansion; generated from alias Yahoo-devil-devil.
42,"""Yahoo-devil-devil""",1876,1969,Trove Magazines and Newsletters,low,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Yahoo-devil-devil%22,Pre-modern newspaper and publication expansion; generated from alias Yahoo-devil-devil.
47,"""Yahoo-devil-devil""",1970,present,Trove Magazines and Newsletters,low,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Yahoo-devil-devil%22,"Modern Yowie, heritage, tourism, and media period; generated from alias Yahoo-devil-devil."
48,"""Yahoo-devil-devil""",1970,present,Trove Newspapers and Gazettes,low,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Yahoo-devil-devil%22,"Modern Yowie, heritage, tourism, and media period; generated from alias Yahoo-devil-devil."
49,"""Yahoo"" AND (""hairy man"" OR Yowie OR ""devil-devil"" OR Aboriginal OR Australia)",1803,1841,Trove Newspapers and Gazettes,extreme,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Yahoo%22+AND+%28%22hairy+man%22+OR+Yowie+OR+%22devil-devil%22+OR+Aboriginal+OR+Australia%29,Retrospective Trove backsearch window; generated from alias Yahoo.
50,"""Yahoo"" AND (""hairy man"" OR Yowie OR ""devil-devil"" OR Aboriginal OR Australia)",1803,1841,Trove Magazines and Newsletters,extreme,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Yahoo%22+AND+%28%22hairy+man%22+OR+Yowie+OR+%22devil-devil%22+OR+Aboriginal+OR+Australia%29,Retrospective Trove backsearch window; generated from alias Yahoo.
51,"""Yahoo"" AND (""hairy man"" OR Yowie OR ""devil-devil"" OR Aboriginal OR Australia)",1842,1875,Trove Newspapers and Gazettes,extreme,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Yahoo%22+AND+%28%22hairy+man%22+OR+Yowie+OR+%22devil-devil%22+OR+Aboriginal+OR+Australia%29,Early anchor period; generated from alias Yahoo.
52,"""Yahoo"" AND (""hairy man"" OR Yowie OR ""devil-devil"" OR Aboriginal OR Australia)",1842,1875,Trove Magazines and Newsletters,extreme,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Yahoo%22+AND+%28%22hairy+man%22+OR+Yowie+OR+%22devil-devil%22+OR+Aboriginal+OR+Australia%29,Early anchor period; generated from alias Yahoo.
53,"""Yahoo-devil-devil""",1842,1875,Trove Newspapers and Gazettes,extreme,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Yahoo-devil-devil%22,Early anchor period; generated from alias Yahoo.
54,"""Yahoo-devil-devil""",1842,1875,Trove Magazines and Newsletters,extreme,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Yahoo-devil-devil%22,Early anchor period; generated from alias Yahoo.
55,"""Yahoo"" AND (""hairy man"" OR Yowie OR ""devil-devil"" OR Aboriginal OR Australia)",1876,1969,Trove Newspapers and Gazettes,extreme,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Yahoo%22+AND+%28%22hairy+man%22+OR+Yowie+OR+%22devil-devil%22+OR+Aboriginal+OR+Australia%29,Pre-modern newspaper and publication expansion; generated from alias Yahoo.
56,"""Yahoo"" AND (""hairy man"" OR Yowie OR ""devil-devil"" OR Aboriginal OR Australia)",1876,1969,Trove Magazines and Newsletters,extreme,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Yahoo%22+AND+%28%22hairy+man%22+OR+Yowie+OR+%22devil-devil%22+OR+Aboriginal+OR+Australia%29,Pre-modern newspaper and publication expansion; generated from alias Yahoo.
57,"""Yahoo-devil-devil""",1876,1969,Trove Newspapers and Gazettes,extreme,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Yahoo-devil-devil%22,Pre-modern newspaper and publication expansion; generated from alias Yahoo.
58,"""Yahoo-devil-devil""",1876,1969,Trove Magazines and Newsletters,extreme,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Yahoo-devil-devil%22,Pre-modern newspaper and publication expansion; generated from alias Yahoo.
63,"""Yahoo"" AND (""hairy man"" OR Yowie OR ""devil-devil"" OR Aboriginal OR Australia)",1970,present,Trove Magazines and Newsletters,extreme,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Yahoo%22+AND+%28%22hairy+man%22+OR+Yowie+OR+%22devil-devil%22+OR+Aboriginal+OR+Australia%29,"Modern Yowie, heritage, tourism, and media period; generated from alias Yahoo."
64,"""Yahoo"" AND (""hairy man"" OR Yowie OR ""devil-devil"" OR Aboriginal OR Australia)",1970,present,Trove Newspapers and Gazettes,extreme,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Yahoo%22+AND+%28%22hairy+man%22+OR+Yowie+OR+%22devil-devil%22+OR+Aboriginal+OR+Australia%29,"Modern Yowie, heritage, tourism, and media period; generated from alias Yahoo."
69,"""Yahoo-devil-devil""",1970,present,Trove Magazines and Newsletters,extreme,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Yahoo-devil-devil%22,"Modern Yowie, heritage, tourism, and media period; generated from alias Yahoo."
70,"""Yahoo-devil-devil""",1970,present,Trove Newspapers and Gazettes,extreme,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Yahoo-devil-devil%22,"Modern Yowie, heritage, tourism, and media period; generated from alias Yahoo."
71,"""Hairy Man of the Wood""",1803,1841,Trove Newspapers and Gazettes,high,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Hairy+Man+of+the+Wood%22,Retrospective Trove backsearch window; generated from alias Hairy Man.
72,"""Hairy Man of the Wood""",1803,1841,Trove Magazines and Newsletters,high,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Hairy+Man+of+the+Wood%22,Retrospective Trove backsearch window; generated from alias Hairy Man.
73,"""Hairy Man of the Wood""",1842,1875,Trove Newspapers and Gazettes,low,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Hairy+Man+of+the+Wood%22,Early anchor period; generated from alias Hairy Man of the Wood.
74,"""Hairy Man of the Wood""",1842,1875,Trove Magazines and Newsletters,low,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Hairy+Man+of+the+Wood%22,Early anchor period; generated from alias Hairy Man of the Wood.
75,"""Hairy Man of the Wood""",1876,1969,Trove Newspapers and Gazettes,low,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Hairy+Man+of+the+Wood%22,Pre-modern newspaper and publication expansion; generated from alias Hairy Man of the Wood.
76,"""Hairy Man of the Wood""",1876,1969,Trove Magazines and Newsletters,low,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Hairy+Man+of+the+Wood%22,Pre-modern newspaper and publication expansion; generated from alias Hairy Man of the Wood.
81,"""Hairy Man of the Wood""",1970,present,Trove Magazines and Newsletters,low,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Hairy+Man+of+the+Wood%22,"Modern Yowie, heritage, tourism, and media period; generated from alias Hairy Man of the Wood."
82,"""Hairy Man of the Wood""",1970,present,Trove Newspapers and Gazettes,low,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Hairy+Man+of+the+Wood%22,"Modern Yowie, heritage, tourism, and media period; generated from alias Hairy Man of the Wood."
83,"""Hairy Man"" AND (Yowie OR Yahoo OR Australia OR Aboriginal OR bush)",1803,1841,Trove Newspapers and Gazettes,high,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Hairy+Man%22+AND+%28Yowie+OR+Yahoo+OR+Australia+OR+Aboriginal+OR+bush%29,Retrospective Trove backsearch window; generated from alias Hairy Man.
84,"""Hairy Man"" AND (Yowie OR Yahoo OR Australia OR Aboriginal OR bush)",1803,1841,Trove Magazines and Newsletters,high,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Hairy+Man%22+AND+%28Yowie+OR+Yahoo+OR+Australia+OR+Aboriginal+OR+bush%29,Retrospective Trove backsearch window; generated from alias Hairy Man.
85,"""Hairy Man"" AND (Yowie OR Yahoo OR Australia OR Aboriginal OR bush)",1842,1875,Trove Newspapers and Gazettes,high,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Hairy+Man%22+AND+%28Yowie+OR+Yahoo+OR+Australia+OR+Aboriginal+OR+bush%29,Early anchor period; generated from alias Hairy Man.
86,"""Hairy Man"" AND (Yowie OR Yahoo OR Australia OR Aboriginal OR bush)",1842,1875,Trove Magazines and Newsletters,high,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Hairy+Man%22+AND+%28Yowie+OR+Yahoo+OR+Australia+OR+Aboriginal+OR+bush%29,Early anchor period; generated from alias Hairy Man.
87,"""Hairy Man of the Wood""",1842,1875,Trove Newspapers and Gazettes,high,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Hairy+Man+of+the+Wood%22,Early anchor period; generated from alias Hairy Man.
88,"""Hairy Man of the Wood""",1842,1875,Trove Magazines and Newsletters,high,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Hairy+Man+of+the+Wood%22,Early anchor period; generated from alias Hairy Man.
89,"""Hairy Man"" AND (Yowie OR Yahoo OR Australia OR Aboriginal OR bush)",1876,1969,Trove Newspapers and Gazettes,high,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Hairy+Man%22+AND+%28Yowie+OR+Yahoo+OR+Australia+OR+Aboriginal+OR+bush%29,Pre-modern newspaper and publication expansion; generated from alias Hairy Man.
90,"""Hairy Man"" AND (Yowie OR Yahoo OR Australia OR Aboriginal OR bush)",1876,1969,Trove Magazines and Newsletters,high,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Hairy+Man%22+AND+%28Yowie+OR+Yahoo+OR+Australia+OR+Aboriginal+OR+bush%29,Pre-modern newspaper and publication expansion; generated from alias Hairy Man.
91,"""Hairy Man of the Wood""",1876,1969,Trove Newspapers and Gazettes,high,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Hairy+Man+of+the+Wood%22,Pre-modern newspaper and publication expansion; generated from alias Hairy Man.
92,"""Hairy Man of the Wood""",1876,1969,Trove Magazines and Newsletters,high,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Hairy+Man+of+the+Wood%22,Pre-modern newspaper and publication expansion; generated from alias Hairy Man.
97,"""Hairy Man"" AND (Yowie OR Yahoo OR Australia OR Aboriginal OR bush)",1970,present,Trove Magazines and Newsletters,high,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Hairy+Man%22+AND+%28Yowie+OR+Yahoo+OR+Australia+OR+Aboriginal+OR+bush%29,"Modern Yowie, heritage, tourism, and media period; generated from alias Hairy Man."
98,"""Hairy Man"" AND (Yowie OR Yahoo OR Australia OR Aboriginal OR bush)",1970,present,Trove Newspapers and Gazettes,high,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Hairy+Man%22+AND+%28Yowie+OR+Yahoo+OR+Australia+OR+Aboriginal+OR+bush%29,"Modern Yowie, heritage, tourism, and media period; generated from alias Hairy Man."
103,"""Hairy Man of the Wood""",1970,present,Trove Magazines and Newsletters,high,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Hairy+Man+of+the+Wood%22,"Modern Yowie, heritage, tourism, and media period; generated from alias Hairy Man."
