generated_at,url,http_status,title,text_length,matched_terms,supernatural_terms,person_form_terms,lead_status,review_note,snippet
2026-06-21T14:34:31+00:00,https://libraries.tas.gov.au/allport-library-and-museum-of-fine-arts/,200,Allport Library and Museum of Fine Arts - Libraries Tasmania,5674,man,,man,weak_lead,"Review for person-form narrative, location role, source publicness, and duplication before seeding. Tourism pages are discovery-only unless backed by an institutional, archival, newspaper, book, or community-controlled public source.","Allport Library and Museum of Fine Arts - Libraries Tasmania Skip to main content Join Locations + Hours Search My Account Menu Using the library Membership and borrowing Book Groups Copies from our collections Home Library Service Internet access Library app Meeting rooms for hire Tell us or contribute Get help General enquiries Research and finding information Lifelong learning Reading, writing and maths help Study"
2026-06-21T14:34:31+00:00,https://libraries.tas.gov.au/allport-library-and-museum-of-fine-arts/friends-of-the-allport/,,,0,,,,fetch_failed,"HTTPSConnectionPool(host='libraries.tas.gov.au', port=443): Max retries exceeded with url: /allport-library-and-museum-of-fine-arts/friends-of-the-allport/ (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1028)')))",
2026-06-21T14:34:31+00:00,https://libraries.tas.gov.au/allport-library-and-museum-of-fine-arts/goulds-sketchbook-of-fishes/,200,Gould's Sketchbook of fishes - Libraries Tasmania,6176,man;convict,,man;convict,weak_lead,"Review for person-form narrative, location role, source publicness, and duplication before seeding. Tourism pages are discovery-only unless backed by an institutional, archival, newspaper, book, or community-controlled public source.","Gould's Sketchbook of fishes - Libraries Tasmania Skip to main content Join Locations + Hours Search My Account Menu Using the library Membership and borrowing Book Groups Copies from our collections Home Library Service Internet access Library app Meeting rooms for hire Tell us or contribute Get help General enquiries Research and finding information Lifelong learning Reading, writing and maths help Study support wi"
2026-06-21T14:34:32+00:00,https://libraries.tas.gov.au/allport-library-and-museum-of-fine-arts/who-were-the-allports/,200,Who were the Allports? - Libraries Tasmania,8958,man,,man,weak_lead,"Review for person-form narrative, location role, source publicness, and duplication before seeding. Tourism pages are discovery-only unless backed by an institutional, archival, newspaper, book, or community-controlled public source.","Who were the Allports? - Libraries Tasmania Skip to main content Join Locations + Hours Search My Account Menu Using the library Membership and borrowing Book Groups Copies from our collections Home Library Service Internet access Library app Meeting rooms for hire Tell us or contribute Get help General enquiries Research and finding information Lifelong learning Reading, writing and maths help Study support with Stu"
2026-06-21T14:34:32+00:00,https://libraries.tas.gov.au/annual-events/,200,Annual events - Libraries Tasmania,5001,man,,man,weak_lead,"Review for person-form narrative, location role, source publicness, and duplication before seeding. Tourism pages are discovery-only unless backed by an institutional, archival, newspaper, book, or community-controlled public source.","Annual events - Libraries Tasmania Skip to main content Join Locations + Hours Search My Account Menu Using the library Membership and borrowing Book Groups Copies from our collections Home Library Service Internet access Library app Meeting rooms for hire Tell us or contribute Get help General enquiries Research and finding information Lifelong learning Reading, writing and maths help Study support with Studiosity D"
2026-06-21T14:34:33+00:00,https://libraries.tas.gov.au/big-summer-read/,200,The Big Summer Read - Libraries Tasmania,9660,man,,man,weak_lead,"Review for person-form narrative, location role, source publicness, and duplication before seeding. Tourism pages are discovery-only unless backed by an institutional, archival, newspaper, book, or community-controlled public source.","The Big Summer Read - Libraries Tasmania Skip to main content Join Locations + Hours Search My Account Menu Using the library Membership and borrowing Book Groups Copies from our collections Home Library Service Internet access Library app Meeting rooms for hire Tell us or contribute Get help General enquiries Research and finding information Lifelong learning Reading, writing and maths help Study support with Studio"
2026-06-21T14:34:33+00:00,https://libraries.tas.gov.au/bookweek/,,,0,,,,fetch_failed,"HTTPSConnectionPool(host='libraries.tas.gov.au', port=443): Max retries exceeded with url: /bookweek/ (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1028)')))",
2026-06-21T14:34:34+00:00,https://libraries.tas.gov.au/communityoacs/,200,Community-managed Online Access Centres - Libraries Tasmania,5290,man,,man,weak_lead,"Review for person-form narrative, location role, source publicness, and duplication before seeding. Tourism pages are discovery-only unless backed by an institutional, archival, newspaper, book, or community-controlled public source.","Community-managed Online Access Centres - Libraries Tasmania Skip to main content Join Locations + Hours Search My Account Menu Using the library Membership and borrowing Book Groups Copies from our collections Home Library Service Internet access Library app Meeting rooms for hire Tell us or contribute Get help General enquiries Research and finding information Lifelong learning Reading, writing and maths help Study"
2026-06-21T14:34:34+00:00,https://libraries.tas.gov.au/communityoacs/beaconsfield-online-access-centre/,200,Beaconsfield online access centre - Libraries Tasmania,5756,man,,man,weak_lead,"Review for person-form narrative, location role, source publicness, and duplication before seeding. Tourism pages are discovery-only unless backed by an institutional, archival, newspaper, book, or community-controlled public source.","Beaconsfield online access centre - Libraries Tasmania Skip to main content Join Locations + Hours Search My Account Menu Using the library Membership and borrowing Book Groups Copies from our collections Home Library Service Internet access Library app Meeting rooms for hire Tell us or contribute Get help General enquiries Research and finding information Lifelong learning Reading, writing and maths help Study suppo"
2026-06-21T14:34:34+00:00,https://libraries.tas.gov.au/communityoacs/derwent-valley-online-access-centre/,,,0,,,,fetch_failed,"HTTPSConnectionPool(host='libraries.tas.gov.au', port=443): Max retries exceeded with url: /communityoacs/derwent-valley-online-access-centre/ (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1028)')))",
