status,record_id,skip_reason,state_code,year,title,url,place_name,date_band
inserted,14,,WA,1983,"Kalamundra, Western Australia 1983",https://www.yowiehunters.com.au/western-australia/1135-kalamundra-1983,Kalamundra,modern_1970_present
inserted,15,,WA,1991,"Australind, Western Australia 1991",https://www.yowiehunters.com.au/western-australia/1812-australind-western-australia-1991,Australind,modern_1970_present
inserted,16,,WA,1993,"Exmouth, Western Australia 1993",https://www.yowiehunters.com.au/western-australia/2016-exmouth-western-australia-1993,Exmouth,modern_1970_present
inserted,17,,WA,2000,"Coral Bay, Western Australia 2000",https://www.yowiehunters.com.au/western-australia/1146-coral-bay-2000,Corel Bay,modern_1970_present
inserted,18,,WA,2000,"Lancedin, Western Australia 2000",https://www.yowiehunters.com.au/western-australia/2297-lancedin-western-australia-2000,Lancelin,modern_1970_present
inserted,19,,WA,2008,"Greenbushes, Western Australia 2008",https://www.yowiehunters.com.au/western-australia/2030-greenbushes-western-australia-2008,Greenbushes,modern_1970_present
inserted,20,,WA,2011,"Donnybrook, Western Australia 2011",https://www.yowiehunters.com.au/western-australia/1676-donnybrook-western-australia-2011,Donnybrook,modern_1970_present
inserted,21,,WA,2011,"Mandurah, Western Australia 2011",https://www.yowiehunters.com.au/western-australia/1831-mandurah-western-australia-2011,Mandurah,modern_1970_present
inserted,22,,WA,2020,"Jarrahdale, Western Australia 2020",https://www.yowiehunters.com.au/western-australia/2250-jarrahdale-western-australia-2020,Jarrahdale,modern_1970_present
inserted,23,,WA,2022,"Alcoa Wetlands, Western Australia 2022",https://www.yowiehunters.com.au/western-australia/2292-alcoa-wetlands-western-australia-2022,Alcoa Wetlands,modern_1970_present
inserted,24,,SA,1992,"Willunga, South Australia 1992",https://www.yowiehunters.com.au/south-australia/241-willungra-1992,Willunga,modern_1970_present
inserted,25,,SA,1992,"Yalata, South Australia 1993",https://www.yowiehunters.com.au/south-australia/1849-yalata-south-australia-1993,Yalata,modern_1970_present
inserted,26,,SA,1995,"Roxby Downs, South Australia 1995",https://www.yowiehunters.com.au/south-australia/1144-roxby-downs-1995,Roxby Downs,modern_1970_present
inserted,27,,SA,2014,"Wilpena Pound, South Australia 2014",https://www.yowiehunters.com.au/south-australia/1805-wilpena-pound-south-australia-2014,Wilpena Pound,modern_1970_present
inserted,28,,SA,2015,"Sixth Creek - Adelaide Hills, South Australia 2015",https://www.yowiehunters.com.au/south-australia/1882-sixth-creek-adelaide-hills-south-australia-2015,Sixth Creek,modern_1970_present
inserted,29,,SA,2016,"Loxton, South Australia 2016",https://www.yowiehunters.com.au/south-australia/1856-loxton-south-australia-2016,Loxton,modern_1970_present
inserted,30,,SA,2016,"Poochera, South Australia 2016",https://www.yowiehunters.com.au/south-australia/1969-poochera-south-australia-2016,Poochera,modern_1970_present
inserted,31,,NT,1979,"Darwin (Fannie Bay), Northern Territory 1979",https://www.yowiehunters.com.au/northern-territory/2138-darwin-fannie-bay-northern-territory-1979,Darwin – Fannie Bay,modern_1970_present
inserted,32,,NT,1987,"Yambah Station, Northern Territory 1987",https://www.yowiehunters.com.au/northern-territory/271-yambah-station-1987,Yambah Station,modern_1970_present
inserted,33,,NT,1995,"Berry Springs, Northern Territory 1995",https://www.yowiehunters.com.au/northern-territory/1912-berry-springs-northern-territory-1995,Berry Springs,modern_1970_present
inserted,34,,NT,1997,"Acacia Hills, Northern Territory 1997 (1)",https://www.yowiehunters.com.au/northern-territory/270-acacia-hills-1997-sp-8502,Acacia Hills,modern_1970_present
inserted,35,,NT,1997,"Acacia Hills, Northern Territory 1997 (2)",https://www.yowiehunters.com.au/northern-territory/268-acacia-hills-1998,Acacia Hills,modern_1970_present
inserted,36,,NT,1998,"Acacia Hills & Humpty Doo, Northern Territory 1998",https://www.yowiehunters.com.au/northern-territory/2291-acacia-ridge-humpty-doo-northern-territory-1998,Acacia Hills,modern_1970_present
inserted,37,,NT,1998,"Adelaide River, Northern Territory 1998",https://www.yowiehunters.com.au/northern-territory/267-adelaide-river-1998,Adelaide River,modern_1970_present
inserted,38,,NT,1998,"Tanima Desert, Northern Territory 1998",https://www.yowiehunters.com.au/northern-territory/1242-tanima-desert-nt-1998,Tanima Desert,modern_1970_present
inserted,39,,NT,2001,"Kings Canyon, Northern Territory 2001",https://www.yowiehunters.com.au/northern-territory/1552-kings-canyon-northern-territory-2001,Kings Canyon,modern_1970_present
inserted,40,,TAS,1987,"Lake Dulverton, Tasmania 1987 (1)",https://www.yowiehunters.com.au/tasmania/273-lake-dulverton-jan-1987,Lake Dulverton,modern_1970_present
inserted,41,,TAS,1987,"Lake Dulverton, Tasmania 1987 (2)",https://www.yowiehunters.com.au/tasmania/1240-lake-dulverton-tas-1987-2,Launceston,modern_1970_present
inserted,42,,TAS,1992,"Smithton, Tasmania 1992",https://www.yowiehunters.com.au/tasmania/2028-smithton-tasmania-1992,Smithton,modern_1970_present
inserted,43,,TAS,2024,"Christmas Hills Reserve, Tasmania 2024",https://www.yowiehunters.com.au/tasmania/2274-christmas-hills-reserve-tasmania-2024,Christmas Hills Reserve,modern_1970_present
inserted,44,,VIC,1849,"Phillip Island, Victoria 1849",https://www.yowiehunters.com.au/victoria/1259-phillip-island-vic-1849,Phillip Island,anchor_1842_1875
inserted,45,,VIC,1970,"Sherbrooke Forest, Victoria 1970",https://www.yowiehunters.com.au/victoria/2174-sherbrooke-forest-victoria-1970,Sherbrooke Forest,modern_1970_present
inserted,46,,VIC,1980,"Colac, Victoria 1980",https://www.yowiehunters.com.au/victoria/1593-colac-victoria-1980,Colac,modern_1970_present
inserted,47,,VIC,1985,"Kinglake West & Eden Park, Victoria late 1980's",https://www.yowiehunters.com.au/victoria/2284-kinglake-west-eden-park-victoria-late-1980s,Kinglake West and Eden Park,modern_1970_present
inserted,48,,VIC,1982,"Cranbourne, Victoria 1982",https://www.yowiehunters.com.au/victoria/1244-cranbourne-vic-1982,Cranbourne,modern_1970_present
inserted,49,,VIC,1984,"Noojee, Victoria 1984",https://www.yowiehunters.com.au/victoria/1257-noojee-vic-1984,Noojee,modern_1970_present
inserted,50,,VIC,1984,"Toolangi, Victoria 1984",https://www.yowiehunters.com.au/victoria/1680-toolangi-victoria-1984,Toolangi State Forest,modern_1970_present
inserted,51,,VIC,1985,"Avonsleigh, Victoria 1985",https://www.yowiehunters.com.au/victoria/1954-avonsleigh-victoria-1985,Avonsleigh,modern_1970_present
inserted,52,,VIC,1985,"Darriman, Victoria 1985",https://www.yowiehunters.com.au/victoria/1246-darriman-vic-1985,Mullundung State Forest,modern_1970_present
inserted,53,,VIC,1983,"Cranbourne, Victoria 1987",https://www.yowiehunters.com.au/victoria/1245-cranbourne-vic-1987,Cranbourne/Hallam,modern_1970_present
inserted,54,,VIC,1987,"Lyndhurst, Victoria 1987",https://www.yowiehunters.com.au/victoria/1251-lyndhurst-vic-1987,Lyndhurst,modern_1970_present
inserted,55,,VIC,1988,"Emerald, Victoria 1988",https://www.yowiehunters.com.au/victoria/1248-emerald-vic-1988,Emerald,modern_1970_present
inserted,56,,VIC,1990,"Dellicknora, Victoria 1990",https://www.yowiehunters.com.au/victoria/1247-dellicknora-vic-1990,Dellicknora,modern_1970_present
inserted,57,,VIC,1991,"Lake Buffalo, Victoria 1991",https://www.yowiehunters.com.au/victoria/1920-lake-buffalo-victoria-1991,Lake Buffalo,modern_1970_present
inserted,58,,VIC,1990,"Hepburn Springs, Victoria 1993",https://www.yowiehunters.com.au/victoria/2171-hepburn-springs-victoria-1993,Hepburn Springs,modern_1970_present
inserted,59,,VIC,1996,"Aberfeldy, Victoria 1996",https://www.yowiehunters.com.au/victoria/1243-aberfeldie-vic-1996,Aberfeldy,modern_1970_present
inserted,60,,VIC,1997,"Warnambool, Victoria 1997",https://www.yowiehunters.com.au/victoria/1264-warnambool-vic-1997,Princess Highway / Warrnambool,modern_1970_present
inserted,61,,VIC,1999,"Wilsons Promontory, Victoria 1999",https://www.yowiehunters.com.au/victoria/1265-wilsons-promontory-vic-1999,Wilsons Promontory,modern_1970_present
