candidate_status,source_name,source_type,source_tier,title,publication_or_organisation,publication_date_text,access_date,url,canonical_url,external_id,publicness_status,rights_access_status,narrative_type,secondary_role,australian_relation,humanoid_basis,source_label,location_text,location_role,latitude,longitude,location_precision,geocode_source,geocode_verification_status,coordinate_evidence_note,duplicate_check_status,quality_class,ethics_review_status,cultural_sensitivity,acceptance_decision,rejection_reason,evidence_summary
accepted,Australian Broadcasting Corporation,institutional_media_page,A,Maisie Austin on her unique Territory life,ABC; Late Lunch,2021-06-16,2026-06-22,https://www.abc.net.au/listen/programs/darwin-latelunch/late-lunch-with-maisie-austin/13389168,https://www.abc.net.au/listen/programs/darwin-latelunch/late-lunch-with-maisie-austin/13389168,abc:13389168:darwin,public_media_page,public_access_short_excerpt_only,apparition_account,place_first_public_media_record,"Exact ABC public media items naming Northern Territory ghost, apparition, yowie, or spirit-person places.",explicit_supernatural_or_anomalous_person_form_agent,ghost,"Darwin, NT",apparition_location,-12.4604400,130.8410469,town,nominatim_openstreetmap_state_checked_abc_place_2026-06-22,verified_gazetteer_point,"ABC text names `Darwin` in a ghost/supernatural context; gazetteer result state-checked as Darwin, Northern Territory, 0800, Australia.",abc_canonical_url_external_id_and_excerpt_hash_checked,B,public_media_context_reviewed,low,accepted,,"nteresting and treasured memories of her Territory childhood. Over the years, Maisie Austin has turned her hand to almost everything: retail and dressmaking, insurance and even a tilt at politics. She's an author, historian and celebrant. And anyone involved with basketball in the Northern Territory knows her well, as a champion player, coach, and longtime stalwart of the scene. These days, Maisie is also the CEO of the NT Stolen Generations Aboriginal Corporation. Maisie remembers her childhood in Parap Camp, the ghost stories of her youth, and some of her great joys and challenges over the years. She spoke to the ABC's Miranda Tetlow on Late Lunch. maisie austin late lunch abc darwin miranda tetlow northern territory darwin childhood basketball."
accepted,Australian Broadcasting Corporation,institutional_media_page,A,The Ghost Songs,ABC; Into The Music,2013-05-25,2026-06-22,https://www.abc.net.au/listen/programs/intothemusic/the-ghost--songs/4694532,https://www.abc.net.au/listen/programs/intothemusic/the-ghost--songs/4694532,abc:4694532:darwin,public_media_page,public_access_short_excerpt_only,apparition_account,place_first_public_media_record,"Exact ABC public media items naming Northern Territory ghost, apparition, yowie, or spirit-person places.",explicit_supernatural_or_anomalous_person_form_agent,ghost,"Darwin, NT",apparition_location,-12.4604400,130.8410469,town,nominatim_openstreetmap_state_checked_abc_place_2026-06-22,verified_gazetteer_point,"ABC text names `Darwin` in a ghost/supernatural context; gazetteer result state-checked as Darwin, Northern Territory, 0800, Australia.",abc_canonical_url_external_id_and_excerpt_hash_checked,B,public_media_context_reviewed,low,accepted,,"The Ghost Songs A vivid location documentary recorded at two small Northern Territory Aboriginal communities linked by their music, culture and history, and by their country around the Daly River. A vivid location documentary recorded at two small Northern Territory Aboriginal communities linked by their music, culture and history, and by their country around the Daly River. Usually Wadeye, 200 kilometres south-west of Darwin, is represented as a dysfunctional disaster area, but together with Belyuen on the Cox Peninsula it is the focus of a revolutionary musical project which is already yielding a positive cultural outcome. Musicologists Allan Marett and Linda Barwick have been capturing thousands of traditional Indigenous songs in a step forward."
accepted,Australian Broadcasting Corporation,institutional_media_page,A,The Ghost Songs,ABC; Into The Music,2013-05-25,2026-06-22,https://www.abc.net.au/listen/programs/intothemusic/the-ghost--songs/4694532,https://www.abc.net.au/listen/programs/intothemusic/the-ghost--songs/4694532,abc:4694532:katherine,public_media_page,public_access_short_excerpt_only,apparition_account,place_first_public_media_record,"Exact ABC public media items naming Northern Territory ghost, apparition, yowie, or spirit-person places.",explicit_supernatural_or_anomalous_person_form_agent,ghost,"Katherine, NT",apparition_location,-14.4646157,132.2635993,town,nominatim_openstreetmap_state_checked_abc_place_2026-06-22,verified_gazetteer_point,"ABC text names `Katherine` in a ghost/supernatural context; gazetteer result state-checked as Katherine, Northern Territory, 0850, Australia.",abc_canonical_url_external_id_and_excerpt_hash_checked,B,public_media_context_reviewed,low,accepted,,"The Ghost Songs A vivid location documentary recorded at two small Northern Territory Aboriginal communities linked by their music, culture and history, and by their country around the Daly River. A vivid location documentary recorded at two small Northern Territory Aboriginal communities linked by their music, culture and history, and by their country around the Daly River. Usually Wadeye, 200 kilometres south-west of Darwin, is represented as a dysfunctional disaster area, but together with Belyuen on the Cox Peninsula it is the focus of a revolutionary musical project which is already yielding a positive cultural outcome. Musicologists Allan Marett and Linda Barwick have been capturing thousands of traditional Indigenous songs in a step forward."
accepted,Australian Broadcasting Corporation,institutional_media_page,A,The Ghost Songs,ABC; Radio Eye,2007-05-05,2026-06-22,https://www.abc.net.au/listen/programs/radioeye/the-ghost-songs/3394234,https://www.abc.net.au/listen/programs/radioeye/the-ghost-songs/3394234,abc:3394234:darwin,public_media_page,public_access_short_excerpt_only,apparition_account,place_first_public_media_record,"Exact ABC public media items naming Northern Territory ghost, apparition, yowie, or spirit-person places.",explicit_supernatural_or_anomalous_person_form_agent,ghost,"Darwin, NT",apparition_location,-12.4604400,130.8410469,town,nominatim_openstreetmap_state_checked_abc_place_2026-06-22,verified_gazetteer_point,"ABC text names `Darwin` in a ghost/supernatural context; gazetteer result state-checked as Darwin, Northern Territory, 0800, Australia.",abc_canonical_url_external_id_and_excerpt_hash_checked,B,public_media_context_reviewed,low,accepted,,"The Ghost Songs The community is abuzz. A new song has been received by the elder, Marjorie Bilbil, and everyone's talking about it. The ghost of a much beloved didjeridu player gave it to her in a dream, just a few days ago. It's the first new song for Cox Peninsula community Belyuen in several years. Rare for a woman to receive a song, rare for her to sing it, I sit on the dusty concrete veranda at her camp, and she performs for my microphone. The community is abuzz. A new song has been received by the elder, Marjorie Bilbil, and everyone's talking about it. The ghost of a much beloved didjeridu player gave it to her in a dream, just a few days ago. It's the first new song for Cox Peninsula community Belyuen in several years. Rare for a woman to."
accepted,Australian Broadcasting Corporation,institutional_media_page,A,The Ghost Songs,ABC; Radio Eye,2007-05-05,2026-06-22,https://www.abc.net.au/listen/programs/radioeye/the-ghost-songs/3394234,https://www.abc.net.au/listen/programs/radioeye/the-ghost-songs/3394234,abc:3394234:katherine,public_media_page,public_access_short_excerpt_only,apparition_account,place_first_public_media_record,"Exact ABC public media items naming Northern Territory ghost, apparition, yowie, or spirit-person places.",explicit_supernatural_or_anomalous_person_form_agent,ghost,"Katherine, NT",apparition_location,-14.4646157,132.2635993,town,nominatim_openstreetmap_state_checked_abc_place_2026-06-22,verified_gazetteer_point,"ABC text names `Katherine` in a ghost/supernatural context; gazetteer result state-checked as Katherine, Northern Territory, 0850, Australia.",abc_canonical_url_external_id_and_excerpt_hash_checked,B,public_media_context_reviewed,low,accepted,,"The Ghost Songs The community is abuzz. A new song has been received by the elder, Marjorie Bilbil, and everyone's talking about it. The ghost of a much beloved didjeridu player gave it to her in a dream, just a few days ago. It's the first new song for Cox Peninsula community Belyuen in several years. Rare for a woman to receive a song, rare for her to sing it, I sit on the dusty concrete veranda at her camp, and she performs for my microphone. The community is abuzz. A new song has been received by the elder, Marjorie Bilbil, and everyone's talking about it. The ghost of a much beloved didjeridu player gave it to her in a dream, just a few days ago. It's the first new song for Cox Peninsula community Belyuen in several years. Rare for a woman to."
accepted,Australian Broadcasting Corporation,institutional_media_page,A,Call the Doctor,ABC; ABC,2019-02-25,2026-06-22,https://www.abc.net.au/news/2019-02-21/call-the-doctor/10833218,https://www.abc.net.au/news/2019-02-21/call-the-doctor/10833218,abc:10833218:darwin,public_media_page,public_access_short_excerpt_only,apparition_account,place_first_public_media_record,"Exact ABC public media items naming Northern Territory ghost, apparition, yowie, or spirit-person places.",explicit_supernatural_or_anomalous_person_form_agent,ghost,"Darwin, NT",apparition_location,-12.4604400,130.8410469,town,nominatim_openstreetmap_state_checked_abc_place_2026-06-22,verified_gazetteer_point,"ABC text names `Darwin` in a ghost/supernatural context; gazetteer result state-checked as Darwin, Northern Territory, 0800, Australia.",abc_canonical_url_external_id_and_excerpt_hash_checked,B,public_media_context_reviewed,low,accepted,,"in the far reaches of the Northern Territory. CAREY SPAIN, NURSING RESOURCE COORDINATOR, KATHERINE HOSPITAL: Within two weeks or so of Tim arriving, a local man by the name of Manuel presented with chest pain. TIM DUNCAN: He was clearly unwell, slightly intoxicated but had quite bad chest and abdominal pain. So I brought him into the resus bay immediately and started the assessment. MANUEL PAMKAL: I’m from Central Arnhem land in the place called from language Birba. When I first saw white person I thought it was a ghost. I didn’t drink nothing until when I moved into town. That’s when I start drinking. Me and my wife, we used to sleep anywhere, under the bridge or in the park somewhere and then when the bottle shop open we used to buy alcohol. One."
accepted,Australian Broadcasting Corporation,institutional_media_page,A,"Lost planes, lost men",ABC; Background Briefing,2008-02-03,2026-06-22,https://www.abc.net.au/listen/programs/backgroundbriefing/lost-planes-lost-men/3292846,https://www.abc.net.au/listen/programs/backgroundbriefing/lost-planes-lost-men/3292846,abc:3292846:darwin,public_media_page,public_access_short_excerpt_only,apparition_account,place_first_public_media_record,"Exact ABC public media items naming Northern Territory ghost, apparition, yowie, or spirit-person places.",explicit_supernatural_or_anomalous_person_form_agent,ghosts,"Darwin, NT",apparition_location,-12.4604400,130.8410469,town,nominatim_openstreetmap_state_checked_abc_place_2026-06-22,verified_gazetteer_point,"ABC text names `Darwin` in a ghost/supernatural context; gazetteer result state-checked as Darwin, Northern Territory, 0800, Australia.",abc_canonical_url_external_id_and_excerpt_hash_checked,B,public_media_context_reviewed,low,accepted,,"are planes is now worth something. There are now so few parts and so few planes out in the field that the competition for what's left is cut-throat and there's big money in it. The warbird restoration industry makes many Second World War historians shudder, because the evidence of the war where it was fought is vanishing, often into the hands of private collectors. One Australian has been working on a database of crashed planes and missing servicemen from the Pacific war. Daniel Leahy runs a website called Pacific Ghosts. Daniel Leahy: It's almost ruthless nowadays. Ian Townsend: There's competition? Daniel Leahy: That there is. People trying to get hold of a, for example, the Swamp Ghost, there were numerous bids to try and get that out of a swamp."
accepted,Australian Broadcasting Corporation,institutional_media_page,A,"BTN Classroom Episode 25, 2022",ABC; ABC,2022-08-29,2026-06-22,https://www.abc.net.au/btn/classroom/20220830-ep25-btn/14032402,https://www.abc.net.au/btn/classroom/20220830-ep25-btn/14032402,abc:14032402:darwin,public_media_page,public_access_short_excerpt_only,apparition_account,place_first_public_media_record,"Exact ABC public media items naming Northern Territory ghost, apparition, yowie, or spirit-person places.",explicit_supernatural_or_anomalous_person_form_agent,ghost,"Darwin, NT",apparition_location,-12.4604400,130.8410469,town,nominatim_openstreetmap_state_checked_abc_place_2026-06-22,verified_gazetteer_point,"ABC text names `Darwin` in a ghost/supernatural context; gazetteer result state-checked as Darwin, Northern Territory, 0800, Australia.",abc_canonical_url_external_id_and_excerpt_hash_checked,B,public_media_context_reviewed,low,accepted,,"oday's show. We find out why Aussie kids were wearing it purple on Friday, learn about a piece of engineering that changed Australia and meet the super mutts of Guam. Northern Hemisphere Drought Reporter: Amelia Moseley INTRO: All that soon, but first today to the massive drought that's affecting a lot of places in Europe, America, Africa and China. There have been record breaking temperatures, wildfires and water shortages and some mysterious appearances in lakes and rivers. Check it out. Sunken ships in Serbia, 'ghost gardens' in England, a 7000 year old Stonehenge in Spain, and an unexploded World War Two bomb in Italy! These are just a few of the unusual things that have appeared across Europe and the UK lately! But it's not some strange."
accepted,Australian Broadcasting Corporation,institutional_media_page,A,Digging In: Why powering a green future means more mines,ABC; ABC,2022-05-09,2026-06-22,https://www.abc.net.au/news/2022-05-09/digging-in:-why-powering-a-green-future-means-more/13873540,https://www.abc.net.au/news/2022-05-09/digging-in:-why-powering-a-green-future-means-more/13873540,abc:13873540:darwin,public_media_page,public_access_short_excerpt_only,apparition_account,place_first_public_media_record,"Exact ABC public media items naming Northern Territory ghost, apparition, yowie, or spirit-person places.",explicit_supernatural_or_anomalous_person_form_agent,ghost,"Darwin, NT",apparition_location,-12.4604400,130.8410469,town,nominatim_openstreetmap_state_checked_abc_place_2026-06-22,verified_gazetteer_point,"ABC text names `Darwin` in a ghost/supernatural context; gazetteer result state-checked as Darwin, Northern Territory, 0800, Australia.",abc_canonical_url_external_id_and_excerpt_hash_checked,B,public_media_context_reviewed,low,accepted,,"l for it. People come they want to see the cows they want to taste the cheese and they want to see a little community doing well, even out of mining, I think. ANGUS GRIGG, REPORTER: The nearby town of Grassy was hit hard by the mine’s closure in the 1990s. Back in the day the Grassy Club was a favorite of thirsty miners. Now, even on a Friday afternoon, it’s hardly packed. JULIE ARNOLD, KING ISLAND MAYOR:So the people went, the infrastructure went, and then the housing gradually fell apart as well. So, it became a ghost town. ANGUS GRIGG, REPORTER:Julie Arnold is the Mayor of King Island and like many locals is eager to see the mine get started. JULIE ARNOLD, KING ISLAND MAYOR: We really think that we're probably on the cusp of a bit of a boom. So,."
