candidate_status,source_name,source_type,source_tier,title,publication_or_organisation,publication_date_text,access_date,url,canonical_url,external_id,publicness_status,rights_access_status,narrative_type,secondary_role,australian_relation,humanoid_basis,source_label,location_text,location_role,latitude,longitude,location_precision,geocode_source,geocode_verification_status,coordinate_evidence_note,duplicate_check_status,quality_class,ethics_review_status,cultural_sensitivity,acceptance_decision,rejection_reason,evidence_summary
accepted,Australian Broadcasting Corporation,institutional_media_page,A,Belarus Free Theatre co-founder Natalya Kolyada and ghost historian Jack Sim,ABC; Conversations,2009-01-22,2026-06-22,https://www.abc.net.au/listen/programs/conversations/belarus-free-theatre-co-founder-natalya-kolyada-and-ghost-histor/7774972,https://www.abc.net.au/listen/programs/conversations/belarus-free-theatre-co-founder-natalya-kolyada-and-ghost-histor/7774972,abc:7774972:boggo-road-gaol,public_media_page,public_access_short_excerpt_only,apparition_account,place_first_public_media_record,"Exact ABC public media items with modern named-place ghost, apparition, or haunted-site evidence outside broad crawling.",explicit_supernatural_or_anomalous_person_form_agent,ghost,"Boggo Road Gaol, QLD",apparition_location,-27.4950869,153.0287003,exact_site,nominatim_openstreetmap_state_checked_abc_place_2026-06-22,verified_gazetteer_point,"ABC text names `Boggo Road Gaol` in a ghost/supernatural context; gazetteer result state-checked as Boggo Road Gaol, Boggo Road, Dutton Park, Brisbane, Queensland, 4102, Australia.",abc_canonical_url_external_id_and_excerpt_hash_checked,B,public_media_context_reviewed,low,accepted,,"Belarus Free Theatre co-founder Natalya Kolyada and ghost historian Jack Sim Broadcast date: Thursday 22 January 2009 Broadcast date: Thursday 22 January 2009 Co-founder Belarus Free Theatre Natalya Kolyada Natalya Kolyada is a human rights activist from Belarus. She and her husband founded the Belarus Free Theatre in 2005, and they hold performances in their home country in private apartments or in forests, hiding from the authorities. They are able to perform - to great acclaim - internationally, and touring Australia with their production of Being Harold Pinter. The Belarus Free Theatre are in Brisbane this week, at the Powerhouse (until Saturday 24th January). Ghost historian and author Jack Sim Jack Sim spends many of his days, and nights,."
accepted,Australian Broadcasting Corporation,institutional_media_page,A,Belarus Free Theatre co-founder Natalya Kolyada and ghost historian Jack Sim,ABC; Conversations,2009-01-22,2026-06-22,https://www.abc.net.au/listen/programs/conversations/belarus-free-theatre-co-founder-natalya-kolyada-and-ghost-histor/7774972,https://www.abc.net.au/listen/programs/conversations/belarus-free-theatre-co-founder-natalya-kolyada-and-ghost-histor/7774972,abc:7774972:brisbane,public_media_page,public_access_short_excerpt_only,apparition_account,place_first_public_media_record,"Exact ABC public media items with modern named-place ghost, apparition, or haunted-site evidence outside broad crawling.",explicit_supernatural_or_anomalous_person_form_agent,ghost,"Brisbane, QLD",apparition_location,-27.4689623,153.0235009,town,nominatim_openstreetmap_state_checked_abc_place_2026-06-22,verified_gazetteer_point,"ABC text names `Brisbane` in a ghost/supernatural context; gazetteer result state-checked as Brisbane, Queensland, Australia.",abc_canonical_url_external_id_and_excerpt_hash_checked,B,public_media_context_reviewed,low,accepted,,"Belarus Free Theatre co-founder Natalya Kolyada and ghost historian Jack Sim Broadcast date: Thursday 22 January 2009 Broadcast date: Thursday 22 January 2009 Co-founder Belarus Free Theatre Natalya Kolyada Natalya Kolyada is a human rights activist from Belarus. She and her husband founded the Belarus Free Theatre in 2005, and they hold performances in their home country in private apartments or in forests, hiding from the authorities. They are able to perform - to great acclaim - internationally, and touring Australia with their production of Being Harold Pinter. The Belarus Free Theatre are in Brisbane this week, at the Powerhouse (until Saturday 24th January). Ghost historian and author Jack Sim Jack Sim spends many of his days, and nights,."
accepted,Australian Broadcasting Corporation,institutional_media_page,A,Israel vows retaliation after West Bank shooting,ABC; The World Today,2025-01-07,2026-06-22,https://www.abc.net.au/listen/programs/worldtoday/israel-vows-retaliation-after-west-bank-shooting/104462640,https://www.abc.net.au/listen/programs/worldtoday/israel-vows-retaliation-after-west-bank-shooting/104462640,abc:104462640:port-arthur-historic-sit,public_media_page,public_access_short_excerpt_only,apparition_account,place_first_public_media_record,"Exact ABC public media items with modern named-place ghost, apparition, or haunted-site evidence outside broad crawling.",explicit_supernatural_or_anomalous_person_form_agent,ghosts,"Port Arthur Historic Site, TAS",apparition_location,-43.1531346,147.8694003,exact_site,nominatim_openstreetmap_state_checked_abc_place_2026-06-22,verified_gazetteer_point,"ABC text names `Port Arthur Historic Site` in a ghost/supernatural context; gazetteer result state-checked as Port Arthur Historic Site, Port Arthur, Tasmania, 7182, Australia.",abc_canonical_url_external_id_and_excerpt_hash_checked,B,public_media_context_reviewed,low,accepted,,"known as dark tourism, has seen some towns seeking to capitalise on the notoriety of their local haunts to attract the tourist dollar. Lexie Jeuniewic reports. Lexie Jeuniewic: Located in Victoria's High Country, the gold-rushed town of Beechworth is rich in history. It was once a stamping ground for our most famous bush ranger, Ned Kelly, and is home to the decommissioned Mayday Hills Lunatic Asylum, once one of the largest psychiatric hospitals in the state. Tour Guide: Williams is actually one of the friendlier ghosts that we've got on site. So as we make our way through, it's kind of important to keep your ears peeled, see if you can pick up on him. Lexie Jeuniewic: Geoff Brown operates ghost tours and paranormal investigations at the site and."
accepted,Australian Broadcasting Corporation,institutional_media_page,A,Israel vows retaliation after West Bank shooting,ABC; The World Today,2025-01-07,2026-06-22,https://www.abc.net.au/listen/programs/worldtoday/israel-vows-retaliation-after-west-bank-shooting/104462640,https://www.abc.net.au/listen/programs/worldtoday/israel-vows-retaliation-after-west-bank-shooting/104462640,abc:104462640:beechworth-asylum,public_media_page,public_access_short_excerpt_only,apparition_account,place_first_public_media_record,"Exact ABC public media items with modern named-place ghost, apparition, or haunted-site evidence outside broad crawling.",explicit_supernatural_or_anomalous_person_form_agent,ghosts,"Beechworth Asylum, VIC",apparition_location,-36.3689111,146.6956558,exact_site,nominatim_openstreetmap_state_checked_abc_place_2026-06-22,verified_gazetteer_point,"ABC text names `Mayday Hills` in a ghost/supernatural context; gazetteer result state-checked as Mayday Hills Lunatic Asylum (1867-1995), Beechworth, Victoria, 3747, Australia.",abc_canonical_url_external_id_and_excerpt_hash_checked,B,public_media_context_reviewed,low,accepted,,"tourists, but increasingly old cemeteries, prisons and former asylums are experiencing their own growth in popularity with visitors. The trend, known as dark tourism, has seen some towns seeking to capitalise on the notoriety of their local haunts to attract the tourist dollar. Lexie Jeuniewic reports. Lexie Jeuniewic: Located in Victoria's High Country, the gold-rushed town of Beechworth is rich in history. It was once a stamping ground for our most famous bush ranger, Ned Kelly, and is home to the decommissioned Mayday Hills Lunatic Asylum, once one of the largest psychiatric hospitals in the state. Tour Guide: Williams is actually one of the friendlier ghosts that we've got on site. So as we make our way through, it's kind of important to keep."
accepted,Australian Broadcasting Corporation,institutional_media_page,A,Ghost tales and grisly histories give 'haunted' buildings their scary appeal. Here's how,ABC; ABC,2020-02-20,2026-06-22,https://www.abc.net.au/news/2020-02-20/ghost-tales-help-give-haunted-buildings-their-scary-appeal/11985080,https://www.abc.net.au/news/2020-02-20/ghost-tales-help-give-haunted-buildings-their-scary-appeal/11985080,abc:11985080:aradale-asylum,public_media_page,public_access_short_excerpt_only,apparition_account,place_first_public_media_record,"Exact ABC public media items with modern named-place ghost, apparition, or haunted-site evidence outside broad crawling.",explicit_supernatural_or_anomalous_person_form_agent,ghost,"Aradale Asylum, VIC",apparition_location,-37.2775765,142.9581683,exact_site,nominatim_openstreetmap_state_checked_abc_place_2026-06-22,verified_gazetteer_point,"ABC text names `Aradale Asylum` in a ghost/supernatural context; gazetteer result state-checked as Aradale Asylum, Grano Street, Ararat, Victoria, 3377, Australia.",abc_canonical_url_external_id_and_excerpt_hash_checked,B,public_media_context_reviewed,low,accepted,,"Ghost tales and grisly histories give 'haunted' buildings their scary appeal. Here's how Ever wondered why you feel creeped out in a haunted house, abandoned jail, or disused psychiatric institution? One sceptic has heard enough ghost stories to know to treat them with respect. haunted fear psychology aradale asylum asylums parramatta gaol gaols haunt ghost"
accepted,Australian Broadcasting Corporation,institutional_media_page,A,Australia's Most Haunted,ABC; The Ark,2006-11-12,2026-06-22,https://www.abc.net.au/listen/programs/ark/australias-most-haunted/3360028,https://www.abc.net.au/listen/programs/ark/australias-most-haunted/3360028,abc:3360028:port-arthur-historic-sit,public_media_page,public_access_short_excerpt_only,apparition_account,place_first_public_media_record,"Exact ABC public media items with modern named-place ghost, apparition, or haunted-site evidence outside broad crawling.",explicit_supernatural_or_anomalous_person_form_agent,most_haunted,"Port Arthur Historic Site, TAS",apparition_location,-43.1531346,147.8694003,exact_site,nominatim_openstreetmap_state_checked_abc_place_2026-06-22,verified_gazetteer_point,"ABC text names `Port Arthur` in a ghost/supernatural context; gazetteer result state-checked as Port Arthur Historic Site, Port Arthur, Tasmania, 7182, Australia.",abc_canonical_url_external_id_and_excerpt_hash_checked,B,public_media_context_reviewed,low,accepted,,"Australia's Most Haunted Tim the Yowie Man shares 15 years of investigation into the most mysterious and haunted places in Australia. Tim the Yowie Man shares 15 years of investigation into the most mysterious and haunted places in Australia. Rachael Kohn: The Monte Cristo Homestead in Junee, New South Wales, is the most haunted house in Australia, according to Tim the Yowie Man. This is The Ark, on ABC Radio National, with me, Rachael Kohn. This week, 'The Steve Irwin of Spooks' tells us some tall tales from the city to the outback. Monte Cristo is just one of the places people feel a shiver going up their spine: phantom piano playing, apparitions at the foot of the bed, a chill in the air. They've all been reported. But spooks don't just scare."
accepted,Australian Broadcasting Corporation,institutional_media_page,A,Australia's Most Haunted,ABC; The Ark,2006-11-12,2026-06-22,https://www.abc.net.au/listen/programs/ark/australias-most-haunted/3360028,https://www.abc.net.au/listen/programs/ark/australias-most-haunted/3360028,abc:3360028:fremantle-prison,public_media_page,public_access_short_excerpt_only,apparition_account,place_first_public_media_record,"Exact ABC public media items with modern named-place ghost, apparition, or haunted-site evidence outside broad crawling.",explicit_supernatural_or_anomalous_person_form_agent,most_haunted,"Fremantle Prison, WA",apparition_location,-32.0553437,115.7534563,exact_site,nominatim_openstreetmap_state_checked_abc_place_2026-06-22,verified_gazetteer_point,"ABC text names `Fremantle Prison` in a ghost/supernatural context; gazetteer result state-checked as Fremantle Prison, 1, The Terrace, Fremantle, Western Australia, 6160, Australia.",abc_canonical_url_external_id_and_excerpt_hash_checked,B,public_media_context_reviewed,low,accepted,,"Australia's Most Haunted Tim the Yowie Man shares 15 years of investigation into the most mysterious and haunted places in Australia. Tim the Yowie Man shares 15 years of investigation into the most mysterious and haunted places in Australia. Rachael Kohn: The Monte Cristo Homestead in Junee, New South Wales, is the most haunted house in Australia, according to Tim the Yowie Man. This is The Ark, on ABC Radio National, with me, Rachael Kohn. This week, 'The Steve Irwin of Spooks' tells us some tall tales from the city to the outback. Monte Cristo is just one of the places people feel a shiver going up their spine: phantom piano playing, apparitions at the foot of the bed, a chill in the air. They've all been reported. But spooks don't just scare."
accepted,Australian Broadcasting Corporation,institutional_media_page,A,Australia's Most Haunted,ABC; The Ark,2006-11-12,2026-06-22,https://www.abc.net.au/listen/programs/ark/australias-most-haunted/3360028,https://www.abc.net.au/listen/programs/ark/australias-most-haunted/3360028,abc:3360028:fremantle,public_media_page,public_access_short_excerpt_only,apparition_account,place_first_public_media_record,"Exact ABC public media items with modern named-place ghost, apparition, or haunted-site evidence outside broad crawling.",explicit_supernatural_or_anomalous_person_form_agent,most_haunted,"Fremantle, WA",apparition_location,-32.0534086,115.7586172,town,nominatim_openstreetmap_state_checked_abc_place_2026-06-22,verified_gazetteer_point,"ABC text names `Fremantle` in a ghost/supernatural context; gazetteer result state-checked as Fremantle, Western Australia, 6160, Australia.",abc_canonical_url_external_id_and_excerpt_hash_checked,B,public_media_context_reviewed,low,accepted,,"Australia's Most Haunted Tim the Yowie Man shares 15 years of investigation into the most mysterious and haunted places in Australia. Tim the Yowie Man shares 15 years of investigation into the most mysterious and haunted places in Australia. Rachael Kohn: The Monte Cristo Homestead in Junee, New South Wales, is the most haunted house in Australia, according to Tim the Yowie Man. This is The Ark, on ABC Radio National, with me, Rachael Kohn. This week, 'The Steve Irwin of Spooks' tells us some tall tales from the city to the outback. Monte Cristo is just one of the places people feel a shiver going up their spine: phantom piano playing, apparitions at the foot of the bed, a chill in the air. They've all been reported. But spooks don't just scare."
accepted,Australian Broadcasting Corporation,institutional_media_page,A,Australia's Most Haunted,ABC; The Ark,2006-11-12,2026-06-22,https://www.abc.net.au/listen/programs/ark/australias-most-haunted/3360028,https://www.abc.net.au/listen/programs/ark/australias-most-haunted/3360028,abc:3360028:cooktown,public_media_page,public_access_short_excerpt_only,apparition_account,place_first_public_media_record,"Exact ABC public media items with modern named-place ghost, apparition, or haunted-site evidence outside broad crawling.",explicit_supernatural_or_anomalous_person_form_agent,most_haunted,"Cooktown, QLD",apparition_location,-15.3718125,144.9028573,town,nominatim_openstreetmap_state_checked_abc_place_2026-06-22,verified_gazetteer_point,"ABC text names `Cooktown` in a ghost/supernatural context; gazetteer result state-checked as Cooktown, Queensland, 4895, Australia.",abc_canonical_url_external_id_and_excerpt_hash_checked,B,public_media_context_reviewed,low,accepted,,"Australia's Most Haunted Tim the Yowie Man shares 15 years of investigation into the most mysterious and haunted places in Australia. Tim the Yowie Man shares 15 years of investigation into the most mysterious and haunted places in Australia. Rachael Kohn: The Monte Cristo Homestead in Junee, New South Wales, is the most haunted house in Australia, according to Tim the Yowie Man. This is The Ark, on ABC Radio National, with me, Rachael Kohn. This week, 'The Steve Irwin of Spooks' tells us some tall tales from the city to the outback. Monte Cristo is just one of the places people feel a shiver going up their spine: phantom piano playing, apparitions at the foot of the bed, a chill in the air. They've all been reported. But spooks don't just scare."
accepted,Australian Broadcasting Corporation,institutional_media_page,A,Australia's Most Haunted,ABC; The Ark,2006-11-12,2026-06-22,https://www.abc.net.au/listen/programs/ark/australias-most-haunted/3360028,https://www.abc.net.au/listen/programs/ark/australias-most-haunted/3360028,abc:3360028:national-film-and-sound,public_media_page,public_access_short_excerpt_only,apparition_account,place_first_public_media_record,"Exact ABC public media items with modern named-place ghost, apparition, or haunted-site evidence outside broad crawling.",explicit_supernatural_or_anomalous_person_form_agent,most_haunted,"National Film and Sound Archive, ACT",apparition_location,-35.2828643,149.1209536,exact_site,nominatim_openstreetmap_state_checked_abc_place_2026-06-22,verified_gazetteer_point,"ABC text names `National Film and Sound Archive` in a ghost/supernatural context; gazetteer result state-checked as National Film and Sound Archive of Australia (NFSA), Liversidge Street, Acton, Canberra, District of Canberra Central, Australian Capital Territory, 2601, Australia.",abc_canonical_url_external_id_and_excerpt_hash_checked,B,public_media_context_reviewed,low,accepted,,"Australia's Most Haunted Tim the Yowie Man shares 15 years of investigation into the most mysterious and haunted places in Australia. Tim the Yowie Man shares 15 years of investigation into the most mysterious and haunted places in Australia. Rachael Kohn: The Monte Cristo Homestead in Junee, New South Wales, is the most haunted house in Australia, according to Tim the Yowie Man. This is The Ark, on ABC Radio National, with me, Rachael Kohn. This week, 'The Steve Irwin of Spooks' tells us some tall tales from the city to the outback. Monte Cristo is just one of the places people feel a shiver going up their spine: phantom piano playing, apparitions at the foot of the bed, a chill in the air. They've all been reported. But spooks don't just scare."
