candidate_status,source_name,source_type,source_tier,title,publication_or_organisation,publication_date_text,access_date,url,canonical_url,external_id,publicness_status,rights_access_status,narrative_type,secondary_role,australian_relation,humanoid_basis,source_label,location_text,location_role,latitude,longitude,location_precision,geocode_source,geocode_verification_status,coordinate_evidence_note,duplicate_check_status,quality_class,ethics_review_status,cultural_sensitivity,acceptance_decision,rejection_reason,evidence_summary
accepted,Internet Archive,repository_full_text,B,devil-devil in The Fifth Continent,The Fifth Continent; C. H. Eden,1877,2026-06-22,https://archive.org/download/fifthcontinentwi00eden/fifthcontinentwi00eden_djvu.txt,https://archive.org/download/fifthcontinentwi00eden/fifthcontinentwi00eden_djvu.txt,sprint-internet-archive-eden:fifthcontinentwi00eden:devil-devil:001,public_text_item,public_access_text_available,apparition_account,source_grounded_section_record,Public-domain Australian descriptive text exposed through an exact Internet Archive item; accepted rows are limited to explicit ghost/devil-devil belief passages.,explicit_supernatural_or_anomalous_person_form_agent,devil-devil,Australia,cultural_association_region,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"anage to possess themselves of all the young women, which is a great evil, as the junior warriors can find no wives of their own age. Regarding their belief or religion it is difficult to know what to say. We must presume that they acknowledge the immateriality of the soul, for they think that after death they will ""jump up white fellow."" They also dread a ""devil-devil,"" or "" bunyip,"" though what they mean thereby no one knows ; and they are terribly afraid of ghosts. A gin in my employment succumbed from sheer terror on its being told her that she would die soon as a punishment for cruelty to her sister.* They are most unwilling."
accepted,Internet Archive,repository_full_text,B,ghosts in The Fifth Continent,The Fifth Continent; C. H. Eden,1877,2026-06-22,https://archive.org/download/fifthcontinentwi00eden/fifthcontinentwi00eden_djvu.txt,https://archive.org/download/fifthcontinentwi00eden/fifthcontinentwi00eden_djvu.txt,sprint-internet-archive-eden:fifthcontinentwi00eden:ghosts:002,public_text_item,public_access_text_available,apparition_account,source_grounded_section_record,Public-domain Australian descriptive text exposed through an exact Internet Archive item; accepted rows are limited to explicit ghost/devil-devil belief passages.,explicit_supernatural_or_anomalous_person_form_agent,ghosts,Australia,cultural_association_region,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"up by one tribe and catching them by another, will easily be recog- nised as their explanation of the rising and setting of those bodies. They have no knowledge of the earth beyond the locality they inhabit. The stars and comets are both the same in name {mi goolerburdd). They think the falling stars indicate the direction of danger, and that comets are the ghosts or spirits of some of their tribe, who have been killed at a distance from them, working their way back again, and that they come down from the clouds on the coast. We saw one this last dry season which they thought was one of the tribe who had been killed in war. They."
accepted,Internet Archive,repository_full_text,B,ghost in The Fifth Continent,The Fifth Continent; C. H. Eden,1877,2026-06-22,https://archive.org/download/fifthcontinentwi00eden/fifthcontinentwi00eden_djvu.txt,https://archive.org/download/fifthcontinentwi00eden/fifthcontinentwi00eden_djvu.txt,sprint-internet-archive-eden:fifthcontinentwi00eden:ghost:003,public_text_item,public_access_text_available,apparition_account,source_grounded_section_record,Public-domain Australian descriptive text exposed through an exact Internet Archive item; accepted rows are limited to explicit ghost/devil-devil belief passages.,explicit_supernatural_or_anomalous_person_form_agent,ghost,Australia,cultural_association_region,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"JOHNS. Post 8vo. Cloth boards 5 o FROZEN ASIA. A Sketch of Modern Siberia. Together with an account of the Native Tribes inhabiting that Region. By C. H. Eden, F.R.G.S. With Map. Crown 8vo. Cloth boards 5 o GREAT GOLD MINE (THE). By C. E. M. With several Illustrations. Crown 8vo. Cloth boards 2 o HELEN'S PROBATION. By A. E. D., author of ""The Colston Grange Ghost."" With Three page Illustrations. Crown Svo. Cloth boards I 6 HERBERT CLUTTERBTJCK. A Tale of Opening Manhood. By Arthur Canon. With Three page Illustrations. Crown 8vo. Cloth boards 2 o HERE AND ELSEWHERE. The Fortunes of George Adams in Town and Country. By the Rev.."
accepted,Internet Archive,repository_full_text,B,supernatural in The Fifth Continent,The Fifth Continent; C. H. Eden,1877,2026-06-22,https://archive.org/download/fifthcontinentwi00eden/fifthcontinentwi00eden_djvu.txt,https://archive.org/download/fifthcontinentwi00eden/fifthcontinentwi00eden_djvu.txt,sprint-internet-archive-eden:fifthcontinentwi00eden:supernatural:004,public_text_item,public_access_text_available,spirit_person_narrative,source_grounded_section_record,Public-domain Australian descriptive text exposed through an exact Internet Archive item; accepted rows are limited to explicit ghost/devil-devil belief passages.,explicit_supernatural_or_anomalous_person_form_agent,supernatural,Australia,cultural_association_region,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"hey find no difficulty whatever in realising his existence, and will willingly see one in every bush. He can punish them for wrong- doing, can lure their best warriors to destruction, can send painful droughts or equally destructive floods. This is all plain sailing, and comes within the savage's com- prehension, chiming in, as it does, with the love of the supernatural innate within him. But when a God of love is spoken of, who is all powerful to avert the designs of the evil one, the native simply discredits it. I have talked on the subject of religion over and over again, with most intelligent blacks, and find their theory to."
accepted,Internet Archive,repository_full_text,B,supernatural in The Fifth Continent,The Fifth Continent; C. H. Eden,1877,2026-06-22,https://archive.org/download/fifthcontinentwi00eden/fifthcontinentwi00eden_djvu.txt,https://archive.org/download/fifthcontinentwi00eden/fifthcontinentwi00eden_djvu.txt,sprint-internet-archive-eden:fifthcontinentwi00eden:supernatural:005,public_text_item,public_access_text_available,spirit_person_narrative,source_grounded_section_record,Public-domain Australian descriptive text exposed through an exact Internet Archive item; accepted rows are limited to explicit ghost/devil-devil belief passages.,explicit_supernatural_or_anomalous_person_form_agent,supernatural,Australia,cultural_association_region,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"has named that portion of Astrolabe Bay, showed themselves jealous of a stranger's presence in their midst, and dis- played it by discharging arrows close to his face, and pressing their spears against his teeth. These annoy- ances he bore with the utmost good humour, and his medical skill becoming known, the savages arrived at the conclusion that he was a supernatural being, a Karam- tamo, or man-in-the-moon, and ceasing their persecutions, treated him with much respect. Doctor Maclay made expeditions in various directions, and came in contact with the inhabitants of the whole coast of Astrolabe Gulf, together with the islands in."
