candidate_status,source_name,source_type,source_tier,title,publication_or_organisation,publication_date_text,access_date,url,canonical_url,external_id,publicness_status,rights_access_status,narrative_type,secondary_role,australian_relation,humanoid_basis,source_label,location_text,location_role,latitude,longitude,location_precision,geocode_source,geocode_verification_status,coordinate_evidence_note,duplicate_check_status,quality_class,ethics_review_status,cultural_sensitivity,acceptance_decision,rejection_reason,evidence_summary
accepted,Project Gutenberg,public_domain_ebook,A,spirit in Bush Studies,Bush Studies; Barbara Baynton,1902; Project Gutenberg public-domain transcription,2026-06-22,https://www.gutenberg.org/ebooks/78420.txt.utf-8,https://www.gutenberg.org/ebooks/78420.txt.utf-8,sprint-project-gutenberg-bay:gutenberg-78420-bush-studies:spirit:c57af0bcee1e6142,public_domain_public_web,public_access_text_available,retelling_or_adaptation,source_grounded_section_record,"Public-domain Australian story collection; accepted rows are constrained to supernatural, apparition, ghost, or anomalous person-form passages.",explicit_supernatural_or_anomalous_person_form_agent,spirit,New South Wales,narrative_setting,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_fiction_reviewed,low,accepted,,"people, or the trembling sighs of their upright neighbours whose hands in time will meet over the victim’s fallen body. There was no bunk on the side of the hut to which her eyes turned, but her dog filled that space, and the flash that passed between this back-broken woman and her dog might have been the spirit of these slain tree folk, it was so wondrous ghostly. Still, at times, the practical in her would be dominant, for in a mind so free of fancies, backed by bodily strength, hope died slowly, and forgetful of self she would almost call to Squeaker her fears that certain bees’ nests were in danger. He went into town one day."
accepted,Project Gutenberg,public_domain_ebook,A,ghost in Bush Studies,Bush Studies; Barbara Baynton,1902; Project Gutenberg public-domain transcription,2026-06-22,https://www.gutenberg.org/ebooks/78420.txt.utf-8,https://www.gutenberg.org/ebooks/78420.txt.utf-8,sprint-project-gutenberg-bay:gutenberg-78420-bush-studies:ghost:27a160893e1a3722,public_domain_public_web,public_access_text_available,retelling_or_adaptation,source_grounded_section_record,"Public-domain Australian story collection; accepted rows are constrained to supernatural, apparition, ghost, or anomalous person-form passages.",explicit_supernatural_or_anomalous_person_form_agent,ghost,New South Wales,narrative_setting,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_fiction_reviewed,low,accepted,,"On his next visit to the back of the buggy she heard the crash of glass breaking against a tree. After a few snatches of song he lighted his pipe, and grew sorrowfully reminiscent. “Yes s’elp me, nea’ly ’arf a quid! An’ thet coloured ole ’og of a cow of a mother, soon’s she’s off ther booze, ’ll see thet she gets it!” Then he missed his silk handkerchief. “Ghost!” he said, breathing heavily, “Mag’s snavelled it! Lizer ’ll spot thet’s gone soon’s we get ’ithin cooee of ’er!” Against hope he turned and looked along the road; felt every pocket, lifted his feet, and looked under the mat. His companion, in reply, said she had not seen."
lead_only,Project Gutenberg,public_domain_ebook,A,spirits in Bush Studies,Bush Studies; Barbara Baynton,1902; Project Gutenberg public-domain transcription,2026-06-22,https://www.gutenberg.org/ebooks/78420.txt.utf-8,https://www.gutenberg.org/ebooks/78420.txt.utf-8,sprint-project-gutenberg-bay:gutenberg-78420-bush-studies:spirits:534a90933c6348d3,public_domain_public_web,public_access_text_available,descriptive_belief_record,context_only,"Public-domain Australian story collection; accepted rows are constrained to supernatural, apparition, ghost, or anomalous person-form passages.",humanoid_adjacent_context,spirits,New South Wales,narrative_setting,,,region,,,,source_url_external_id_and_excerpt_hash_checked,reviewed_context,public_fiction_reviewed,low,not_accepted,context,"w his whip along the horse’s back, and haste seemed the object of the movement, though he did not flog the beast. After a few miles on the new track, a blob glittered dazzlingly through the glare, like a fallen star. It was the iron roof of the wine shanty--the Saturday night and Sunday resort of shearers and rouseabouts for twenty miles around. Most of its spirits was made on the premises from bush recipes, of which blue-stone and tobacco were the chief ingredients. Every drop had the reputation of “bitin’ orl ther way down.” A sapling studded with broken horse-shoes seemed to connect two lonely crow stone trees. Under their."
accepted,Project Gutenberg,public_domain_ebook,A,spirit in Bush Studies,Bush Studies; Barbara Baynton,1902; Project Gutenberg public-domain transcription,2026-06-22,https://www.gutenberg.org/ebooks/78420.txt.utf-8,https://www.gutenberg.org/ebooks/78420.txt.utf-8,sprint-project-gutenberg-bay:gutenberg-78420-bush-studies:spirit:f396da41d5629b97,public_domain_public_web,public_access_text_available,retelling_or_adaptation,source_grounded_section_record,"Public-domain Australian story collection; accepted rows are constrained to supernatural, apparition, ghost, or anomalous person-form passages.",explicit_supernatural_or_anomalous_person_form_agent,spirit,New South Wales,narrative_setting,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_fiction_reviewed,low,accepted,,"for breakfast. He began energetically something about, “by-an’-bye me getty mally. By Cli’ no ’alf cas--too muchee longa jlaw.” He laughed and shook his head, reminiscent of “las’ a night,” and waited for applause. But, fascinated, she still watched the dog, who from time to time continued to take “saw” with his flies. “Go ou’ si’, Sir,” said the cook in a spirit of rivalry. The dog stood and snapped, “Go ou’ si’, I say!” No notice from the dog “Go ou’ si’, I tella you!” stamping his slippered feet and taking a fire stick. The dog leisurely sat down and looked at his master with mild reproof. “Go insi’ then, any bloo’y si’ you."
rejected,Project Gutenberg,public_domain_ebook,A,spirits in Bush Studies,Bush Studies; Barbara Baynton,1902; Project Gutenberg public-domain transcription,2026-06-22,https://www.gutenberg.org/ebooks/78420.txt.utf-8,https://www.gutenberg.org/ebooks/78420.txt.utf-8,sprint-project-gutenberg-bay:gutenberg-78420-bush-studies:spirits:9863fa7d6861926d,public_domain_public_web,public_access_text_available,descriptive_belief_record,context_only,"Public-domain Australian story collection; accepted rows are constrained to supernatural, apparition, ghost, or anomalous person-form passages.",insufficient_person_form_evidence,spirits,New South Wales,narrative_setting,,,region,,,,source_url_external_id_and_excerpt_hash_checked,reviewed_context,public_fiction_reviewed,low,not_accepted,rejected,"ught. Nor did it always rain when he wanted it fine. Things did not go wrong every day, and he did not beat her or Joey unless they did. A pound of lollies for her and the kids from a dealer’s cart when one came round, would make her think him the best husband in the world. There was between Jyne and Ned the opposition that is instinctive between commanding spirits. Liz yielded obedience first to Ned then to Jyne. “Ow’s Polly?” enquired Liz, her countenance showing the gravity of the question. “Arst ’im,” snarled Jyne, baring her fangs and looking at uneasy shuffling Alick. “Makin’ ’er dror three casts er worter ten mile, an’ er."
accepted,Project Gutenberg,public_domain_ebook,A,giant in Bush Studies,Bush Studies; Barbara Baynton,1902; Project Gutenberg public-domain transcription,2026-06-22,https://www.gutenberg.org/ebooks/78420.txt.utf-8,https://www.gutenberg.org/ebooks/78420.txt.utf-8,sprint-project-gutenberg-bay:gutenberg-78420-bush-studies:giant:e2087a2c3f55a44f,public_domain_public_web,public_access_text_available,retelling_or_adaptation,source_grounded_section_record,"Public-domain Australian story collection; accepted rows are constrained to supernatural, apparition, ghost, or anomalous person-form passages.",explicit_supernatural_or_anomalous_person_form_agent,giant,New South Wales,narrative_setting,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_fiction_reviewed,low,accepted,,"ased. The weird cry from the “Bendy Tree” pierced and conquered the deep throated wind. Then a sweet dream voice whispered “Little Woman!” Soft, strong arms carried her on. Weakness aroused the melting idea that all had been a mistake, and she had been fighting with friends. The wind even crooned a lullaby. Above the angry waters her face rose untroubled. A giant tree’s fallen body said, “Thus far!” and in vain the athletic furious water rushed and strove to throw her over the barrier. Driven back, it tried to take her with it. But a jagged arm of the tree snagged her cloak and held her. Bruised and half conscious she was left to."
accepted,Project Gutenberg,public_domain_ebook,A,giant in Bush Studies,Bush Studies; Barbara Baynton,1902; Project Gutenberg public-domain transcription,2026-06-22,https://www.gutenberg.org/ebooks/78420.txt.utf-8,https://www.gutenberg.org/ebooks/78420.txt.utf-8,sprint-project-gutenberg-bay:gutenberg-78420-bush-studies:giant:9d3b217b7fc4c700,public_domain_public_web,public_access_text_available,retelling_or_adaptation,source_grounded_section_record,"Public-domain Australian story collection; accepted rows are constrained to supernatural, apparition, ghost, or anomalous person-form passages.",explicit_supernatural_or_anomalous_person_form_agent,giant,New South Wales,narrative_setting,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_fiction_reviewed,low,accepted,,"almon tin sent him careering in a muzzled frenzy, that caused the younger woman’s thick lips to part grinningly till he came too close. The remaining sheep were regularly yarded. His old mate heard him whistle as he did it. Squeaker began to work about a little burning off. So that now, added to the other bush voices, was the call from some untimely falling giant. There is no sound so human as that from the riven souls of these tree people, or the trembling sighs of their upright neighbours whose hands in time will meet over the victim’s fallen body. There was no bunk on the side of the hut to which her eyes turned, but her dog."
accepted,Project Gutenberg,public_domain_ebook,A,giant in Bush Studies,Bush Studies; Barbara Baynton,1902; Project Gutenberg public-domain transcription,2026-06-22,https://www.gutenberg.org/ebooks/78420.txt.utf-8,https://www.gutenberg.org/ebooks/78420.txt.utf-8,sprint-project-gutenberg-bay:gutenberg-78420-bush-studies:giant:20af4ff6f38a494f,public_domain_public_web,public_access_text_available,retelling_or_adaptation,source_grounded_section_record,"Public-domain Australian story collection; accepted rows are constrained to supernatural, apparition, ghost, or anomalous person-form passages.",explicit_supernatural_or_anomalous_person_form_agent,giant,New South Wales,narrative_setting,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_fiction_reviewed,low,accepted,,"as swept down with it. Vainly she fought for either bank. She opened her lips to call. The wind made a funnel of her mouth and throat, and a wave of muddy water choked her cry. She struggled desperately, but after a few mouthfuls she ceased. The weird cry from the “Bendy Tree” pierced and conquered the deep throated wind. Then a sweet dream voice whispered “Little Woman!” Soft, strong arms carried her on. Weakness aroused the melting idea that all had been a mistake, and she had been fighting with friends. The wind even crooned a lullaby. Above the angry waters her face rose untroubled. A giant tree’s fallen body said, “Thus far!”."
accepted,Project Gutenberg,public_domain_ebook,A,little woman in Bush Studies,Bush Studies; Barbara Baynton,1902; Project Gutenberg public-domain transcription,2026-06-22,https://www.gutenberg.org/ebooks/78420.txt.utf-8,https://www.gutenberg.org/ebooks/78420.txt.utf-8,sprint-project-gutenberg-bay:gutenberg-78420-bush-studies:little-woman:d68c3e84418ac8b0,public_domain_public_web,public_access_text_available,retelling_or_adaptation,source_grounded_section_record,"Public-domain Australian story collection; accepted rows are constrained to supernatural, apparition, ghost, or anomalous person-form passages.",explicit_supernatural_or_anomalous_person_form_agent,little woman,New South Wales,narrative_setting,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_fiction_reviewed,low,accepted,,"er pace, but did not run--motherhood is instinct in woman. The rain had come again, and the wind buffeted her. To breathe was a battle, yet she went on swiftly, for at the sight of the light her nameless fear had left her. She would tell mother how she had heard her call in the night, and mother would smile her grave smile and stroke her wet hair, call her “Little woman! My little woman!” and tell her she had been dreaming, just dreaming. Ah, but mother herself was a dreamer! The gate was swollen with rain and difficult to open. It had been opened by mother last time. But plainly her letter had not reached home. Perhaps the bad."
