candidate_status,source_name,source_type,source_tier,title,publication_or_organisation,publication_date_text,access_date,url,canonical_url,external_id,publicness_status,rights_access_status,narrative_type,secondary_role,australian_relation,humanoid_basis,source_label,location_text,location_role,latitude,longitude,location_precision,geocode_source,geocode_verification_status,coordinate_evidence_note,duplicate_check_status,quality_class,ethics_review_status,cultural_sensitivity,acceptance_decision,rejection_reason,evidence_summary
accepted,Project Gutenberg,public_domain_ebook,A,spirits in Shearing in the Riverina,"Shearing in the Riverina, New South Wales; Rolf Boldrewood",1872; Project Gutenberg public-domain transcription,2026-06-22,https://www.gutenberg.org/ebooks/4221.txt.utf-8,https://www.gutenberg.org/ebooks/4221.txt.utf-8,sprint-project-gutenberg-bol:gutenberg-4221-shearing-rive:spirits:b7aac81c478b0ebe,public_domain_public_web,public_access_text_available,retelling_or_adaptation,source_grounded_section_record,"Public-domain Australian sketch explicitly concerning the Riverina, New South Wales; accepted rows are constrained to supernatural, apparition, ghost, or anomalous person-form passages.",explicit_supernatural_or_anomalous_person_form_agent,spirits,"Riverina, NSW",narrative_setting,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_fiction_reviewed,low,accepted,,"before the shearing agreement is signed. Hence, it is entirely their own affair whether their mess bills are extravagant or economical. They can have anything within the rather wide range of the station store. PATES DE FOIE GRAS, ortolans, roast ostrich, novels, top-boots, double-barrelled guns, IF THEY LIKE TO PAY FOR THEM--with one exception. No wine, no spirits! Neither are they permitted to bring these stimulants ""on to the grounds"" for their private use. Grog at shearing? Matches in a powder-mill! It's very sad and bad; but our Anglo-Saxon industrial or defensive champion cannot be trusted with the fire-water. Navvies,."
accepted,Project Gutenberg,public_domain_ebook,A,spirits in Shearing in the Riverina,"Shearing in the Riverina, New South Wales; Rolf Boldrewood",1872; Project Gutenberg public-domain transcription,2026-06-22,https://www.gutenberg.org/ebooks/4221.txt.utf-8,https://www.gutenberg.org/ebooks/4221.txt.utf-8,sprint-project-gutenberg-bol:gutenberg-4221-shearing-rive:spirits:229e2bfb07b3268c,public_domain_public_web,public_access_text_available,retelling_or_adaptation,source_grounded_section_record,"Public-domain Australian sketch explicitly concerning the Riverina, New South Wales; accepted rows are constrained to supernatural, apparition, ghost, or anomalous person-form passages.",explicit_supernatural_or_anomalous_person_form_agent,spirits,"Riverina, NSW",narrative_setting,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_fiction_reviewed,low,accepted,,"the fire-water. Navvies, men-of-war's men, soldiers, AND shearers--fine fellows all. But though the younger men might only drink in moderation, the majority and the older men are utterly without self-control once in the front of temptation. And wars, 'wounds without cause,' hot heads, shaking hands, delay and bad shearing, would be the inevitable results of spirits A LA DISCRETION. So much is this a matter of certainty from experience that a clause is inserted, and cheerfully signed, in most shearing agreements, ""that any man getting drunk or bringing spirits on to the station during shearing, LOSES THE WHOLE OF the money earned."
accepted,Project Gutenberg,public_domain_ebook,A,spirits in Shearing in the Riverina,"Shearing in the Riverina, New South Wales; Rolf Boldrewood",1872; Project Gutenberg public-domain transcription,2026-06-22,https://www.gutenberg.org/ebooks/4221.txt.utf-8,https://www.gutenberg.org/ebooks/4221.txt.utf-8,sprint-project-gutenberg-bol:gutenberg-4221-shearing-rive:spirits:5183b909906e2d57,public_domain_public_web,public_access_text_available,retelling_or_adaptation,source_grounded_section_record,"Public-domain Australian sketch explicitly concerning the Riverina, New South Wales; accepted rows are constrained to supernatural, apparition, ghost, or anomalous person-form passages.",explicit_supernatural_or_anomalous_person_form_agent,spirits,"Riverina, NSW",narrative_setting,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_fiction_reviewed,low,accepted,,"f-control once in the front of temptation. And wars, 'wounds without cause,' hot heads, shaking hands, delay and bad shearing, would be the inevitable results of spirits A LA DISCRETION. So much is this a matter of certainty from experience that a clause is inserted, and cheerfully signed, in most shearing agreements, ""that any man getting drunk or bringing spirits on to the station during shearing, LOSES THE WHOLE OF the money earned by him."" The men know that the restriction is for their benefit, as well as for the interest of the master, and join in the prohibition heartily. Let us give a glance at the small army of working-men."
rejected,Project Gutenberg,public_domain_ebook,A,spirits in Shearing in the Riverina,"Shearing in the Riverina, New South Wales; Rolf Boldrewood",1872; Project Gutenberg public-domain transcription,2026-06-22,https://www.gutenberg.org/ebooks/4221.txt.utf-8,https://www.gutenberg.org/ebooks/4221.txt.utf-8,sprint-project-gutenberg-bol:gutenberg-4221-shearing-rive:spirits:a20c61688c084aa6,public_domain_public_web,public_access_text_available,descriptive_belief_record,context_only,"Public-domain Australian sketch explicitly concerning the Riverina, New South Wales; accepted rows are constrained to supernatural, apparition, ghost, or anomalous person-form passages.",insufficient_person_form_evidence,spirits,"Riverina, NSW",narrative_setting,,,region,,,,source_url_external_id_and_excerpt_hash_checked,reviewed_context,public_fiction_reviewed,low,not_accepted,rejected,"nly to those whose physical powers have been taxed to the utmost and who can bear without injury the daily tension. Everything and everybody were in splendid working order, nothing out of gear. Rapid and regular as a steam-engine the great host of toilers moved onward daily with a march which promised an unusually early completion. Mr Gordon was not in high spirits, for so cautious and far-seeing a captain rarely felt himself so independent of circumstances as to indulge in that reckless mood--but much satisfied with the prospect. Whew! The afternoon darkens, and the night is delivered over to water-spouts and hurricanes, as it."
accepted,Project Gutenberg,public_domain_ebook,A,giant in Shearing in the Riverina,"Shearing in the Riverina, New South Wales; Rolf Boldrewood",1872; Project Gutenberg public-domain transcription,2026-06-22,https://www.gutenberg.org/ebooks/4221.txt.utf-8,https://www.gutenberg.org/ebooks/4221.txt.utf-8,sprint-project-gutenberg-bol:gutenberg-4221-shearing-rive:giant:13749e4110ecbebe,public_domain_public_web,public_access_text_available,retelling_or_adaptation,source_grounded_section_record,"Public-domain Australian sketch explicitly concerning the Riverina, New South Wales; accepted rows are constrained to supernatural, apparition, ghost, or anomalous person-form passages.",explicit_supernatural_or_anomalous_person_form_agent,giant,"Riverina, NSW",narrative_setting,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_fiction_reviewed,low,accepted,,"iver, to visit the next township, from ten to thirty miles distant, as the case may be, every time the former wanted a pound of tobacco, or the latter a pair of boots. They might possibly obtain these necessary articles as good in quality, as cheap in price. But there are wolves in that wood, oh, my weak brothers! In all towns dwells one of the 'sons of the Giant'--the Giant Grog--red-eyed, with steel muscles and iron claws; once in these, which have held many and better men to the death, neither Barney nor Bill emerges, save pale, fevered, nerveless, and impecunious. So arose the station store. Barney befits himself with boots."
