id,canonical_id,card_type,title,subtitle,source_name,source_family,layer_type,display_label,year_or_range,state_or_region,url,canonical_url,redirect_target,badge,caveat,public_record_status,map_display_status
accepted_record_853,853,accepted_record_card,1825 - Richmond River Herald 06-03-1825,Australian Yowie Research,Australian Yowie Research,modern_web,accepted_public_record,Accepted public record,1825,NSW,https://www.yowiehunters.com.au/media-clips/2254-1825-richmond-river-herald-06-03-1825,https://www.yowiehunters.com.au/media-clips/2254-1825-richmond-river-herald-06-03-1825,,Accepted record,Accepted public record; public source exists does not verify the supernatural claim.,accepted_public_record,accepted_public_map_point
accepted_record_854,854,accepted_record_card,1825 - Sugarloaf Mountain NSW Yowie Article - Source Unknown,Australian Yowie Research,Australian Yowie Research,modern_web,accepted_public_record,Accepted public record,1825,NSW,https://www.yowiehunters.com.au/media-clips/2154-1825-sugarloaf-mountain-nsw-yowie-article-source-unknown,https://www.yowiehunters.com.au/media-clips/2154-1825-sugarloaf-mountain-nsw-yowie-article-source-unknown,,Accepted record,Accepted public record; public source exists does not verify the supernatural claim.,accepted_public_record,not_public_map
accepted_record_636,636,accepted_record_card,1831 - Sailors Yowie Hoax?,Australian Yowie Research,Australian Yowie Research,modern_web,accepted_public_record,Accepted public record,1831,NSW,https://www.yowiehunters.com.au/historical-articles/1525-sailors-yowie-hoax-1831,https://www.yowiehunters.com.au/historical-articles/1525-sailors-yowie-hoax-1831,,Accepted record,Accepted public record; public source exists does not verify the supernatural claim.,accepted_public_record,not_public_map
accepted_record_1059,1059,accepted_record_card,1842 - Aust and NZ Monthly Magazine Article,Australian Yowie Research,Australian Yowie Research,modern_web,accepted_public_record,Accepted public record,1842,Australia (Australia): medium,https://www.yowiehunters.com.au/historical-articles/1486-aust-and-nz-monthly-magazine-article-1842,https://www.yowiehunters.com.au/historical-articles/1486-aust-and-nz-monthly-magazine-article-1842,,Accepted record,Accepted public record; public source exists does not verify the supernatural claim.,accepted_public_record,not_public_map
accepted_record_2085,2085,accepted_record_card,Boylya in A Descriptive Vocabulary of the Language in Common Use Amongst the Aborigines of Western Australia,A Descriptive Vocabulary of the Language in Common Use Amongst the Aborigines of Western Australia; George Fletcher Moore,Internet Archive,repository_full_text,accepted_public_record,Accepted public record,1842,WA,https://archive.org/download/adescriptivevoc00moorgoog/adescriptivevoc00moorgoog_djvu.txt,https://archive.org/download/adescriptivevoc00moorgoog/adescriptivevoc00moorgoog_djvu.txt,,Accepted record,Accepted public record; public source exists does not verify the supernatural claim.,accepted_public_record,not_public_map
accepted_record_2086,2086,accepted_record_card,Boylya in A Descriptive Vocabulary of the Language in Common Use Amongst the Aborigines of Western Australia,A Descriptive Vocabulary of the Language in Common Use Amongst the Aborigines of Western Australia; George Fletcher Moore,Internet Archive,repository_full_text,accepted_public_record,Accepted public record,1842,WA,https://archive.org/download/adescriptivevoc00moorgoog/adescriptivevoc00moorgoog_djvu.txt,https://archive.org/download/adescriptivevoc00moorgoog/adescriptivevoc00moorgoog_djvu.txt,,Accepted record,Accepted public record; public source exists does not verify the supernatural claim.,accepted_public_record,not_public_map
accepted_record_2087,2087,accepted_record_card,Boylya in A Descriptive Vocabulary of the Language in Common Use Amongst the Aborigines of Western Australia,A Descriptive Vocabulary of the Language in Common Use Amongst the Aborigines of Western Australia; George Fletcher Moore,Internet Archive,repository_full_text,accepted_public_record,Accepted public record,1842,WA,https://archive.org/download/adescriptivevoc00moorgoog/adescriptivevoc00moorgoog_djvu.txt,https://archive.org/download/adescriptivevoc00moorgoog/adescriptivevoc00moorgoog_djvu.txt,,Accepted record,Accepted public record; public source exists does not verify the supernatural claim.,accepted_public_record,not_public_map
accepted_record_2088,2088,accepted_record_card,Boylya in A Descriptive Vocabulary of the Language in Common Use Amongst the Aborigines of Western Australia,A Descriptive Vocabulary of the Language in Common Use Amongst the Aborigines of Western Australia; George Fletcher Moore,Internet Archive,repository_full_text,accepted_public_record,Accepted public record,1842,WA,https://archive.org/download/adescriptivevoc00moorgoog/adescriptivevoc00moorgoog_djvu.txt,https://archive.org/download/adescriptivevoc00moorgoog/adescriptivevoc00moorgoog_djvu.txt,,Accepted record,Accepted public record; public source exists does not verify the supernatural claim.,accepted_public_record,not_public_map
accepted_record_2089,2089,accepted_record_card,wizard in A Descriptive Vocabulary of the Language in Common Use Amongst the Aborigines of Western Australia,A Descriptive Vocabulary of the Language in Common Use Amongst the Aborigines of Western Australia; George Fletcher Moore,Internet Archive,repository_full_text,accepted_public_record,Accepted public record,1842,WA,https://archive.org/download/adescriptivevoc00moorgoog/adescriptivevoc00moorgoog_djvu.txt,https://archive.org/download/adescriptivevoc00moorgoog/adescriptivevoc00moorgoog_djvu.txt,,Accepted record,Accepted public record; public source exists does not verify the supernatural claim.,accepted_public_record,not_public_map
accepted_record_2090,2090,accepted_record_card,magician in A Descriptive Vocabulary of the Language in Common Use Amongst the Aborigines of Western Australia,A Descriptive Vocabulary of the Language in Common Use Amongst the Aborigines of Western Australia; George Fletcher Moore,Internet Archive,repository_full_text,accepted_public_record,Accepted public record,1842,WA,https://archive.org/download/adescriptivevoc00moorgoog/adescriptivevoc00moorgoog_djvu.txt,https://archive.org/download/adescriptivevoc00moorgoog/adescriptivevoc00moorgoog_djvu.txt,,Accepted record,Accepted public record; public source exists does not verify the supernatural claim.,accepted_public_record,not_public_map
