candidate_status,source_name,source_type,source_tier,title,publication_or_organisation,publication_date_text,access_date,url,canonical_url,external_id,publicness_status,rights_access_status,narrative_type,secondary_role,australian_relation,humanoid_basis,source_label,location_text,location_role,latitude,longitude,location_precision,geocode_source,geocode_verification_status,coordinate_evidence_note,duplicate_check_status,quality_class,ethics_review_status,cultural_sensitivity,acceptance_decision,rejection_reason,evidence_summary
accepted,Project Gutenberg Australia,public_domain_ebook,A,embodied ghost in Human Repetends,Human Repetends; Marcus Clarke,1872,2026-06-22,https://gutenberg.net.au/ebooks06/0601221.txt,https://gutenberg.net.au/ebooks06/0601221.txt,sprint-pga-clarke-human-repe:pga-clarke-human-repetends:embodied-ghost:001,public_domain_public_web,public_access_text_available,apparition_account,source_grounded_section_record,"Public-domain short story by Australian colonial writer Marcus Clarke, distributed by Project Gutenberg Australia.",explicit_supernatural_or_anomalous_person_form_agent,embodied ghost,Australia,narrative_setting,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"h almost no restrictions whatsoever. You may copy it, give it away or re-use it under the terms of the Project Gutenberg of Australia License which may be viewed online at http://gutenberg.net.au/licence.html To contact Project Gutenberg of Australia go to http://gutenberg.net.au Human Repetends (1872) Marcus Clarke ""Come!"" cried Marston, ""the story of your embodied ghost! Speak, thou gloomy Pythagorean!"" ""Most men,"" began Pontifex, ""however roughly the world has used them, can recall a period in their lives when they were absolutely happy, when each night closed with the collection of new pleasures tasted, when the progress of."
accepted,Project Gutenberg Australia,public_domain_ebook,A,ghost in Human Repetends,Human Repetends; Marcus Clarke,1872,2026-06-22,https://gutenberg.net.au/ebooks06/0601221.txt,https://gutenberg.net.au/ebooks06/0601221.txt,sprint-pga-clarke-human-repe:pga-clarke-human-repetends:ghost:002,public_domain_public_web,public_access_text_available,apparition_account,source_grounded_section_record,"Public-domain short story by Australian colonial writer Marcus Clarke, distributed by Project Gutenberg Australia.",explicit_supernatural_or_anomalous_person_form_agent,ghost,Australia,narrative_setting,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"lose her before a word could pass between us, appeared to give me the right to seek to know more of her. The proud queen of many a fantastic dream-revel; the sad chatelaine of many an air-built castle; had this portrait leapt to life beneath my glances as bounded to earth the nymph from beneath the chisel of Pygmalion? Had the lost one who passed me like a ghost in the gloaming come out of the grave in which they had placed her four hundred years ago? What meant this resurrection of buried beauty? What was the mysterious portent of this living presentment of a dead and forgotten sin? I saw the poor creature buried. I wept--no."
accepted,Project Gutenberg Australia,public_domain_ebook,A,haunted in Human Repetends,Human Repetends; Marcus Clarke,1872,2026-06-22,https://gutenberg.net.au/ebooks06/0601221.txt,https://gutenberg.net.au/ebooks06/0601221.txt,sprint-pga-clarke-human-repe:pga-clarke-human-repetends:haunted:003,public_domain_public_web,public_access_text_available,spirit_person_narrative,source_grounded_section_record,"Public-domain short story by Australian colonial writer Marcus Clarke, distributed by Project Gutenberg Australia.",explicit_supernatural_or_anomalous_person_form_agent,haunted,Australia,narrative_setting,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"nce join the deceased was in reality of little value (for I was compelled to admit that I had never seen the woman before in my life, and that my glimpse of her companion was but momentary), the supposition was treated with contempt and the 'case' dismissed from the memory of the public. ""It did not fade so easily from my mind. To speak truth, indeed, I was haunted by the hideous thing which I had been sent to 'view' upon the coarse table of that wretched dead-house which then disgraced our city. The obscene and cruel fate of the unhappy woman whose portrait had so long looked down upon me filled me not only with horror, but with."
rejected,Project Gutenberg Australia,public_domain_ebook,A,spirits in Human Repetends,Human Repetends; Marcus Clarke,1872,2026-06-22,https://gutenberg.net.au/ebooks06/0601221.txt,https://gutenberg.net.au/ebooks06/0601221.txt,sprint-pga-clarke-human-repe:pga-clarke-human-repetends:spirits:004,public_domain_public_web,public_access_text_available,descriptive_belief_record,context_only,"Public-domain short story by Australian colonial writer Marcus Clarke, distributed by Project Gutenberg Australia.",insufficient_person_form_evidence,spirits,Australia,narrative_setting,,,region,,,,source_url_external_id_and_excerpt_hash_checked,reviewed_context,public_context_reviewed,moderate,not_accepted,rejected,"wrote for The Argus, knew the editor, would try to procure work for me. That meeting, Noah, laid the foundation of such independence as I now claim. Shaken in health by my recent privations, and bled in mind by the horrible and inexplicable mystery which I seemed to have stumbled, I was for some weeks seriously ill. Warrend saw that something preyed upon my spirits, and pressed me to unbosom myself. I told him the story, and produced the print. ""I must beg your grace for what I am about to tell you. You may regard the story as unworthy of credit, or sneer at it as the result of a 'coincidence.' It is simply true, for all that.""."
