table,row_count
aliases,40
attention_series,0
auxiliary_source_intelligence,15000
canonical_id_redirects,8697
canonical_url_redirects,9876
coding,4638
collection_candidate_record_mappings,3541
collection_candidates,0
collection_candidates_v2,5852
collection_route_runs,0
collection_routes,99
collection_runs,111
constraint_relaxation_scenarios,10
dedupe_groups,1
encounter_events,909
entity_concepts,4
entity_labels,4517
exclusions,2
figures,32
geocode_review_queue,6
harvest_candidates,7200
harvest_discovered_routes,1239
harvest_frontier,2867
harvest_milestones,1
harvest_pages,94
harvest_route_stats,42
harvest_runs,2
harvest_temporal_evidence,214
leads,0
legacy_record_mappings,985
locations,1046
narrative_locations,4393
narrative_relations,0
narrative_source_links,4457
narrative_units,4457
noauth_endpoint_inventory,22
noauth_endpoint_queries,659
noauth_endpoint_records,120
noauth_endpoint_route_stats,22
provisional_records,2762
queries,328
record_alias_matches,1143
record_dedupe,1
record_locations,4808
records,4638
release_gate_results,12
release_lead_overlay_items,1448
release_metadata_gap_items,1552
release_source_intelligence_items,0
research_volume_items,25000
research_volume_milestones,3
research_volume_runs,1
reviews,0
schema_migrations,2
source_chains,0
source_items,4526
source_quality_reviews,99
sources,54
structured_endpoint_enriched_records,240
structured_endpoint_near_misses,120
target_gap_lead_clusters,203
target_gap_leads,21343
