sample_id,source_population,lead_id,lead_type,constraint_blocker,source_family,route_family,priority_bucket,lead_score,source_name,source_tier,target_state,inferred_year,temporal_signal_present,term_signal_present,place_signal_present,url_domain,duplicate_status,sample_stratum,redaction_note,source_chain_complete,original_source_identifiable,evidence_source_adequate,date_available,term_available,source_stated_place_available,ethics_sensitive,record_eligible,map_eligible,reason_not_eligible,reviewer_notes
audit_051,target_gap_leads,tgl_d5378dd1864c593cc367139c,SOURCE_ATLAS_ROUTE_LEAD,missing_item_url,state_library_catalogue,state_library_catalogue,PRIORITY_LEAD,100.0,J.S. Battye Library of West Australian History,A,WA,1945,1,1,1,catalogue.slwa.wa.gov.au,unchecked,missing_item_url / state_library_catalogue,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_052,target_gap_leads,tgl_e8bc5a9b1d1e052b8d57b8e8,METADATA_ONLY_1955_1976_LEAD,missing_term,local_history_serial,local_history_serial,PRIORITY_LEAD,100.0,Royal Australian Historical Society,B,ACT,1958,1,0,1,rahs.org.au,unchecked,missing_term / local_history_serial,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_053,target_gap_leads,tgl_0c81bbfdb9069ff2641105d3,SOURCE_ATLAS_ROUTE_LEAD,missing_item_url,national_library_catalogue,national_library_catalogue,PRIORITY_LEAD,100.0,NLA Catalogue,A,NT,1926,1,1,1,catalogue.nla.gov.au,unchecked,missing_item_url / national_library_catalogue,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_054,target_gap_leads,tgl_aba0a8616f91453eea91ee8c,METADATA_ONLY_1955_1976_LEAD,missing_term,national_archive_catalogue,national_archive_catalogue,PRIORITY_LEAD,100.0,National Archives of Australia RecordSearch,A,TAS,1959,1,0,1,recordsearch.naa.gov.au,unchecked,missing_term / national_archive_catalogue,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_055,target_gap_leads,tgl_082d3fd455a96acd4a89a4e0,STRUCTURED_ENDPOINT_ROUTE_LEAD,missing_date,WORDPRESS_REST,council_local_studies,GOOD_LEAD,70.0,Fremantle History Centre,B,WA,,0,0,0,fremantle.wa.gov.au,unique,missing_date / WORDPRESS_REST,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_056,target_gap_leads,tgl_bcfb5e712fd8ee1b052b6a72,METADATA_ONLY_1955_1976_LEAD,strict_record_gate_not_met,state_archive_catalogue,state_archive_catalogue,PRIORITY_LEAD,100.0,ANU Archives,A,ACT,1958,1,1,1,archivescollection.anu.edu.au,unchecked,strict_record_gate_not_met / state_archive_catalogue,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_057,target_gap_leads,tgl_f483a2adf0d912683bd6e321,SOURCE_ATLAS_ROUTE_LEAD,missing_item_url,national_archive_catalogue,national_archive_catalogue,PRIORITY_LEAD,100.0,National Archives of Australia RecordSearch,A,SA,1932,1,1,1,recordsearch.naa.gov.au,unchecked,missing_item_url / national_archive_catalogue,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_058,target_gap_leads,tgl_00915f5c806da05ed26cbf69,METADATA_ONLY_1955_1976_LEAD,strict_record_gate_not_met,heritage_register,heritage_register,PRIORITY_LEAD,100.0,Northern Territory Heritage Register,A,NT,1958,1,1,1,nt.gov.au,unchecked,strict_record_gate_not_met / heritage_register,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_059,target_gap_leads,tgl_48a597991e4b5a816a703b83,METADATA_ONLY_1955_1976_LEAD,missing_term,state_library_catalogue,state_library_catalogue,PRIORITY_LEAD,100.0,Territory Stories,A,NT,1968,1,0,1,territorystories.nt.gov.au,unchecked,missing_term / state_library_catalogue,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_060,target_gap_leads,tgl_4a4fe89199ae8634ca56c9a5,DATE_NO_TERM_LEAD,missing_term,,museum_heritage_page,PRIORITY_LEAD,100.0,Museum and Art Gallery of the Northern Territory,A,NT,1968,1,0,0,magnt.net.au,canonical,missing_term / (missing),metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_061,target_gap_leads,tgl_d86c26a639e3d63c998c5ed2,SOURCE_ATLAS_ROUTE_LEAD,missing_item_url,state_archive_catalogue,state_archive_catalogue,PRIORITY_LEAD,100.0,Tasmanian Archives,A,TAS,1943,1,1,1,libraries.tas.gov.au,unchecked,missing_item_url / state_archive_catalogue,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_062,target_gap_leads,tgl_1546e291e4d85b88ea08a90e,METADATA_ONLY_1955_1976_LEAD,missing_term,museum_heritage_page,museum_heritage_page,PRIORITY_LEAD,100.0,Queensland Museum Network,B,ACT,1955,1,0,1,museum.qld.gov.au,unchecked,missing_term / museum_heritage_page,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_063,target_gap_leads,tgl_2402779278d8379f1b82b702,ROBOTS_BLOCKED_NEAR_MISS,robots_unknown,RSS_ATOM,broadcast_catalogue,BLOCKED_ROBOTS,80.0,NFSA Collection,A,NATIONAL,1975,1,0,0,nfsa.gov.au,duplicate,robots_unknown / RSS_ATOM,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_064,target_gap_leads,tgl_e4555db364a5d1df99fc1b8e,STRUCTURED_ENDPOINT_ROUTE_LEAD,missing_date,ATOM_AtoM,local_history_serial,GOOD_LEAD,70.0,Royal Western Australian Historical Society,B,WA,,0,0,0,histwest.org.au,unique,missing_date / ATOM_AtoM,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_065,target_gap_leads,tgl_3c855a28e5aa869cfb836e69,SOURCE_ATLAS_ROUTE_LEAD,missing_item_url,local_history_serial,local_history_serial,PRIORITY_LEAD,100.0,Tasmanian Historical Research Association,B,TAS,1965,1,1,1,thra.org.au,unchecked,missing_item_url / local_history_serial,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_066,target_gap_leads,tgl_1c6797d8f190dd060a619bb7,METADATA_ONLY_1955_1976_LEAD,strict_record_gate_not_met,structured_endpoint,museum_heritage_page,PRIORITY_LEAD,100.0,Western Australian Museum,A,WA,1940,1,1,1,museum.wa.gov.au,duplicate,strict_record_gate_not_met / structured_endpoint,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_067,target_gap_leads,tgl_4be38a66729e49d48a44cee9,STRUCTURED_ENDPOINT_ROUTE_LEAD,missing_date,ATOM_AtoM,council_local_studies,GOOD_LEAD,70.0,Fremantle History Centre,B,WA,,0,0,0,fremantle.wa.gov.au,unique,missing_date / ATOM_AtoM,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_068,target_gap_leads,tgl_4a54ab5cf88bcce0753d045b,METADATA_ONLY_1955_1976_LEAD,strict_record_gate_not_met,council_local_studies,council_local_studies,PRIORITY_LEAD,100.0,Fremantle History Centre,B,WA,1955,1,1,1,fremantle.wa.gov.au,unchecked,strict_record_gate_not_met / council_local_studies,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_069,target_gap_leads,tgl_da531a45ea9a601460ca0e4d,METADATA_ONLY_1955_1976_LEAD,missing_term,,museum_heritage_page,PRIORITY_LEAD,100.0,Museum and Art Gallery of the Northern Territory,A,NT,1968,1,0,0,magnt.net.au,duplicate,missing_term / (missing),metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_070,target_gap_leads,tgl_8ee0903e990cd6f66f1c21cb,ROBOTS_BLOCKED_NEAR_MISS,robots_unknown,RSS_ATOM,museum_heritage_page,BLOCKED_ROBOTS,0.0,Western Australian Museum,A,WA,,0,0,0,museum.wa.gov.au,duplicate,robots_unknown / RSS_ATOM,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_071,target_gap_leads,tgl_aff56dcdc69cbeedb38bca86,SOURCE_ATLAS_ROUTE_LEAD,missing_item_url,heritage_register,heritage_register,PRIORITY_LEAD,100.0,South Australian Heritage Places Database,A,SA,1937,1,1,1,maps.sa.gov.au,unchecked,missing_item_url / heritage_register,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_072,target_gap_leads,tgl_f9b0ce7a00cfde5fd3aec941,STRUCTURED_ENDPOINT_ROUTE_LEAD,missing_date,WORDPRESS_REST,local_history_serial,GOOD_LEAD,70.0,Royal Western Australian Historical Society,B,WA,,0,0,0,histwest.org.au,unique,missing_date / WORDPRESS_REST,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_073,target_gap_leads,tgl_08d989b5ef47403aacf564c7,METADATA_ONLY_1955_1976_LEAD,missing_term,local_history_serial,local_history_serial,PRIORITY_LEAD,100.0,Canberra & District Historical Society,B,ACT,1965,1,0,1,canberrahistory.org.au,unchecked,missing_term / local_history_serial,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_074,target_gap_leads,tgl_e1cf5f3fb80b1394c94cc4a2,METADATA_ONLY_1955_1976_LEAD,missing_date,controlled_supernatural,local_history_serial,PRIORITY_LEAD,80.0,Tasmanian Historical Research Association,B,TAS,,0,0,1,thra.org.au,canonical,missing_date / controlled_supernatural,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_075,target_gap_leads,tgl_b006d4dcaaa90669cfdb6b22,SOURCE_ATLAS_ROUTE_LEAD,missing_item_url,heritage_register,heritage_register,PRIORITY_LEAD,100.0,South Australian Heritage Places Database,A,SA,1948,1,1,1,maps.sa.gov.au,unchecked,missing_item_url / heritage_register,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_076,target_gap_leads,tgl_28a10e07e661487f3794f852,SOURCE_ATLAS_ROUTE_LEAD,missing_item_url,broadcast_catalogue,broadcast_catalogue,PRIORITY_LEAD,100.0,Australian Screen Online,C,SA,1933,1,1,1,aso.gov.au,unchecked,missing_item_url / broadcast_catalogue,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_077,target_gap_leads,tgl_a900c789e2eabc7d698768fb,METADATA_ONLY_1955_1976_LEAD,missing_term,broadcast_catalogue,broadcast_catalogue,PRIORITY_LEAD,100.0,ABC Archives Public Pages,C,SA,1960,1,0,1,abc.net.au,unchecked,missing_term / broadcast_catalogue,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_078,target_gap_leads,tgl_a3d9e34fee9db1e805f8dab8,METADATA_ONLY_1955_1976_LEAD,missing_term,broadcast_catalogue,broadcast_catalogue,PRIORITY_LEAD,100.0,ABC Public Pages,C,ACT,1959,1,0,1,abc.net.au,unchecked,missing_term / broadcast_catalogue,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
