candidate_status,source_name,source_type,source_tier,title,publication_or_organisation,publication_date_text,access_date,url,canonical_url,external_id,publicness_status,rights_access_status,narrative_type,secondary_role,australian_relation,humanoid_basis,source_label,location_text,location_role,latitude,longitude,location_precision,geocode_source,geocode_verification_status,coordinate_evidence_note,duplicate_check_status,quality_class,ethics_review_status,cultural_sensitivity,acceptance_decision,rejection_reason,evidence_summary
accepted,Australian Broadcasting Corporation,institutional_media_page,A,Murder on the Tasman Express: A radio play from ABC Radio Hobart. Episode 3,ABC; Evenings,2024-05-29,2026-06-22,https://www.abc.net.au/listen/programs/hobart-evenings/murder-on-the-tasman-express-episode-3/103911228,https://www.abc.net.au/listen/programs/hobart-evenings/murder-on-the-tasman-express-episode-3/103911228,abc:103911228:richmond-gaol,public_media_page,public_access_short_excerpt_only,apparition_account,place_first_public_media_record,"Exact-site ABC public media search for named Australian haunted, ghost, apparition, yowie, or paranormal places, using only unambiguous place aliases.",explicit_supernatural_or_anomalous_person_form_agent,ghosts,"Richmond Gaol, TAS",apparition_location,-42.7363111,147.4392723,exact_site,nominatim_openstreetmap_state_checked_abc_place_2026-06-22,verified_gazetteer_point,"ABC text names `Richmond Gaol` in a ghost/supernatural context; gazetteer result state-checked as Richmond Gaol, Bathurst Street, Hobart, Tasmania, 7025, Australia.",abc_canonical_url_external_id_and_excerpt_hash_checked,B,public_media_context_reviewed,low,accepted,,"Murder on the Tasman Express: A radio play from ABC Radio Hobart. Episode 3 Can ghosts help our trapped travellers unmask the killer hiding right in front of them? The lights have gone out, the rain is coming down and the travellers in the Tasman Express are getting spooked. Are they truly alone? Can voices of radio broadcasts past shed light on who the murderer is? ABC Radio Tasmania Evenings with Helen Shield presents a six-part whodunnit murder mystery radio play, Murder on the Tasman Express. You can catch up on episode one and episode two on the Tasmania Evenings program page. Credits: Carriage announcements – Rachel Edwards Theon – loves fishing and takes his tackle box everywhere – Leon Compton Noel – not all heroes wear capes, but Noel does."
accepted,Australian Broadcasting Corporation,institutional_media_page,A,Australia's Most Haunted,ABC; The Ark,2006-11-12,2026-06-22,https://www.abc.net.au/listen/programs/ark/australias-most-haunted/3360028,https://www.abc.net.au/listen/programs/ark/australias-most-haunted/3360028,abc:3360028:national-film-and-sound,public_media_page,public_access_short_excerpt_only,apparition_account,place_first_public_media_record,"Exact-site ABC public media search for named Australian haunted, ghost, apparition, yowie, or paranormal places, using only unambiguous place aliases.",explicit_supernatural_or_anomalous_person_form_agent,most_haunted,"National Film and Sound Archive, ACT",apparition_location,-35.2828643,149.1209536,exact_site,nominatim_openstreetmap_state_checked_abc_place_2026-06-22,verified_gazetteer_point,"ABC text names `National Film and Sound Archive` in a ghost/supernatural context; gazetteer result state-checked as National Film and Sound Archive of Australia (NFSA), Liversidge Street, Acton, Canberra, District of Canberra Central, Australian Capital Territory, 2601, Australia.",abc_canonical_url_external_id_and_excerpt_hash_checked,B,public_media_context_reviewed,low,accepted,,"Australia's Most Haunted Tim the Yowie Man shares 15 years of investigation into the most mysterious and haunted places in Australia. Tim the Yowie Man shares 15 years of investigation into the most mysterious and haunted places in Australia. Rachael Kohn: The Monte Cristo Homestead in Junee, New South Wales, is the most haunted house in Australia, according to Tim the Yowie Man. This is The Ark, on ABC Radio National, with me, Rachael Kohn. This week, 'The Steve Irwin of Spooks' tells us some tall tales from the city to the outback. Monte Cristo is just one of the places people feel a shiver going up their spine: phantom piano playing, apparitions at the foot of the bed, a chill in the air. They've all been reported. But spooks don't just scare."
accepted,Australian Broadcasting Corporation,institutional_media_page,A,The Matilda Myth: Who'll Come a Waltzing?,ABC; Hindsight,2011-02-13,2026-06-22,https://www.abc.net.au/radionational/programs/archived/hindsight/the-matilda-myth-wholl-come-a-waltzing/3012634,https://www.abc.net.au/radionational/programs/archived/hindsight/the-matilda-myth-wholl-come-a-waltzing/3012634,abc:3012634:national-film-and-sound,public_media_page,public_access_short_excerpt_only,apparition_account,place_first_public_media_record,"Exact-site ABC public media search for named Australian haunted, ghost, apparition, yowie, or paranormal places, using only unambiguous place aliases.",explicit_supernatural_or_anomalous_person_form_agent,ghost,"National Film and Sound Archive, ACT",apparition_location,-35.2828643,149.1209536,exact_site,nominatim_openstreetmap_state_checked_abc_place_2026-06-22,verified_gazetteer_point,"ABC text names `National Film and Sound Archive` in a ghost/supernatural context; gazetteer result state-checked as National Film and Sound Archive of Australia (NFSA), Liversidge Street, Acton, Canberra, District of Canberra Central, Australian Capital Territory, 2601, Australia.",abc_canonical_url_external_id_and_excerpt_hash_checked,B,public_media_context_reviewed,low,accepted,,"ways that no other song is. Bill Kearns: Although it seems at times you think, well, it's rather a sad poem, but I can't think of any other tune that could take its place. Peter Forrest: When Australians want to summon up their reserves of energy and achievement, 'Waltzing Matilda' comes to their aid. Robyn Holmes: It's a great tune. You can sing it subtly, you can sing it boldly, you can sing it majestically, you can sing it any way you wish. And you've got something... you can tell it as a story, you know, 'the ghost may be heard,' or you can just sing it in a rousing chorus. Bill Kearns: I reckon 'Waltzing Matilda', regardless of the history behind it, I think it's taken on a life of its own, and yes, probably most of the people that hear it."
accepted,Australian Broadcasting Corporation,institutional_media_page,A,What are Canberra's most haunted places?,ABC; ABC,2018-08-26,2026-06-22,https://www.abc.net.au/news/specials/curious-canberra/2018-08-27/curous-canberra-most-haunted-places/10164596,https://www.abc.net.au/news/specials/curious-canberra/2018-08-27/curous-canberra-most-haunted-places/10164596,abc:10164596:national-film-and-sound,public_media_page,public_access_short_excerpt_only,apparition_account,place_first_public_media_record,"Exact-site ABC public media search for named Australian haunted, ghost, apparition, yowie, or paranormal places, using only unambiguous place aliases.",explicit_supernatural_or_anomalous_person_form_agent,most_haunted,"National Film and Sound Archive, ACT",apparition_location,-35.2828643,149.1209536,exact_site,nominatim_openstreetmap_state_checked_abc_place_2026-06-22,verified_gazetteer_point,"ABC text names `NFSA` in a ghost/supernatural context; gazetteer result state-checked as National Film and Sound Archive of Australia (NFSA), Liversidge Street, Acton, Canberra, District of Canberra Central, Australian Capital Territory, 2601, Australia.",abc_canonical_url_external_id_and_excerpt_hash_checked,B,public_media_context_reviewed,low,accepted,,"What are Canberra's most haunted places? If tales of ghoulish nurses, creeping shadows and prime ministerial ghosts get your blood pumping, you may have wondered where you could find thrills of the supernatural kind in Canberra. canberra haunted ghosts most kurrajong nfsa blundells cottage"
accepted,Australian Broadcasting Corporation,institutional_media_page,A,What are Canberra's most haunted places?,ABC; ABC,2018-08-26,2026-06-22,https://www.abc.net.au/news/specials/curious-canberra/2018-08-27/curous-canberra-most-haunted-places/10164596,https://www.abc.net.au/news/specials/curious-canberra/2018-08-27/curous-canberra-most-haunted-places/10164596,abc:10164596:blundells-cottage,public_media_page,public_access_short_excerpt_only,apparition_account,place_first_public_media_record,"Exact-site ABC public media search for named Australian haunted, ghost, apparition, yowie, or paranormal places, using only unambiguous place aliases.",explicit_supernatural_or_anomalous_person_form_agent,most_haunted,"Blundells Cottage, ACT",apparition_location,-35.2927998,149.1417718,exact_site,nominatim_openstreetmap_state_checked_abc_place_2026-06-22,verified_gazetteer_point,"ABC text names `Blundells Cottage` in a ghost/supernatural context; gazetteer result state-checked as Blundells Cottage, Wendouree Drive, Parliamentary Triangle, Parkes, Canberra, District of Canberra Central, Australian Capital Territory, 2600, Australia.",abc_canonical_url_external_id_and_excerpt_hash_checked,B,public_media_context_reviewed,low,accepted,,"What are Canberra's most haunted places? If tales of ghoulish nurses, creeping shadows and prime ministerial ghosts get your blood pumping, you may have wondered where you could find thrills of the supernatural kind in Canberra. canberra haunted ghosts most kurrajong nfsa blundells cottage"
