record_id,title,latitude,longitude,place_name,source
853,1825 - Richmond River Herald 06-03-1825,-28.8632035,153.0823096,"Richmond River, NSW",public/data/frontend-data.json
637,1843 - Sydney Morning Herald,-33.8698439,151.2082848,"Sydney, NSW",public/data/frontend-data.json
638,1843 - Sydney Morning Herald 2,-33.8698439,151.2082848,"Sydney, NSW",public/data/frontend-data.json
640,1847 - Geelong Advertiser,-38.1493248,144.3598241,"Geelong, VIC",public/data/frontend-data.json
641,1847 - Sydney Morning Herald Article,-33.8698439,151.2082848,"Sydney, NSW",public/data/frontend-data.json
44,"Phillip Island, Victoria 1849",-38.507178,145.1888103,"Phillip Island, VIC",public/data/frontend-data.json
2116,"spirit in How did the Natives of Australia become Acquainted with the Demigods and Daemonia, and with the Superstitions of the Ancient Races?",-31.9319845,115.9190544,"Swan River, WA",public/data/frontend-data.json
855,1861 - The Argus Yowie Article,-37.8142454,144.9631732,"Melbourne, VIC",public/data/frontend-data.json
1760,"spirit in Queensland, Australia",-27.2397819,153.2539994,"Moreton Bay, QLD",public/data/frontend-data.json
1768,"supernatural in Queensland, Australia",-27.2397819,153.2539994,"Moreton Bay, QLD",public/data/frontend-data.json
1769,"devil in Queensland, Australia",-27.2397819,153.2539994,"Moreton Bay, QLD",public/data/frontend-data.json
1778,"giant in Queensland, Australia",-27.2397819,153.2539994,"Moreton Bay, QLD",public/data/frontend-data.json
3720,"spirits in Queensland, Australia",-27.2397819,153.2539994,"Moreton Bay, QLD",public/data/frontend-data.json
3724,"spirit in Queensland, Australia",-27.2397819,153.2539994,"Moreton Bay, QLD",public/data/frontend-data.json
643,"1866 - Peter Harris Diary, Toowareenah NSW",-31.4403083,148.9093839,"Tooraweenah, NSW",public/data/frontend-data.json
644,1866 - Sydney Morning Herald,-33.8698439,151.2082848,"Sydney, NSW",public/data/frontend-data.json
84,"Braidwood, New South Wales 1870",-35.4388907,149.7955552,"Braidwood, NSW",public/data/frontend-data.json
646,1870 - The Naturalist Article,-35.4388907,149.7955552,"Braidwood, NSW",public/data/frontend-data.json
604,"Warneton, New South Wales 1871",-31.0701491,152.7782276,"Warneton/Belgrave, NSW",public/data/frontend-data.json
647,1871 - Darling Downa Gazette,-20.2330678,148.5825667,"Dryander National Park, QLD",public/data/frontend-data.json
648,1871 - Illawarra Mercury Article,-34.4614504,150.790409,"Illawarra, NSW",public/data/frontend-data.json
649,1871 - Illustrated Australian News,-34.5230556,150.7327778,"Avondale, Illawarra, NSW",public/data/frontend-data.json
650,"1871 - Queanbeyan Age, Jingera Sighted",-35.3524518,149.2337634,"Queanbeyan, NSW",public/data/frontend-data.json
652,"1871 (1) - Empire, Sydney",-33.8698439,151.2082848,"Sydney, NSW",public/data/frontend-data.json
653,"1871 (2) - Empire, Sydney",-33.8698439,151.2082848,"Sydney, NSW",public/data/frontend-data.json
654,1871 (2) - Illawarra Mercury Article,-34.4614504,150.790409,"Illawarra, NSW",public/data/frontend-data.json
655,"1871 (3) - Empire, Sydney",-33.8698439,151.2082848,"Sydney, NSW",public/data/frontend-data.json
856,1871 - Sydney Herald Yowie Article,-33.8698439,151.2082848,"Sydney, NSW",public/data/frontend-data.json
1022,1871 - Manaro Mercury Article,-35.9907471,149.1064432,"Monaro, NSW",public/data/frontend-data.json
656,1872 - Monaro Mercury,-36.9113175,149.2389375,Bombala,public/data/frontend-data.json
657,1874 - Cooma Express,-35.4388907,149.7955552,Braidwood,public/data/frontend-data.json
857,1874 - Pyramul Hairyman Article,-32.8818,149.6179,"Pyramul, NSW",public/data/frontend-data.json
3952,ghosts in For the Term of His Natural Life,-43.1531346,147.8694003,"Port Arthur Historic Site, TAS",public/data/frontend-data.json
3953,ghosts in For the Term of His Natural Life,-43.1531346,147.8694003,"Port Arthur Historic Site, TAS",public/data/frontend-data.json
3954,apparition in For the Term of His Natural Life,-43.1531346,147.8694003,"Port Arthur Historic Site, TAS",public/data/frontend-data.json
2076,"spirits in Kámilarói, and Other Australian Languages",-32.9192953,151.7795348,"Newcastle, NSW",public/data/frontend-data.json
2077,"ghost in Kámilarói, and Other Australian Languages",-27.2397819,153.2539994,"Moreton Bay, QLD",public/data/frontend-data.json
2078,"ghost in Kámilarói, and Other Australian Languages",-27.2397819,153.2539994,"Moreton Bay, QLD",public/data/frontend-data.json
2080,"spirit in Kámilarói, and Other Australian Languages",-34.4278083,150.893054,"Wollongong, NSW",public/data/frontend-data.json
3919,"spirit in Kamilaroi, and other Australian languages",-27.2397819,153.2539994,"Moreton Bay, QLD",public/data/frontend-data.json
3920,"spirit in Kamilaroi, and other Australian languages",-27.2397819,153.2539994,"Moreton Bay, QLD",public/data/frontend-data.json
3923,"spirit in Kamilaroi, and other Australian languages",-34.4278083,150.893054,"Wollongong, NSW",public/data/frontend-data.json
3924,"spirits in Kamilaroi, and other Australian languages",-32.9192953,151.7795348,"Newcastle, NSW",public/data/frontend-data.json
630,"Wyangala Dam, New South Wales 1876",-33.9747352,148.9497239,"Wyangala Dam, NSW",public/data/frontend-data.json
658,"1876 - Portland Guardian, Victoria",-33.8483333,148.8844444,"Milburn Creek, NSW",public/data/frontend-data.json
858,1876 - Illawarra Mercury Yowie Article,-34.4614504,150.790409,"Illawarra, NSW",public/data/frontend-data.json
1023,"1876 - Freemans Journal, Walla Walla",-33.8698439,151.2082848,"Sydney, NSW",public/data/frontend-data.json
1024,1876 - Town and Country Article,-33.8698439,151.2082848,"Sydney, NSW",public/data/frontend-data.json
660,1877 - Maitland Mercury,-32.7316683,151.5511123,"Maitland, NSW",public/data/frontend-data.json
661,1877 - Sydney Morning Herald Article,-33.8698439,151.2082848,"Sydney, NSW",public/data/frontend-data.json
859,1877 - Sydney Morning Herald Yowie Article,-33.8698439,151.2082848,"Sydney, NSW",public/data/frontend-data.json
662,"1878 - Freemans Journal Article, Pyramul",-32.8818,149.6179,"Pyramul, NSW",public/data/frontend-data.json
663,1878 - Lismore Star Article,-28.8077608,153.2791883,"Lismore, NSW",public/data/frontend-data.json
664,"1878 - Singleton Argus, Yowie Sighted",-32.602355,151.1132887,"Singleton, NSW",public/data/frontend-data.json
860,1878 - Freemans Journal Pyramul Hairyman,-32.8818,149.6179,"Pyramul, NSW",public/data/frontend-data.json
861,1878 - Northern Star Lismore Yowie Article,-28.8077608,153.2791883,"Lismore, NSW",public/data/frontend-data.json
1694,"supernatural in The aborigines of Victoria, volume 2",-37.8301386,140.7842627,"Mount Gambier, SA",public/data/frontend-data.json
1695,"supernatural in The aborigines of Victoria, volume 2",-37.8301386,140.7842627,"Mount Gambier, SA",public/data/frontend-data.json
