route_id,classification,processed_candidates,accepted_records,duplicates,context,suppressed,errors,acceptance_rate,last_cursor,known_remaining_pages_or_items,another_run_justified
sprint_internet_archive_beveridge_victoria_riverina_exact_text,discovery_only,11,11,2,0,0,0,1.0,"{""exhausted"": true, ""page_index"": 1, ""total_pages"": 1, ""updated_at"": ""2026-06-22T05:26:13+00:00""}",0,no
sprint_internet_archive_boothby_crime_under_seas_phantom_stockman_exact_text,discovery_only,22,22,8,0,0,0,1.0,"{""exhausted"": true, ""page_index"": 1, ""total_pages"": 1, ""updated_at"": ""2026-06-22T06:05:29+00:00""}",0,no
sprint_internet_archive_curr_australian_race_vol1_exact_text,discovery_only,23,21,0,1,0,0,0.913,"{""exhausted"": true, ""page_index"": 1, ""total_pages"": 1, ""updated_at"": ""2026-06-22T05:39:21+00:00""}",0,no
sprint_internet_archive_curr_australian_race_vol2_exact_text,discovery_only,24,24,3,0,0,0,1.0,"{""exhausted"": true, ""page_index"": 1, ""total_pages"": 1, ""updated_at"": ""2026-06-22T05:36:15+00:00""}",0,no
sprint_internet_archive_curr_australian_race_vol3_exact_text,discovery_only,27,27,3,0,0,0,1.0,"{""exhausted"": true, ""page_index"": 1, ""total_pages"": 1, ""updated_at"": ""2026-06-22T05:36:16+00:00""}",0,no
sprint_internet_archive_dawson_victoria_exact_text,discovery_only,25,25,9,0,0,0,1.0,"{""exhausted"": true, ""page_index"": 1, ""total_pages"": 1, ""updated_at"": ""2026-06-22T05:23:17+00:00""}",0,no
sprint_internet_archive_eaglehawk_crow_exact_text,discovery_only,26,22,7,3,0,0,0.8462,"{""exhausted"": true, ""page_index"": 1, ""total_pages"": 1, ""updated_at"": ""2026-06-22T05:20:15+00:00""}",0,no
sprint_internet_archive_eden_fifth_continent_beliefs_exact_text,discovery_only,5,5,2,0,0,0,1.0,"{""exhausted"": true, ""page_index"": 1, ""total_pages"": 1, ""updated_at"": ""2026-06-22T06:05:27+00:00""}",0,no
sprint_internet_archive_fraser_nsw_exact_text,discovery_only,27,27,2,0,0,0,1.0,"{""exhausted"": true, ""page_index"": 1, ""total_pages"": 1, ""updated_at"": ""2026-06-22T05:26:12+00:00""}",0,no
sprint_internet_archive_hill_thornton_notes_nsw_exact_text,duplicate_saturated,8,8,31,0,0,0,1.0,"{""exhausted"": true, ""page_index"": 1, ""total_pages"": 1, ""updated_at"": ""2026-06-22T05:45:25+00:00""}",0,no
sprint_internet_archive_kamilaroi_kurnai_exact_text,discovery_only,28,28,6,0,0,0,1.0,"{""exhausted"": true, ""page_index"": 1, ""total_pages"": 1, ""updated_at"": ""2026-06-22T05:20:15+00:00""}",0,no
