schema_version,exclusion_id,legacy_record_id,source_item_id,narrative_id,exclusion_type,reason,evidence_note,created_at
2.0.0,1,4,4,,control,Control term retained outside humanoid-core counts.,"The bunyip is a creature from the aboriginal mythology of southeastern Australia, said to lurk in swamps, billabongs, creeks, riverbeds and waterholes.",2026-06-20T02:04:55+00:00
2.0.0,2,5,5,,control,Control term retained outside humanoid-core counts.,"The drop bear is a hoax in contemporary Australian folklore featuring a predatory, carnivorous version of the koala. This imaginary animal is commonly spoken about in tall tales designed to scare tourists. While koalas are typically docile herbivores, drop bears are described as unusually large and vicious marsupials that inhabit treetops and attack unsuspecting people that walk beneath them by dropping onto their heads from above.",2026-06-20T02:04:55+00:00
