schema_version,legacy_record_id,source_item_id,narrative_id,primary_record_role,migration_confidence,review_flags,title,source_type,source_tier,narrative_type,secondary_role,analysis_status,ethics_review_status,display_mode
2.0.0,108,102,100,first-class narrative source,medium,[],"Mulgoa, New South Wales 1994",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,109,103,101,first-class narrative source,medium,[],"Kempsey, New Sout Wales 1995",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,110,104,102,first-class narrative source,medium,[],"Cessnock, New South Wales 1996",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,111,105,103,first-class narrative source,medium,[],"Hawkesbury River, New South Wales 1997",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,112,106,104,first-class narrative source,medium,[],"Faulconbridge, New South Wales 1998",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,113,107,105,first-class narrative source,medium,[],"Mudgee, New South Wales 1998",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,114,108,106,first-class narrative source,medium,[],"Bourke, New South Wales 1999",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,115,109,107,first-class narrative source,medium,[],"Mt. Kembla, New South Wales 1999",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,116,110,108,first-class narrative source,medium,[],"Leura, New South Wales 2000",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,117,111,109,first-class narrative source,medium,[],"Yowrie, New South Wales 2000",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,118,112,110,first-class narrative source,medium,[],"Lismore, New South Wales 2001",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,119,113,111,first-class narrative source,medium,[],"Glossodia, New South Wales 2002",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,120,114,112,first-class narrative source,medium,[],"Wollemi National Park, New South Wales 2002",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,121,115,113,first-class narrative source,medium,[],"Gunnedah, New South Wales 2003",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,122,116,114,first-class narrative source,medium,[],"Rosebank, New South Wales 2003",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,123,117,115,first-class narrative source,medium,[],"Wentworth Falls, New South Falls 2003",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
