source_item_key,sample_title,sample_url,source_name,public_records,first_class_records_estimated,context_records_estimated,suppressed_rows_estimated,average_evidence_length,repeated_evidence_percentage,repeated_source_label_percentage,top_source_label,warning
https://www.gutenberg.org/files/68225/68225-0.txt,fairy in Australian fairy tales,https://www.gutenberg.org/files/68225/68225-0.txt,Project Gutenberg,77,77,0,0,630.5,64.94,10.39,fairy,more_than_50_records_from_one_source_item;more_than_20_percent_repeated_evidence
https://gutenberg.net.au/ebooks05/0501011.txt,ghost in Below And On Top and Other Stories,https://gutenberg.net.au/ebooks05/0501011.txt,Project Gutenberg Australia,56,56,0,0,635.9,0.0,14.29,ghost,more_than_50_records_from_one_source_item;generic_source_label_high_reuse
https://www.gutenberg.org/files/54415/54415-0.txt,ghost in Nuggets in the Devil's Punch Bowl,https://www.gutenberg.org/files/54415/54415-0.txt,Project Gutenberg,40,40,0,0,631.3,85.0,20.0,devil,more_than_20_percent_repeated_evidence
https://www.gutenberg.org/files/60482/60482-0.txt,ghost in Steve Brown's Bunyip,https://www.gutenberg.org/files/60482/60482-0.txt,Project Gutenberg,39,39,0,0,636.2,71.79,20.51,spirit,more_than_20_percent_repeated_evidence;generic_source_label_high_reuse
https://archive.org/download/aboriginesofvict02smyt/aboriginesofvict02smyt_djvu.txt,"ghost in The aborigines of Victoria, volume 2",https://archive.org/download/aboriginesofvict02smyt/aboriginesofvict02smyt_djvu.txt,Internet Archive,30,30,0,0,600.5,0.0,13.33,ghost,generic_source_label_high_reuse
https://archive.org/download/kamilaroikurnaig00fiso/kamilaroikurnaig00fiso_djvu.txt,spirit in Kamilaroi and Kurnai,https://archive.org/download/kamilaroikurnaig00fiso/kamilaroikurnaig00fiso_djvu.txt,Internet Archive,28,28,0,0,636.0,0.0,14.29,spirit,generic_source_label_high_reuse
https://archive.org/download/queenslandaustr00langgoog/queenslandaustr00langgoog_djvu.txt,"spirit in Queensland, Australia",https://archive.org/download/queenslandaustr00langgoog/queenslandaustr00langgoog_djvu.txt,Internet Archive,27,27,0,0,635.8,0.0,14.81,spirit,generic_source_label_high_reuse
https://archive.org/download/aboriginesnewso00frasgoog/aboriginesnewso00frasgoog_djvu.txt,spirit in The Aborigines of New South Wales,https://archive.org/download/aboriginesnewso00frasgoog/aboriginesnewso00frasgoog_djvu.txt,Internet Archive,27,27,0,0,637.1,0.0,14.81,spirit,generic_source_label_high_reuse
https://archive.org/download/australianaborig81daws/australianaborig81daws_djvu.txt,"spirit in Australian Aborigines: the languages and customs of several tribes of aborigines in the western district of Victoria, Australia",https://archive.org/download/australianaborig81daws/australianaborig81daws_djvu.txt,Internet Archive,25,25,0,0,636.5,0.0,16.0,spirit,generic_source_label_high_reuse
https://archive.org/download/aboriginestasma00tylogoog/aboriginestasma00tylogoog_djvu.txt,spirit in The Aborigines of Tasmania,https://archive.org/download/aboriginestasma00tylogoog/aboriginestasma00tylogoog_djvu.txt,Internet Archive,25,25,0,0,635.6,0.0,16.0,spirit,generic_source_label_high_reuse
https://archive.org/download/australianracei01currgoog/australianracei01currgoog_djvu.txt,"ghost in The Australian Race, volume 1",https://archive.org/download/australianracei01currgoog/australianracei01currgoog_djvu.txt,Internet Archive,24,24,0,0,635.6,0.0,16.67,ghost,generic_source_label_high_reuse
https://archive.org/download/amongcannibalsac1889lumh/amongcannibalsac1889lumh_djvu.txt,spirit in Among cannibals,https://archive.org/download/amongcannibalsac1889lumh/amongcannibalsac1889lumh_djvu.txt,Internet Archive,23,23,0,0,636.6,0.0,17.39,spirit,generic_source_label_high_reuse
https://sacred-texts.com/aus/ntca/ntca15.htm,Kurdaitcha in Magic,https://sacred-texts.com/aus/ntca/ntca15.htm,Internet Sacred Text Archive,22,22,0,0,480.5,54.55,27.27,medicine man,more_than_20_percent_repeated_evidence
https://archive.org/download/eaglehawkcrowstu00math/eaglehawkcrowstu00math_djvu.txt,spirit in Eaglehawk and Crow,https://archive.org/download/eaglehawkcrowstu00math/eaglehawkcrowstu00math_djvu.txt,Internet Archive,22,22,0,0,636.2,0.0,18.18,spirit,generic_source_label_high_reuse
https://archive.org/download/nativetribessou00benngoog/nativetribessou00benngoog_djvu.txt,spirit in The Native Tribes of South Australia,https://archive.org/download/nativetribessou00benngoog/nativetribessou00benngoog_djvu.txt,Internet Archive,21,21,0,0,636.0,0.0,19.05,spirit,generic_source_label_high_reuse
https://archive.org/download/australian-legends/australian-legends_djvu.txt,spirits in Australian Legends,https://archive.org/download/australian-legends/australian-legends_djvu.txt,Internet Archive,19,19,0,0,636.5,0.0,21.05,spirit,generic_source_label_high_reuse
https://archive.org/download/diaryoftenyearse00mooriala/diaryoftenyearse00mooriala_djvu.txt,spirit in Diary of ten years eventful life of an early settler in Western Australia,https://archive.org/download/diaryoftenyearse00mooriala/diaryoftenyearse00mooriala_djvu.txt,Internet Archive,18,18,0,0,637.1,0.0,22.22,spirit,generic_source_label_high_reuse
https://gutenberg.net.au/ebooks06/0600691.txt,ghost in Tales of the Austral Tropics,https://gutenberg.net.au/ebooks06/0600691.txt,Project Gutenberg Australia,18,18,0,0,636.5,0.0,22.22,ghost,generic_source_label_high_reuse
https://www.gutenberg.org/ebooks/7065.txt.utf-8,The Ghosts of Many Christmases in Children of the Bush,https://www.gutenberg.org/ebooks/7065.txt.utf-8,Project Gutenberg,17,17,0,0,636.9,0.0,23.53,ghost,generic_source_label_high_reuse
https://archive.org/download/folkloremannersc00taplrich/folkloremannersc00taplrich_djvu.txt,"spirit in The folklore, manners, customs, and languages of the South Australian aborigines",https://archive.org/download/folkloremannersc00taplrich/folkloremannersc00taplrich_djvu.txt,Internet Archive,16,16,0,0,636.6,0.0,25.0,spirit,generic_source_label_high_reuse
https://gutenberg.net.au/ebooks06/0602691.txt,ghosts in Old Tales of a Young Country,https://gutenberg.net.au/ebooks06/0602691.txt,Project Gutenberg Australia,12,12,0,0,635.1,0.0,25.0,spirit,generic_source_label_high_reuse
https://archive.org/download/talesaustralian00swangoog/talesaustralian00swangoog_djvu.txt,ghost in Tales of Australian Life,https://archive.org/download/talesaustralian00swangoog/talesaustralian00swangoog_djvu.txt,Internet Archive,12,12,0,0,635.3,0.0,33.33,ghost,generic_source_label_high_reuse
https://en.wikisource.org/wiki/native_tribes_of_south-east_australia/chapter_10,Mura-mura in Ceremonies and Beliefs,https://en.wikisource.org/wiki/Native_Tribes_of_South-East_Australia/Chapter_10,Wikisource,11,11,0,0,345.5,90.91,72.73,mura-mura,more_than_20_percent_repeated_evidence
https://gutenberg.net.au/ebooks21/2100481h.html,spirit in Tales of the Dandenongs Third Series,https://gutenberg.net.au/ebooks21/2100481h.html,Project Gutenberg Australia,11,11,0,0,462.3,0.0,36.36,spirit,generic_source_label_high_reuse
https://archive.org/download/theaboriginesofvictoriaandriverina/the_aborigines_of_victoria_and_riverina_djvu.txt,spirit in The Aborigines of Victoria and Riverina,https://archive.org/download/TheAboriginesOfVictoriaAndRiverina/The_Aborigines_of_Victoria_and_Riverina_djvu.txt,Internet Archive,11,11,0,0,635.4,0.0,36.36,spirit,generic_source_label_high_reuse
https://www.gutenberg.org/ebooks/1231.txt.utf-8,ghost in On the Track,https://www.gutenberg.org/ebooks/1231.txt.utf-8,Project Gutenberg,11,11,0,0,635.8,0.0,36.36,ghost,generic_source_label_high_reuse
https://archive.org/download/acolonialtrampt00nisbgoog/acolonialtrampt00nisbgoog_djvu.txt,wraiths in A Colonial Tramp,https://archive.org/download/acolonialtrampt00nisbgoog/acolonialtrampt00nisbgoog_djvu.txt,Internet Archive,11,11,0,0,635.9,0.0,36.36,ghost,generic_source_label_high_reuse
https://sacred-texts.com/aus/ntna/ntna13.htm,spirit in Magic and Medicine,https://sacred-texts.com/aus/ntna/ntna13.htm,Internet Sacred Text Archive,9,9,0,0,443.0,0.0,44.44,spirit,generic_source_label_high_reuse
https://archive.org/download/notesonaborigin00nicogoog/notesonaborigin00nicogoog_djvu.txt,evil spirit in Notes on the Aborigines of Western Australia,https://archive.org/download/notesonaborigin00nicogoog/notesonaborigin00nicogoog_djvu.txt,Internet Archive,8,8,0,0,635.1,0.0,50.0,spirit,generic_source_label_high_reuse
https://sacred-texts.com/aus/ntca/ntca21.htm,Iruntarinia in Sacred Objects and Ceremonies,https://sacred-texts.com/aus/ntca/ntca21.htm,Internet Sacred Text Archive,7,7,0,0,637.6,57.14,57.14,iruntarinia,more_than_20_percent_repeated_evidence
https://en.wikisource.org/wiki/the_euahlayi_tribe/chapter_1,Byamee in Introductory Belief Context,https://en.wikisource.org/wiki/The_Euahlayi_Tribe/Chapter_1,Wikisource,6,6,0,0,451.2,0.0,66.67,spirit,generic_source_label_high_reuse
https://en.wikisource.org/wiki/the_euahlayi_tribe/chapter_16,ghost in Glossary and Belief Terms,https://en.wikisource.org/wiki/The_Euahlayi_Tribe/Chapter_16,Wikisource,3,3,0,0,486.7,0.0,100.0,ghost,generic_source_label_high_reuse
https://sacred-texts.com/aus/ntca/ntca16.htm,ghost in Burial and Mourning,https://sacred-texts.com/aus/ntca/ntca16.htm,Internet Sacred Text Archive,2,2,0,0,524.0,0.0,50.0,ghost,generic_source_label_high_reuse
https://www.oldmelbournegaol.com.au/event/ghosts-what-ghosts-tour/,Ghosts? What Ghosts? - Night Tour,https://www.oldmelbournegaol.com.au/event/ghosts-what-ghosts-tour/,Old Melbourne Gaol,1,1,0,0,122.0,0.0,100.0,ghost,generic_source_label_high_reuse
https://fremantleprison.com.au/tours/torchlight-tour/,Torchlight Tour,https://fremantleprison.com.au/tours/torchlight-tour/,Fremantle Prison,1,1,0,0,125.0,0.0,100.0,ghost,generic_source_label_high_reuse
https://portarthur.org.au/ghost-tour/,Ghost Tour - Port Arthur Historic Site,https://portarthur.org.au/ghost-tour/,Port Arthur Historic Site,1,1,0,0,136.0,0.0,100.0,ghost,generic_source_label_high_reuse
https://www.nationaltrust.org.au/event/ghost-what-ghosts-tour-at-old-melbourne-gaol/,Ghost! What Ghosts? Night Tour at Old Melbourne Gaol,https://www.nationaltrust.org.au/event/ghost-what-ghosts-tour-at-old-melbourne-gaol/,National Trust Victoria,1,1,0,0,116.0,0.0,100.0,ghost,generic_source_label_high_reuse
https://portarthur.org.au/ghost-tour-off-season/,Ghost Tours at Port Arthur - Off Season Tasmania 2026,https://portarthur.org.au/ghost-tour-off-season/,Port Arthur Historic Site,1,1,0,0,126.0,0.0,100.0,ghost,generic_source_label_high_reuse
http://www.jward.org.au/stories/george-fiddimont/,The ghost of Governor Fiddimont,http://www.jward.org.au/stories/george-fiddimont/,J Ward Ararat,1,1,0,0,177.0,0.0,100.0,ghost,generic_source_label_high_reuse
https://archive.org/details/hauntedaustralia0000john,Haunted Australia,https://archive.org/details/hauntedaustralia0000john,Internet Archive,1,1,0,0,139.0,0.0,100.0,ghost,generic_source_label_high_reuse
