record_id,title,source_name,source_type,state_territory,date_band,year,ontology_code,url
641,1847 - Sydney Morning Herald Article,Australian Yowie Research,modern_web,NSW,anchor_1842_1875,1847,cryptid_style_apeman,https://www.yowiehunters.com.au/historical-articles/1488-sydney-morning-herald-article-1847
44,"Phillip Island, Victoria 1849",Australian Yowie Research,modern_web,VIC,anchor_1842_1875,1849,cryptid_style_apeman,https://www.yowiehunters.com.au/victoria/1259-phillip-island-vic-1849
642,1851 - John Green Diary Entries,Australian Yowie Research,modern_web,QLD,anchor_1842_1875,1851,cryptid_style_apeman,https://www.yowiehunters.com.au/historical-articles/1516-john-green-diary-entries-1851
2102,"demon in How did the Natives of Australia become Acquainted with the Demigods and Daemonia, and with the Superstitions of the Ancient Races?",Internet Archive,repository_full_text_article,,anchor_1842_1875,1854,spirit_person_narrative,https://archive.org/download/jstor-3014132/3014132_djvu.txt
2103,"demon in How did the Natives of Australia become Acquainted with the Demigods and Daemonia, and with the Superstitions of the Ancient Races?",Internet Archive,repository_full_text_article,,anchor_1842_1875,1854,spirit_person_narrative,https://archive.org/download/jstor-3014132/3014132_djvu.txt
2104,"evil spirit in How did the Natives of Australia become Acquainted with the Demigods and Daemonia, and with the Superstitions of the Ancient Races?",Internet Archive,repository_full_text_article,,anchor_1842_1875,1854,spirit_person_narrative,https://archive.org/download/jstor-3014132/3014132_djvu.txt
2105,"spirits in How did the Natives of Australia become Acquainted with the Demigods and Daemonia, and with the Superstitions of the Ancient Races?",Internet Archive,repository_full_text_article,,anchor_1842_1875,1854,spirit_person_narrative,https://archive.org/download/jstor-3014132/3014132_djvu.txt
2106,"spirits in How did the Natives of Australia become Acquainted with the Demigods and Daemonia, and with the Superstitions of the Ancient Races?",Internet Archive,repository_full_text_article,,anchor_1842_1875,1854,spirit_person_narrative,https://archive.org/download/jstor-3014132/3014132_djvu.txt
2107,"evil spirit in How did the Natives of Australia become Acquainted with the Demigods and Daemonia, and with the Superstitions of the Ancient Races?",Internet Archive,repository_full_text_article,,anchor_1842_1875,1854,spirit_person_narrative,https://archive.org/download/jstor-3014132/3014132_djvu.txt
2108,"evil spirit in How did the Natives of Australia become Acquainted with the Demigods and Daemonia, and with the Superstitions of the Ancient Races?",Internet Archive,repository_full_text_article,,anchor_1842_1875,1854,spirit_person_narrative,https://archive.org/download/jstor-3014132/3014132_djvu.txt
2109,"phantom in How did the Natives of Australia become Acquainted with the Demigods and Daemonia, and with the Superstitions of the Ancient Races?",Internet Archive,repository_full_text_article,,anchor_1842_1875,1854,spirit_person_narrative,https://archive.org/download/jstor-3014132/3014132_djvu.txt
2110,"ghosts in How did the Natives of Australia become Acquainted with the Demigods and Daemonia, and with the Superstitions of the Ancient Races?",Internet Archive,repository_full_text_article,,anchor_1842_1875,1854,apparition_account,https://archive.org/download/jstor-3014132/3014132_djvu.txt
2111,"spirits in How did the Natives of Australia become Acquainted with the Demigods and Daemonia, and with the Superstitions of the Ancient Races?",Internet Archive,repository_full_text_article,,anchor_1842_1875,1854,spirit_person_narrative,https://archive.org/download/jstor-3014132/3014132_djvu.txt
2112,"spirits in How did the Natives of Australia become Acquainted with the Demigods and Daemonia, and with the Superstitions of the Ancient Races?",Internet Archive,repository_full_text_article,,anchor_1842_1875,1854,spirit_person_narrative,https://archive.org/download/jstor-3014132/3014132_djvu.txt
2113,"spirit in How did the Natives of Australia become Acquainted with the Demigods and Daemonia, and with the Superstitions of the Ancient Races?",Internet Archive,repository_full_text_article,,anchor_1842_1875,1854,spirit_person_narrative,https://archive.org/download/jstor-3014132/3014132_djvu.txt
2114,"spirit in How did the Natives of Australia become Acquainted with the Demigods and Daemonia, and with the Superstitions of the Ancient Races?",Internet Archive,repository_full_text_article,,anchor_1842_1875,1854,spirit_person_narrative,https://archive.org/download/jstor-3014132/3014132_djvu.txt
2115,"spirit in How did the Natives of Australia become Acquainted with the Demigods and Daemonia, and with the Superstitions of the Ancient Races?",Internet Archive,repository_full_text_article,,anchor_1842_1875,1854,spirit_person_narrative,https://archive.org/download/jstor-3014132/3014132_djvu.txt
2116,"spirit in How did the Natives of Australia become Acquainted with the Demigods and Daemonia, and with the Superstitions of the Ancient Races?",Internet Archive,repository_full_text_article,WA,anchor_1842_1875,1854,spirit_person_narrative,https://archive.org/download/jstor-3014132/3014132_djvu.txt
2117,"ghosts in How did the Natives of Australia become Acquainted with the Demigods and Daemonia, and with the Superstitions of the Ancient Races?",Internet Archive,repository_full_text_article,,anchor_1842_1875,1854,apparition_account,https://archive.org/download/jstor-3014132/3014132_djvu.txt
2118,"supernatural in How did the Natives of Australia become Acquainted with the Demigods and Daemonia, and with the Superstitions of the Ancient Races?",Internet Archive,repository_full_text_article,,anchor_1842_1875,1854,spirit_person_narrative,https://archive.org/download/jstor-3014132/3014132_djvu.txt
2119,"supernatural in How did the Natives of Australia become Acquainted with the Demigods and Daemonia, and with the Superstitions of the Ancient Races?",Internet Archive,repository_full_text_article,,anchor_1842_1875,1854,spirit_person_narrative,https://archive.org/download/jstor-3014132/3014132_djvu.txt
855,1861 - The Argus Yowie Article,Australian Yowie Research,modern_web,VIC,anchor_1842_1875,1861,cryptid_style_apeman,https://www.yowiehunters.com.au/media-clips/1774-1861-the-argus-yowie-article
1759,"spirit in Queensland, Australia",Internet Archive,repository_full_text,QLD,anchor_1842_1875,1861,spirit_person_narrative,https://archive.org/download/queenslandaustr00langgoog/queenslandaustr00langgoog_djvu.txt
1760,"spirit in Queensland, Australia",Internet Archive,repository_full_text,QLD,anchor_1842_1875,1861,spirit_person_narrative,https://archive.org/download/queenslandaustr00langgoog/queenslandaustr00langgoog_djvu.txt
1761,"spirit in Queensland, Australia",Internet Archive,repository_full_text,QLD,anchor_1842_1875,1861,spirit_person_narrative,https://archive.org/download/queenslandaustr00langgoog/queenslandaustr00langgoog_djvu.txt
1762,"spirit in Queensland, Australia",Internet Archive,repository_full_text,QLD,anchor_1842_1875,1861,spirit_person_narrative,https://archive.org/download/queenslandaustr00langgoog/queenslandaustr00langgoog_djvu.txt
1763,"ghost in Queensland, Australia",Internet Archive,repository_full_text,QLD,anchor_1842_1875,1861,apparition_account,https://archive.org/download/queenslandaustr00langgoog/queenslandaustr00langgoog_djvu.txt
1764,"devil in Queensland, Australia",Internet Archive,repository_full_text,QLD,anchor_1842_1875,1861,spirit_person_narrative,https://archive.org/download/queenslandaustr00langgoog/queenslandaustr00langgoog_djvu.txt
