flag_id,record_id,title,state_territory,x,y,source_location_type,confidence
mapped:853,853,1825 - Richmond River Herald 06-03-1825,NSW,153.0823096,-28.8632035,locality,medium
mapped:637,637,1843 - Sydney Morning Herald,NSW,151.2082848,-33.8698439,locality,medium
mapped:638,638,1843 - Sydney Morning Herald 2,NSW,151.2082848,-33.8698439,locality,medium
mapped:640,640,1847 - Geelong Advertiser,VIC,144.3598241,-38.1493248,locality,medium
mapped:641,641,1847 - Sydney Morning Herald Article,NSW,151.2082848,-33.8698439,locality,medium
mapped:44,44,"Phillip Island, Victoria 1849",VIC,145.1888103,-38.507178,locality,high
mapped:2116,2116,"spirit in How did the Natives of Australia become Acquainted with the Demigods and Daemonia, and with the Superstitions of the Ancient Races?",WA,115.9190544,-31.9319845,named_feature,high
mapped:855,855,1861 - The Argus Yowie Article,VIC,144.9631732,-37.8142454,locality,medium
mapped:1760,1760,"spirit in Queensland, Australia",QLD,153.2539994,-27.2397819,named_feature,high
mapped:1768,1768,"supernatural in Queensland, Australia",QLD,153.2539994,-27.2397819,named_feature,high
mapped:1769,1769,"devil in Queensland, Australia",QLD,153.2539994,-27.2397819,named_feature,high
mapped:1778,1778,"giant in Queensland, Australia",QLD,153.2539994,-27.2397819,named_feature,high
mapped:3720,3720,"spirits in Queensland, Australia",QLD,153.2539994,-27.2397819,named_feature,high
mapped:3724,3724,"spirit in Queensland, Australia",QLD,153.2539994,-27.2397819,named_feature,high
mapped:643,643,"1866 - Peter Harris Diary, Toowareenah NSW",NSW,148.9093839,-31.4403083,locality,high
mapped:644,644,1866 - Sydney Morning Herald,NSW,151.2082848,-33.8698439,locality,medium
mapped:84,84,"Braidwood, New South Wales 1870",NSW,149.7955552,-35.4388907,town,high
mapped:646,646,1870 - The Naturalist Article,NSW,149.7955552,-35.4388907,town,high
mapped:604,604,"Warneton, New South Wales 1871",NSW,152.7782276,-31.0701491,locality,high
mapped:647,647,1871 - Darling Downa Gazette,QLD,148.5825667,-20.2330678,named_feature,high
mapped:648,648,1871 - Illawarra Mercury Article,NSW,150.790409,-34.4614504,locality,medium
mapped:649,649,1871 - Illustrated Australian News,NSW,150.7327778,-34.5230556,locality,high
mapped:650,650,"1871 - Queanbeyan Age, Jingera Sighted",NSW,149.2337634,-35.3524518,locality,medium
mapped:652,652,"1871 (1) - Empire, Sydney",NSW,151.2082848,-33.8698439,locality,medium
mapped:653,653,"1871 (2) - Empire, Sydney",NSW,151.2082848,-33.8698439,locality,medium
mapped:654,654,1871 (2) - Illawarra Mercury Article,NSW,150.790409,-34.4614504,locality,medium
mapped:655,655,"1871 (3) - Empire, Sydney",NSW,151.2082848,-33.8698439,locality,medium
mapped:856,856,1871 - Sydney Herald Yowie Article,NSW,151.2082848,-33.8698439,locality,medium
mapped:1022,1022,1871 - Manaro Mercury Article,NSW,149.1064432,-35.9907471,locality,medium
mapped:656,656,1872 - Monaro Mercury,NSW,149.2389375,-36.9113175,locality,medium
mapped:657,657,1874 - Cooma Express,NSW,149.7955552,-35.4388907,locality,medium
mapped:857,857,1874 - Pyramul Hairyman Article,NSW,149.6179,-32.8818,locality,medium
mapped:3952,3952,ghosts in For the Term of His Natural Life,TAS,147.8694003,-43.1531346,exact_site,B
mapped:3953,3953,ghosts in For the Term of His Natural Life,TAS,147.8694003,-43.1531346,exact_site,B
mapped:3954,3954,apparition in For the Term of His Natural Life,TAS,147.8694003,-43.1531346,exact_site,B
mapped:2076,2076,"spirits in Kámilarói, and Other Australian Languages",NSW,151.7795348,-32.9192953,town,high
mapped:2077,2077,"ghost in Kámilarói, and Other Australian Languages",QLD,153.2539994,-27.2397819,named_feature,high
mapped:2078,2078,"ghost in Kámilarói, and Other Australian Languages",QLD,153.2539994,-27.2397819,named_feature,high
mapped:2080,2080,"spirit in Kámilarói, and Other Australian Languages",NSW,150.893054,-34.4278083,town,high
mapped:3919,3919,"spirit in Kamilaroi, and other Australian languages",QLD,153.2539994,-27.2397819,named_feature,high
mapped:3920,3920,"spirit in Kamilaroi, and other Australian languages",QLD,153.2539994,-27.2397819,named_feature,high
mapped:3923,3923,"spirit in Kamilaroi, and other Australian languages",NSW,150.893054,-34.4278083,town,high
mapped:3924,3924,"spirits in Kamilaroi, and other Australian languages",NSW,151.7795348,-32.9192953,town,high
mapped:630,630,"Wyangala Dam, New South Wales 1876",NSW,148.9497239,-33.9747352,locality,high
mapped:658,658,"1876 - Portland Guardian, Victoria",NSW,148.8844444,-33.8483333,named_feature,high
mapped:858,858,1876 - Illawarra Mercury Yowie Article,NSW,150.790409,-34.4614504,locality,medium
mapped:1023,1023,"1876 - Freemans Journal, Walla Walla",NSW,151.2082848,-33.8698439,locality,medium
mapped:1024,1024,1876 - Town and Country Article,NSW,151.2082848,-33.8698439,locality,medium
mapped:660,660,1877 - Maitland Mercury,NSW,151.5511123,-32.7316683,locality,medium
mapped:661,661,1877 - Sydney Morning Herald Article,NSW,151.2082848,-33.8698439,locality,medium
mapped:859,859,1877 - Sydney Morning Herald Yowie Article,NSW,151.2082848,-33.8698439,locality,medium
mapped:662,662,"1878 - Freemans Journal Article, Pyramul",NSW,149.6179,-32.8818,locality,medium
mapped:663,663,1878 - Lismore Star Article,NSW,153.2791883,-28.8077608,locality,medium
mapped:664,664,"1878 - Singleton Argus, Yowie Sighted",NSW,151.1132887,-32.602355,locality,medium
mapped:860,860,1878 - Freemans Journal Pyramul Hairyman,NSW,149.6179,-32.8818,locality,medium
mapped:861,861,1878 - Northern Star Lismore Yowie Article,NSW,153.2791883,-28.8077608,locality,medium
mapped:1694,1694,"supernatural in The aborigines of Victoria, volume 2",SA,140.7842627,-37.8301386,town,high
mapped:1695,1695,"supernatural in The aborigines of Victoria, volume 2",SA,140.7842627,-37.8301386,town,high
mapped:1750,1750,"ghost in The aborigines of Victoria, volume 1",NSW,149.7198009,-34.7523871,town,high
mapped:3437,3437,"spirits in The Aborigines of Victoria, volume 1",SA,135.8592218,-34.7211905,town,high
mapped:3467,3467,"spirit in The Aborigines of Victoria, volume 1",NSW,149.7198009,-34.7523871,town,high
mapped:3476,3476,"ghosts in The Aborigines of Victoria, volume 1",NSW,149.7198009,-34.7523871,town,high
mapped:3525,3525,"spirit in The Aborigines of Victoria, volume 2",WA,115.9190544,-31.9319845,named_feature,high
mapped:3529,3529,"spirit in The Aborigines of Victoria, volume 2",WA,115.9190544,-31.9319845,named_feature,high
mapped:3532,3532,"spirit in The Aborigines of Victoria, volume 2",WA,115.9190544,-31.9319845,named_feature,high
mapped:3533,3533,"spirit in The Aborigines of Victoria, volume 2",WA,115.9190544,-31.9319845,named_feature,high
mapped:3961,3961,"devil in The Aborigines of Victoria, volume 1",NSW,149.4208438,-35.0916656,locality,B
mapped:666,666,"1880 - Gippsland Times, 7ft Yowie",VIC,146.9111788,-37.8744827,locality,medium
mapped:667,667,1880 - Melbourne Argus,VIC,144.9631732,-37.8142454,locality,medium
mapped:668,668,1880 - Southland Times (NZ),SA,137.6987969,-34.44304,named_feature,high
mapped:669,669,1880 - Sydney Morning Herald,NSW,151.2082848,-33.8698439,locality,medium
mapped:671,671,1880's - Arthur Bicknell ' Wood Devil ' Story,QLD,153.041873,-27.4923416,locality,medium
mapped:1611,1611,supernatural in Kamilaroi and Kurnai,VIC,144.7798547,-38.1046482,named_feature,high
mapped:3560,3560,spirit in The Booandik Tribe of South Australian Aborigines,SA,140.7842627,-37.8301386,town,high
mapped:3570,3570,spirit in The Booandik Tribe of South Australian Aborigines,SA,140.7842627,-37.8301386,town,high
mapped:3226,3226,"spirits in Australian Aborigines: the languages and customs of several tribes of aborigines in the western district of Victoria, Australia",VIC,144.7798547,-38.1046482,named_feature,high
mapped:673,673,1882 - Colac Herald,NSW,152.5299305,-32.4361913,locality,high
mapped:674,674,"1882 - Illawarra Mercury, Australian Gorilla",NSW,150.790409,-34.4614504,locality,medium
mapped:862,862,1882 - The West Australian Yowie Article,WA,115.1605864,-34.3156059,locality,medium
mapped:678,678,1883 - Illawarra Mercury Article,NSW,150.790409,-34.4614504,locality,medium
mapped:2546,2546,ghosts in Old Melbourne Memories,VIC,144.9631732,-37.8142454,locality,B
mapped:2547,2547,haunted in Old Melbourne Memories,VIC,144.9631732,-37.8142454,locality,B
mapped:2548,2548,haunted in Old Melbourne Memories,VIC,144.9631732,-37.8142454,locality,B
mapped:2549,2549,haunted in Old Melbourne Memories,VIC,144.9631732,-37.8142454,locality,B
mapped:2550,2550,spirit in Old Melbourne Memories,VIC,144.9631732,-37.8142454,locality,B
mapped:2551,2551,devil in Old Melbourne Memories,VIC,144.9631732,-37.8142454,locality,B
mapped:2552,2552,devil in Old Melbourne Memories,VIC,144.9631732,-37.8142454,locality,B
mapped:2553,2553,devil in Old Melbourne Memories,VIC,144.9631732,-37.8142454,locality,B
mapped:2554,2554,devil in Old Melbourne Memories,VIC,144.9631732,-37.8142454,locality,B
mapped:2555,2555,giant in Old Melbourne Memories,VIC,144.9631732,-37.8142454,locality,B
mapped:2556,2556,giant in Old Melbourne Memories,VIC,144.9631732,-37.8142454,locality,B
mapped:2557,2557,giant in Old Melbourne Memories,VIC,144.9631732,-37.8142454,locality,B
mapped:2558,2558,giant in Old Melbourne Memories,VIC,144.9631732,-37.8142454,locality,B
mapped:3691,3691,spirit in Diary of ten years eventful life of an early settler in Western Australia,WA,115.8605784,-31.9558967,town,high
mapped:3697,3697,spirits in Diary of ten years eventful life of an early settler in Western Australia,WA,115.7586172,-32.0534086,town,high
mapped:3709,3709,spirit in Diary of ten years eventful life of an early settler in Western Australia,WA,115.8605784,-31.9558967,town,high
mapped:3712,3712,spirit in Diary of ten years eventful life of an early settler in Western Australia,WA,115.9190544,-31.9319845,named_feature,high
mapped:1030,1030,1885 - Australian Town and Country Yowie Article,NSW,151.2082848,-33.8698439,locality,medium
mapped:679,679,1886 - Brisbane Courier,QLD,153.0235009,-27.4689623,locality,medium
mapped:680,680,1886 - Queanbeyan Age,NSW,149.2337634,-35.3524518,locality,medium
mapped:1880,1880,"ghost in The Australian Race, volume 1",NSW,149.7198009,-34.7523871,town,high
mapped:1886,1886,"spirit in The Australian Race, volume 1",WA,115.8605784,-31.9558967,town,high
mapped:1893,1893,"spirit in The Australian Race, volume 1",SA,137.2979051,-28.4803638,named_feature,high
mapped:1978,1978,"ghosts in The Australian Race, volume 2",SA,135.8592218,-34.7211905,town,high
mapped:2797,2797,ghost in The Mystery of a Hansom Cab,VIC,144.9631732,-37.8142454,locality,B
mapped:2798,2798,ghost in The Mystery of a Hansom Cab,VIC,144.9631732,-37.8142454,locality,B
mapped:2799,2799,ghost in The Mystery of a Hansom Cab,VIC,144.9631732,-37.8142454,locality,B
mapped:2800,2800,ghost in The Mystery of a Hansom Cab,VIC,144.9631732,-37.8142454,locality,B
mapped:2801,2801,ghosts in The Mystery of a Hansom Cab,VIC,144.9631732,-37.8142454,locality,B
mapped:2802,2802,haunted in The Mystery of a Hansom Cab,VIC,144.9631732,-37.8142454,locality,B
mapped:2805,2805,spirits in The Mystery of a Hansom Cab,VIC,144.9631732,-37.8142454,locality,B
mapped:2806,2806,spirit in The Mystery of a Hansom Cab,VIC,144.9631732,-37.8142454,locality,B
mapped:2810,2810,witch in The Mystery of a Hansom Cab,VIC,144.9631732,-37.8142454,locality,B
mapped:2811,2811,witch in The Mystery of a Hansom Cab,VIC,144.9631732,-37.8142454,locality,B
mapped:1976,1976,Fisher's Ghost in Fisher's Ghost,NSW,150.8167,-34.0667,town,B
mapped:1176,1176,Princess Theatre History - Federici,VIC,144.972658,-37.810997,exact_site,B
mapped:2956,2956,ghost in Madame Midas,VIC,143.8605645,-37.5623013,town,B
mapped:2960,2960,spirit in Madame Midas,VIC,143.8605645,-37.5623013,town,B
mapped:682,682,"1889 - Bowral Free Press, Australian Gorilla",NSW,150.4177868,-34.4816626,locality,medium
mapped:1025,1025,1889 - Kiama Independent,NSW,150.7959123,-34.6958202,locality,medium
mapped:1797,1797,devil in Among cannibals,QLD,153.2539994,-27.2397819,named_feature,high
mapped:1807,1807,giant in Among cannibals,QLD,153.2539994,-27.2397819,named_feature,high
mapped:3955,3955,spirits in Among Cannibals,QLD,145.6112083,-18.2484306,locality,B
mapped:3956,3956,devil in Among Cannibals,QLD,145.6112083,-18.2484306,locality,B
mapped:3957,3957,devil in Among Cannibals,QLD,145.6112083,-18.2484306,locality,B
mapped:3958,3958,devil in Among Cannibals,QLD,145.6112083,-18.2484306,locality,B
mapped:3959,3959,devil in Among Cannibals,QLD,145.6112083,-18.2484306,locality,B
mapped:3960,3960,wizard in Among Cannibals,QLD,145.6112083,-18.2484306,locality,B
mapped:684,684,1891 - Bathurst Times Article,NSW,150.1004909,-33.9802583,named_feature,high
mapped:685,685,1892 - Maitland Mercury,NSW,151.5511123,-32.7316683,locality,medium
mapped:863,863,1892 - Sydney Mail Yowie Article,NSW,151.2082848,-33.8698439,locality,medium
mapped:2024,2024,evil spirit in Notes on the Aborigines of New South Wales,NSW,151.7795348,-32.9192953,town,high
mapped:2028,2028,Boonbolong in Notes on the Aborigines of New South Wales,NSW,151.7795348,-32.9192953,town,high
mapped:686,686,1893 - Goulburn Penny Post Article,NSW,149.7198009,-34.7523871,town,medium
mapped:687,687,1893 (2) - Goulburn Penny Post Article,NSW,149.7198009,-34.7523871,town,medium
