population_kind,frontend_join_key,record_id,narrative_unit_id,legacy_map_id,location_id,source_name,source_file,title,year,lat,lng,state,source_url,source_stated_place_text,location_role,coordinate_precision,geocode_confidence,review_status,notes
canonical_frontend_public_record,record_id:2098,2098,,,,Internet Archive,/Users/jarlgiovanni/Desktop/bigfoot_research/public/data/frontend-data.json,evil spirit in A Descriptive Vocabulary of the Language in Common Use Amongst the Aborigines of Western Australia,1842,,,WA,https://archive.org/download/adescriptivevoc00moorgoog/adescriptivevoc00moorgoog_djvu.txt,,,,,,frontend records row
canonical_frontend_public_record,record_id:2099,2099,,,,Internet Archive,/Users/jarlgiovanni/Desktop/bigfoot_research/public/data/frontend-data.json,evil spirit in A Descriptive Vocabulary of the Language in Common Use Amongst the Aborigines of Western Australia,1842,,,WA,https://archive.org/download/adescriptivevoc00moorgoog/adescriptivevoc00moorgoog_djvu.txt,,,,,,frontend records row
canonical_frontend_public_record,record_id:2100,2100,,,,Internet Archive,/Users/jarlgiovanni/Desktop/bigfoot_research/public/data/frontend-data.json,witchcraft in A Descriptive Vocabulary of the Language in Common Use Amongst the Aborigines of Western Australia,1842,,,WA,https://archive.org/download/adescriptivevoc00moorgoog/adescriptivevoc00moorgoog_djvu.txt,,,,,,frontend records row
canonical_frontend_public_record,record_id:2101,2101,,,,Internet Archive,/Users/jarlgiovanni/Desktop/bigfoot_research/public/data/frontend-data.json,wizard in A Descriptive Vocabulary of the Language in Common Use Amongst the Aborigines of Western Australia,1842,,,WA,https://archive.org/download/adescriptivevoc00moorgoog/adescriptivevoc00moorgoog_djvu.txt,,,,,,frontend records row
canonical_frontend_public_record,record_id:637,637,,,,Australian Yowie Research,/Users/jarlgiovanni/Desktop/bigfoot_research/public/data/frontend-data.json,1843 - Sydney Morning Herald,1843,-33.8698439,151.2082848,NSW,https://www.yowiehunters.com.au/historical-articles/1894-1843-sydney-morning-herald,"Sydney, NSW",reported_place,locality,medium,verified_gazetteer_point,frontend records row
canonical_frontend_public_record,record_id:638,638,,,,Australian Yowie Research,/Users/jarlgiovanni/Desktop/bigfoot_research/public/data/frontend-data.json,1843 - Sydney Morning Herald 2,1843,-33.8698439,151.2082848,NSW,https://www.yowiehunters.com.au/historical-articles/1933-1843-sydney-morning-herald-2,"Sydney, NSW",reported_place,locality,medium,verified_gazetteer_point,frontend records row
canonical_frontend_public_record,record_id:639,639,,,,Australian Yowie Research,/Users/jarlgiovanni/Desktop/bigfoot_research/public/data/frontend-data.json,1844 - Charles Meredith Diary Entry,1844,,,NSW,https://www.yowiehunters.com.au/historical-articles/1487-charles-meredith-diary-entry-1844,,,,,,frontend records row
canonical_frontend_public_record,record_id:640,640,,,,Australian Yowie Research,/Users/jarlgiovanni/Desktop/bigfoot_research/public/data/frontend-data.json,1847 - Geelong Advertiser,1847,-38.1493248,144.3598241,VIC,https://www.yowiehunters.com.au/historical-articles/1645-geelong-advertiser-1847,"Geelong, VIC",reported_place,locality,medium,verified_gazetteer_point,frontend records row
canonical_frontend_public_record,record_id:641,641,,,,Australian Yowie Research,/Users/jarlgiovanni/Desktop/bigfoot_research/public/data/frontend-data.json,1847 - Sydney Morning Herald Article,1847,-33.8698439,151.2082848,NSW,https://www.yowiehunters.com.au/historical-articles/1488-sydney-morning-herald-article-1847,"Sydney, NSW",reported_place,locality,medium,verified_gazetteer_point,frontend records row
canonical_frontend_public_record,record_id:44,44,,,,Australian Yowie Research,/Users/jarlgiovanni/Desktop/bigfoot_research/public/data/frontend-data.json,"Phillip Island, Victoria 1849",1849,-38.507178,145.1888103,VIC,https://www.yowiehunters.com.au/victoria/1259-phillip-island-vic-1849,"Phillip Island, VIC",reported_place,locality,high,verified_gazetteer_point,frontend records row
