state,mapped_count,share_pct
AU_UNSPECIFIED,1271,28.93
NSW,1066,24.27
QLD,626,14.25
VIC,599,13.64
NT,228,5.19
TAS,208,4.73
WA,196,4.46
SA,157,3.57
ACT,42,0.96
