record_id,narrative_unit_id,candidate_id,existing_source_name,existing_source_url,inferred_discovery_source_name,inferred_access_source_name,inferred_original_source_name,inferred_evidence_source_name,inferred_evidence_source_tier,source_chain_score,machine_bucket,hard_fail_reasons,machine_recommendation,machine_confidence,reviewer_decision,reviewer_notes
26,18,,Australian Yowie Research,https://www.yowiehunters.com.au/south-australia/1144-roxby-downs-1995,Australian Yowie Research,,,,E,0,RED_DISCOVERY_ONLY_LEAKAGE,missing_evidence_source_name;discovery_only_as_evidence,RED_DISCOVERY_ONLY_LEAKAGE,0.95,,
27,19,,Australian Yowie Research,https://www.yowiehunters.com.au/south-australia/1805-wilpena-pound-south-australia-2014,Australian Yowie Research,,,,E,0,RED_DISCOVERY_ONLY_LEAKAGE,missing_evidence_source_name;discovery_only_as_evidence,RED_DISCOVERY_ONLY_LEAKAGE,0.95,,
28,20,,Australian Yowie Research,https://www.yowiehunters.com.au/south-australia/1882-sixth-creek-adelaide-hills-south-australia-2015,Australian Yowie Research,,,,E,0,RED_DISCOVERY_ONLY_LEAKAGE,missing_evidence_source_name;discovery_only_as_evidence,RED_DISCOVERY_ONLY_LEAKAGE,0.95,,
29,21,,Australian Yowie Research,https://www.yowiehunters.com.au/south-australia/1856-loxton-south-australia-2016,Australian Yowie Research,,,,E,0,RED_DISCOVERY_ONLY_LEAKAGE,missing_evidence_source_name;discovery_only_as_evidence,RED_DISCOVERY_ONLY_LEAKAGE,0.95,,
30,22,,Australian Yowie Research,https://www.yowiehunters.com.au/south-australia/1969-poochera-south-australia-2016,Australian Yowie Research,,,,E,0,RED_DISCOVERY_ONLY_LEAKAGE,missing_evidence_source_name;discovery_only_as_evidence,RED_DISCOVERY_ONLY_LEAKAGE,0.95,,
31,23,,Australian Yowie Research,https://www.yowiehunters.com.au/northern-territory/2138-darwin-fannie-bay-northern-territory-1979,Australian Yowie Research,,,,E,0,RED_DISCOVERY_ONLY_LEAKAGE,missing_evidence_source_name;discovery_only_as_evidence,RED_DISCOVERY_ONLY_LEAKAGE,0.95,,
32,24,,Australian Yowie Research,https://www.yowiehunters.com.au/northern-territory/271-yambah-station-1987,Australian Yowie Research,,,,E,0,RED_DISCOVERY_ONLY_LEAKAGE,missing_evidence_source_name;discovery_only_as_evidence,RED_DISCOVERY_ONLY_LEAKAGE,0.95,,
33,25,,Australian Yowie Research,https://www.yowiehunters.com.au/northern-territory/1912-berry-springs-northern-territory-1995,Australian Yowie Research,,,,E,0,RED_DISCOVERY_ONLY_LEAKAGE,missing_evidence_source_name;discovery_only_as_evidence,RED_DISCOVERY_ONLY_LEAKAGE,0.95,,
34,26,,Australian Yowie Research,https://www.yowiehunters.com.au/northern-territory/270-acacia-hills-1997-sp-8502,Australian Yowie Research,,,,E,0,RED_DISCOVERY_ONLY_LEAKAGE,missing_evidence_source_name;discovery_only_as_evidence,RED_DISCOVERY_ONLY_LEAKAGE,0.95,,
35,27,,Australian Yowie Research,https://www.yowiehunters.com.au/northern-territory/268-acacia-hills-1998,Australian Yowie Research,,,,E,0,RED_DISCOVERY_ONLY_LEAKAGE,missing_evidence_source_name;discovery_only_as_evidence,RED_DISCOVERY_ONLY_LEAKAGE,0.95,,
36,28,,Australian Yowie Research,https://www.yowiehunters.com.au/northern-territory/2291-acacia-ridge-humpty-doo-northern-territory-1998,Australian Yowie Research,,,,E,0,RED_DISCOVERY_ONLY_LEAKAGE,missing_evidence_source_name;discovery_only_as_evidence,RED_DISCOVERY_ONLY_LEAKAGE,0.95,,
37,29,,Australian Yowie Research,https://www.yowiehunters.com.au/northern-territory/267-adelaide-river-1998,Australian Yowie Research,,,,E,0,RED_DISCOVERY_ONLY_LEAKAGE,missing_evidence_source_name;discovery_only_as_evidence,RED_DISCOVERY_ONLY_LEAKAGE,0.95,,
38,30,,Australian Yowie Research,https://www.yowiehunters.com.au/northern-territory/1242-tanima-desert-nt-1998,Australian Yowie Research,,,,E,0,RED_DISCOVERY_ONLY_LEAKAGE,missing_evidence_source_name;discovery_only_as_evidence,RED_DISCOVERY_ONLY_LEAKAGE,0.95,,
39,31,,Australian Yowie Research,https://www.yowiehunters.com.au/northern-territory/1552-kings-canyon-northern-territory-2001,Australian Yowie Research,,,,E,0,RED_DISCOVERY_ONLY_LEAKAGE,missing_evidence_source_name;discovery_only_as_evidence,RED_DISCOVERY_ONLY_LEAKAGE,0.95,,
40,32,,Australian Yowie Research,https://www.yowiehunters.com.au/tasmania/273-lake-dulverton-jan-1987,Australian Yowie Research,,,,E,0,RED_DISCOVERY_ONLY_LEAKAGE,missing_evidence_source_name;discovery_only_as_evidence,RED_DISCOVERY_ONLY_LEAKAGE,0.95,,
41,33,,Australian Yowie Research,https://www.yowiehunters.com.au/tasmania/1240-lake-dulverton-tas-1987-2,Australian Yowie Research,,,,E,0,RED_DISCOVERY_ONLY_LEAKAGE,missing_evidence_source_name;discovery_only_as_evidence,RED_DISCOVERY_ONLY_LEAKAGE,0.95,,
42,34,,Australian Yowie Research,https://www.yowiehunters.com.au/tasmania/2028-smithton-tasmania-1992,Australian Yowie Research,,,,E,0,RED_DISCOVERY_ONLY_LEAKAGE,missing_evidence_source_name;discovery_only_as_evidence,RED_DISCOVERY_ONLY_LEAKAGE,0.95,,
