candidate_status,source_name,source_type,source_tier,title,publication_or_organisation,publication_date_text,access_date,url,canonical_url,external_id,publicness_status,rights_access_status,narrative_type,secondary_role,australian_relation,humanoid_basis,source_label,location_text,location_role,latitude,longitude,location_precision,geocode_source,geocode_verification_status,coordinate_evidence_note,duplicate_check_status,quality_class,ethics_review_status,cultural_sensitivity,acceptance_decision,rejection_reason,evidence_summary
accepted,Internet Archive,repository_full_text,B,spirit in The Aborigines of Western Australia,The Aborigines of Western Australia; Albert Frederick Calvert,1894 public-domain Western Australian text exposed through an exact Internet Archive item,2026-06-22,https://archive.org/download/aboriginesweste00calvgoog/aboriginesweste00calvgoog_djvu.txt,https://archive.org/download/aboriginesweste00calvgoog/aboriginesweste00calvgoog_djvu.txt,sprint-internet-archive-calv:aboriginesweste00calvgoog:spirit:001,public_text_item,public_access_text_available,spirit_person_narrative,source_grounded_section_record,Public-domain Western Australian source; accepted rows require substantive supernatural/person-form narrative or discourse evidence; narrative dedupe prevents duplicate passages across editions.,explicit_supernatural_or_anomalous_person_form_agent,spirit,Western Australia,cultural_association_region,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"is detimringly fond of music, but it has sorae- timeii the reverse of a. soothing effect upon him, for ioatancfl, when it takes the form of a war song. During 32 THE ADORICINES OF WESTEKN AUSTRALIA. the singing of one of these he ntshea madly up and dowii, stamping and jumping in an ever increasing frenzy. And yet to the eye, when the words of one of these spirit stirring ditties are coldly aot iip in type, there seems l)iit scanty material out of which to get up sc much superheated stettm. Here is a specimen of a well-known war song. "" Yu-do daa na Nan-dn danna I (StACoato t) My.eree danDa Ooor doa danua BooD ea-U daii'iia (with."
accepted,Internet Archive,repository_full_text,B,spirits in The Aborigines of Western Australia,The Aborigines of Western Australia; Albert Frederick Calvert,1894 public-domain Western Australian text exposed through an exact Internet Archive item,2026-06-22,https://archive.org/download/aboriginesweste00calvgoog/aboriginesweste00calvgoog_djvu.txt,https://archive.org/download/aboriginesweste00calvgoog/aboriginesweste00calvgoog_djvu.txt,sprint-internet-archive-calv:aboriginesweste00calvgoog:spirits:002,public_text_item,public_access_text_available,spirit_person_narrative,source_grounded_section_record,Public-domain Western Australian source; accepted rows require substantive supernatural/person-form narrative or discourse evidence; narrative dedupe prevents duplicate passages across editions.,explicit_supernatural_or_anomalous_person_form_agent,spirits,Western Australia,cultural_association_region,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,""" say '* or ""promise,"" and that I had promised her Bomething was one of her pleasant little fictions."" remonntratinfflt/ Poor nia del.bU me poor ™ihy me, m«)y„^bigfeU..ff liatdl'eni nuthinii nalyo, aiiU want en i brend, nnrt/-' * Regarding the religion of the aboriginee, the evidence is somewhat conflicting. Certain it la that their legends are fuU of evil spirits and malignant demons which destroy men, women, and children. I think it ia very doubtful if they have any knowledge of a beneficient God or righteous Creator. "" MuUion "" is a wicked being who lives in a high tree and seizea black fellows to devour in a higher abode, for."
