dimension,value,count,share_pct,source,notes
access_source_name,public_candidate_review,3541,78.24,data/processed/v2/source_concentration_audit.csv,existing source concentration audit
access_source_name,specialist_aggregator_or_witness_publication,898,19.84,data/processed/v2/source_concentration_audit.csv,existing source concentration audit
access_source_name,bibliographic_metadata,67,1.48,data/processed/v2/source_concentration_audit.csv,existing source concentration audit
access_source_name,digitized_public_item_or_metadata,13,0.29,data/processed/v2/source_concentration_audit.csv,existing source concentration audit
access_source_name,public_web_or_media,7,0.15,data/processed/v2/source_concentration_audit.csv,existing source concentration audit
original_source_name,Australian Yowie Research,898,19.84,data/processed/v2/source_concentration_audit.csv,existing source concentration audit
original_source_name,Australian Yowie Research / AYR Yowie Reports Map,350,7.73,data/processed/v2/source_concentration_audit.csv,existing source concentration audit
original_source_name,The Northern Tribes of Central Australia; Baldwin Spencer and F. J. Gillen,124,2.74,data/processed/v2/source_concentration_audit.csv,existing source concentration audit
original_source_name,Native Tribes of the Northern Territory of Australia; Baldwin Spencer,120,2.65,data/processed/v2/source_concentration_audit.csv,existing source concentration audit
original_source_name,"The Aborigines of Victoria, volume 1; R. Brough Smyth",107,2.36,data/processed/v2/source_concentration_audit.csv,existing source concentration audit
original_source_name,The Aborigines of New South Wales; John Fraser,93,2.05,data/processed/v2/source_concentration_audit.csv,existing source concentration audit
original_source_name,"Across Australia, volume 2; Baldwin Spencer and F. J. Gillen",83,1.83,data/processed/v2/source_concentration_audit.csv,existing source concentration audit
original_source_name,Australian Legends; C. W. Peck,77,1.7,data/processed/v2/source_concentration_audit.csv,existing source concentration audit
original_source_name,Australian fairy tales; Atha Westbury,77,1.7,data/processed/v2/source_concentration_audit.csv,existing source concentration audit
original_source_name,"The Aborigines of Tasmania; H. Ling Roth, Marion E. Butler, James Backhouse Walker, J. G. Garson, E. B. Tylor",76,1.68,data/processed/v2/source_concentration_audit.csv,existing source concentration audit
original_source_name,The Euahlayi Tribe; K. Langloh Parker,62,1.37,data/processed/v2/source_concentration_audit.csv,existing source concentration audit
original_source_name,Kamilaroi and Kurnai; Lorimer Fison and A. W. Howitt,60,1.33,data/processed/v2/source_concentration_audit.csv,existing source concentration audit
original_source_name,Below And On Top and Other Stories; Edward Dyson,56,1.24,data/processed/v2/source_concentration_audit.csv,existing source concentration audit
original_source_name,"Australian Aborigines: the languages and customs of several tribes of aborigines in the western district of Victoria, Australia; James Dawson",55,1.22,data/processed/v2/source_concentration_audit.csv,existing source concentration audit
original_source_name,"The Native Tribes of South Australia; George Taplin, James Dominick Woods, William Wyatt, H. A. E. Meyer, C. W. Schürmann, Samuel Gason, J. W. O. Bennett",51,1.13,data/processed/v2/source_concentration_audit.csv,existing source concentration audit
original_source_name,Australian Broadcasting Corporation,50,1.1,data/processed/v2/source_concentration_audit.csv,existing source concentration audit
original_source_name,Australian Legendary Tales: folk-lore of the Noongahburrahs as told to the Piccaninnies; K. Langloh Parker,50,1.1,data/processed/v2/source_concentration_audit.csv,existing source concentration audit
original_source_name,Diary of ten years eventful life of an early settler in Western Australia; George Fletcher Moore,50,1.1,data/processed/v2/source_concentration_audit.csv,existing source concentration audit
original_source_name,Native Tribes of South-East Australia; A. W. Howitt,46,1.02,data/processed/v2/source_concentration_audit.csv,existing source concentration audit
original_source_name,"The Aborigines of Victoria, volume 2; R. Brough Smyth",46,1.02,data/processed/v2/source_concentration_audit.csv,existing source concentration audit
original_source_name,Native Tribes of Central Australia; Baldwin Spencer and F. J. Gillen,42,0.93,data/processed/v2/source_concentration_audit.csv,existing source concentration audit
original_source_name,"Queensland, Australia; John Dunmore Lang",41,0.91,data/processed/v2/source_concentration_audit.csv,existing source concentration audit
original_source_name,"Nuggets in the Devil's Punch Bowl, and Other Australian Tales; Andrew Robertson",40,0.88,data/processed/v2/source_concentration_audit.csv,existing source concentration audit
