dimension,value,count,share_pct,source,notes
source_items.source_type,repository_full_text,1552,34.29,source_items,
source_items.source_type,public_domain_ebook,968,21.39,source_items,
source_items.source_type,modern_web,905,20.0,source_items,
source_items.source_type,public_web_yowie_report_map,350,7.73,source_items,
source_items.source_type,institutional_media_page,209,4.62,source_items,
source_items.source_type,public_domain_transcribed_book,176,3.89,source_items,
source_items.source_type,academic_metadata,67,1.48,source_items,
source_items.source_type,project_gutenberg_australia_book,60,1.33,source_items,
source_items.source_type,internet_archive_metadata,36,0.8,source_items,
source_items.source_type,public_books_metadata_openlibrary,33,0.73,source_items,
source_items.source_type,repository_full_text_article,32,0.71,source_items,
source_items.source_type,institutional_history_article,27,0.6,source_items,
source_items.source_type,institutional_web,27,0.6,source_items,
source_items.source_type,public_web_yowie_state_report_index,21,0.46,source_items,
source_items.source_type,internet_sacred_texts_public_domain_book,20,0.44,source_items,
source_items.source_type,wikisource_public_domain_book,10,0.22,source_items,
source_items.source_type,institutional_history_and_media_pages,8,0.18,source_items,
source_items.source_type,public_books_metadata_internet_archive,6,0.13,source_items,
source_items.source_type,institutional_history_page,5,0.11,source_items,
source_items.source_type,public_wikidata_entity_metadata,5,0.11,source_items,
source_items.source_type,public_repository_ocr_text,3,0.07,source_items,
source_items.source_type,public_repository_newsletter_ocr_text,2,0.04,source_items,
source_items.source_type,community_controlled_public_web,1,0.02,source_items,
source_items.source_type,institutional_education_page,1,0.02,source_items,
source_items.source_type,municipal_local_history_pdf,1,0.02,source_items,
source_items.source_type,seeded_public_web,1,0.02,source_items,
