dimension,value,count,share_pct,source,notes
narrative_units.ethics_review_status,public_context_reviewed,2028,45.5,narrative_units,
narrative_units.ethics_review_status,ok_public,923,20.71,narrative_units,
narrative_units.ethics_review_status,public_fiction_reviewed,627,14.07,narrative_units,
narrative_units.ethics_review_status,needs_human_review_before_production_import,371,8.32,narrative_units,
narrative_units.ethics_review_status,public_media_context_reviewed,176,3.95,narrative_units,
narrative_units.ethics_review_status,caution_indigenous_related_public_retelling,90,2.02,narrative_units,
narrative_units.ethics_review_status,public_ethnographic_text_reviewed,50,1.12,narrative_units,
narrative_units.ethics_review_status,needs_human_ethics_review,41,0.92,narrative_units,
narrative_units.ethics_review_status,public_institutional_history_reviewed,41,0.92,narrative_units,
narrative_units.ethics_review_status,public_metadata_context_reviewed,39,0.88,narrative_units,
narrative_units.ethics_review_status,public_page_context_reviewed,19,0.43,narrative_units,
narrative_units.ethics_review_status,public_local_history_reviewed,14,0.31,narrative_units,
narrative_units.ethics_review_status,public_memoir_reviewed,10,0.22,narrative_units,
narrative_units.ethics_review_status,public_institutional_or_media_context_reviewed,8,0.18,narrative_units,
narrative_units.ethics_review_status,public_media_context_summary_only,4,0.09,narrative_units,
narrative_units.ethics_review_status,requires_ethics_review,4,0.09,narrative_units,
narrative_units.ethics_review_status,caution_indigenous_related,3,0.07,narrative_units,
narrative_units.ethics_review_status,public_abc_media_source_reviewed_summary_only,2,0.04,narrative_units,
narrative_units.ethics_review_status,public_education_context_summary_only,2,0.04,narrative_units,
narrative_units.ethics_review_status,public_institutional_newsletter_reviewed,2,0.04,narrative_units,
narrative_units.ethics_review_status,caution_indigenous_knowledge,1,0.02,narrative_units,
narrative_units.ethics_review_status,public_abc_education_source_reviewed_summary_only,1,0.02,narrative_units,
narrative_units.ethics_review_status,public_media_and_local_history_reviewed,1,0.02,narrative_units,
narrative_units.cultural_sensitivity,moderate,2028,45.5,narrative_units,
narrative_units.cultural_sensitivity,low,1858,41.69,narrative_units,
narrative_units.cultural_sensitivity,public_claim_report_context_review,371,8.32,narrative_units,
narrative_units.cultural_sensitivity,medium,95,2.13,narrative_units,
narrative_units.cultural_sensitivity,high,89,2.0,narrative_units,
narrative_units.cultural_sensitivity,high_public_source_summary_only,16,0.36,narrative_units,
