dimension,value,count,share_pct,source,notes
frontend_map.source_family,AYR_FAMILY,1272,79.85,data/processed/v2/frontend_source_concentration_audit.csv,frontend map source-family audit
frontend_map.source_family,Australian Broadcasting Corporation,116,7.28,data/processed/v2/frontend_source_concentration_audit.csv,frontend map source-family audit
frontend_map.source_family,INTERNET_ARCHIVE_FAMILY,74,4.65,data/processed/v2/frontend_source_concentration_audit.csv,frontend map source-family audit
frontend_map.source_family,GUTENBERG_FAMILY,68,4.27,data/processed/v2/frontend_source_concentration_audit.csv,frontend map source-family audit
frontend_map.source_family,State Library Victoria,21,1.32,data/processed/v2/frontend_source_concentration_audit.csv,frontend map source-family audit
frontend_map.source_family,National Trust and ABC public pages,8,0.5,data/processed/v2/frontend_source_concentration_audit.csv,frontend map source-family audit
frontend_map.source_family,National Trust of Australia (NSW),6,0.38,data/processed/v2/frontend_source_concentration_audit.csv,frontend map source-family audit
frontend_map.source_family,Adelaide Arcade,5,0.31,data/processed/v2/frontend_source_concentration_audit.csv,frontend map source-family audit
frontend_map.source_family,Territory Stories,5,0.31,data/processed/v2/frontend_source_concentration_audit.csv,frontend map source-family audit
frontend_map.source_family,Adelaide Gaol,4,0.25,data/processed/v2/frontend_source_concentration_audit.csv,frontend map source-family audit
frontend_map.source_family,National Trust Tasmania,2,0.13,data/processed/v2/frontend_source_concentration_audit.csv,frontend map source-family audit
frontend_map.source_family,Port Arthur Historic Site,2,0.13,data/processed/v2/frontend_source_concentration_audit.csv,frontend map source-family audit
frontend_map.source_family,ABC News,1,0.06,data/processed/v2/frontend_source_concentration_audit.csv,frontend map source-family audit
frontend_map.source_family,Australian Screen Online,1,0.06,data/processed/v2/frontend_source_concentration_audit.csv,frontend map source-family audit
frontend_map.source_family,Fremantle Prison,1,0.06,data/processed/v2/frontend_source_concentration_audit.csv,frontend map source-family audit
frontend_map.source_family,Gunaikurnai Land and Waters Aboriginal Corporation,1,0.06,data/processed/v2/frontend_source_concentration_audit.csv,frontend map source-family audit
frontend_map.source_family,J Ward Ararat,1,0.06,data/processed/v2/frontend_source_concentration_audit.csv,frontend map source-family audit
frontend_map.source_family,Marriner Group,1,0.06,data/processed/v2/frontend_source_concentration_audit.csv,frontend map source-family audit
frontend_map.source_family,National Trust Victoria,1,0.06,data/processed/v2/frontend_source_concentration_audit.csv,frontend map source-family audit
frontend_map.source_family,Old Melbourne Gaol,1,0.06,data/processed/v2/frontend_source_concentration_audit.csv,frontend map source-family audit
frontend_map.source_family,Parks Victoria,1,0.06,data/processed/v2/frontend_source_concentration_audit.csv,frontend map source-family audit
frontend_map.source_family,Town of Gawler Council,1,0.06,data/processed/v2/frontend_source_concentration_audit.csv,frontend map source-family audit
