dimension,value,count,share_pct,source,notes
source_items.publication_or_organisation,Australian Yowie Research,898,19.84,source_items,
source_items.publication_or_organisation,Australian Yowie Research / AYR Yowie Reports Map,350,7.73,source_items,
source_items.publication_or_organisation,The Northern Tribes of Central Australia; Baldwin Spencer and F. J. Gillen,124,2.74,source_items,
source_items.publication_or_organisation,Native Tribes of the Northern Territory of Australia; Baldwin Spencer,120,2.65,source_items,
source_items.publication_or_organisation,"The Aborigines of Victoria, volume 1; R. Brough Smyth",107,2.36,source_items,
source_items.publication_or_organisation,The Aborigines of New South Wales; John Fraser,93,2.05,source_items,
source_items.publication_or_organisation,"Across Australia, volume 2; Baldwin Spencer and F. J. Gillen",83,1.83,source_items,
source_items.publication_or_organisation,Australian Legends; C. W. Peck,77,1.7,source_items,
source_items.publication_or_organisation,Australian fairy tales; Atha Westbury,77,1.7,source_items,
source_items.publication_or_organisation,"The Aborigines of Tasmania; H. Ling Roth, Marion E. Butler, James Backhouse Walker, J. G. Garson, E. B. Tylor",76,1.68,source_items,
source_items.publication_or_organisation,The Euahlayi Tribe; K. Langloh Parker,62,1.37,source_items,
source_items.publication_or_organisation,Kamilaroi and Kurnai; Lorimer Fison and A. W. Howitt,60,1.33,source_items,
source_items.publication_or_organisation,Below And On Top and Other Stories; Edward Dyson,56,1.24,source_items,
source_items.publication_or_organisation,"Australian Aborigines: the languages and customs of several tribes of aborigines in the western district of Victoria, Australia; James Dawson",55,1.22,source_items,
source_items.publication_or_organisation,"The Native Tribes of South Australia; George Taplin, James Dominick Woods, William Wyatt, H. A. E. Meyer, C. W. Schürmann, Samuel Gason, J. W. O. Bennett",51,1.13,source_items,
source_items.publication_or_organisation,Australian Broadcasting Corporation,50,1.1,source_items,
source_items.publication_or_organisation,Australian Legendary Tales: folk-lore of the Noongahburrahs as told to the Piccaninnies; K. Langloh Parker,50,1.1,source_items,
source_items.publication_or_organisation,Diary of ten years eventful life of an early settler in Western Australia; George Fletcher Moore,50,1.1,source_items,
source_items.publication_or_organisation,Native Tribes of South-East Australia; A. W. Howitt,46,1.02,source_items,
source_items.publication_or_organisation,"The Aborigines of Victoria, volume 2; R. Brough Smyth",46,1.02,source_items,
source_items.publication_or_organisation,Native Tribes of Central Australia; Baldwin Spencer and F. J. Gillen,42,0.93,source_items,
source_items.publication_or_organisation,"Queensland, Australia; John Dunmore Lang",41,0.91,source_items,
source_items.publication_or_organisation,"Nuggets in the Devil's Punch Bowl, and Other Australian Tales; Andrew Robertson",40,0.88,source_items,
source_items.publication_or_organisation,The Booandik Tribe of South Australian Aborigines; Christina Smith,40,0.88,source_items,
source_items.publication_or_organisation,Eaglehawk and Crow; John Mathew,39,0.86,source_items,
source_items.publication_or_organisation,More Australian Legendary Tales; K. Langloh Parker,37,0.82,source_items,
source_items.publication_or_organisation,Australian Fairy Tales and related Australian tale books; Hume Cook / Ethel Buckland,36,0.8,source_items,
source_items.publication_or_organisation,Australian Legends / Project Gutenberg Australia,36,0.8,source_items,
source_items.publication_or_organisation,"Kamilaroi, and other Australian languages; William Ridley",32,0.71,source_items,
source_items.publication_or_organisation,Ethnological studies among the north-west-central Queensland aborigines; Walter E. Roth,30,0.66,source_items,
source_items.publication_or_organisation,"The aborigines of Victoria, volume 2; R. Brough Smyth",30,0.66,source_items,
source_items.publication_or_organisation,For the Term of His Natural Life; Marcus Clarke,29,0.64,source_items,
source_items.publication_or_organisation,"The aborigines of Victoria, volume 1; R. Brough Smyth",29,0.64,source_items,
source_items.publication_or_organisation,ABC; ABC,28,0.62,source_items,
source_items.publication_or_organisation,"Across Australia, volume 1; Baldwin Spencer and F. J. Gillen",27,0.6,source_items,
source_items.publication_or_organisation,Australia Felix; Henry Handel Richardson,27,0.6,source_items,
source_items.publication_or_organisation,Babes in the Bush; Rolf Boldrewood,27,0.6,source_items,
source_items.publication_or_organisation,Joe Wilson and His Mates; Henry Lawson,27,0.6,source_items,
source_items.publication_or_organisation,"The Australian Race, volume 3; Edward Micklethwaite Curr",27,0.6,source_items,
source_items.publication_or_organisation,"In Bad Company, and other stories; Rolf Boldrewood",24,0.53,source_items,
source_items.publication_or_organisation,Nevermore; Rolf Boldrewood,24,0.53,source_items,
source_items.publication_or_organisation,"The Aborigines of Tasmania; H. Ling Roth, J. G. Garson, and contributors",24,0.53,source_items,
source_items.publication_or_organisation,"The Australian Race, volume 2; Edward Micklethwaite Curr",24,0.53,source_items,
source_items.publication_or_organisation,The Last Chance: A Tale of the Golden West; Rolf Boldrewood,24,0.53,source_items,
source_items.publication_or_organisation,Among cannibals; Carl Lumholtz,23,0.51,source_items,
source_items.publication_or_organisation,"Kámilarói, and Other Australian Languages; William Ridley",23,0.51,source_items,
source_items.publication_or_organisation,Such Is Life; Joseph Furphy,23,0.51,source_items,
source_items.publication_or_organisation,The Crime of the Under Seas; Guy Boothby,22,0.49,source_items,
source_items.publication_or_organisation,A Descriptive Vocabulary of the Language in Common Use Amongst the Aborigines of Western Australia; George Fletcher Moore,21,0.46,source_items,
source_items.publication_or_organisation,ABC,21,0.46,source_items,
source_items.publication_or_organisation,At Midnight and Other Stories; Ada Cambridge,21,0.46,source_items,
source_items.publication_or_organisation,Australian Yowie Research state report indexes,21,0.46,source_items,
source_items.publication_or_organisation,"The Australian Race, volume 1; Edward Micklethwaite Curr",21,0.46,source_items,
source_items.publication_or_organisation,"Steve Brown's Bunyip, and Other Stories; John Arthur Barry",20,0.44,source_items,
source_items.publication_or_organisation,Internet Archive,19,0.42,source_items,
source_items.publication_or_organisation,My Brilliant Career; Miles Franklin,19,0.42,source_items,
source_items.publication_or_organisation,"Steve Brown's Bunyip, and Other Stories; L. C. Barry",19,0.42,source_items,
source_items.publication_or_organisation,Australian Legendary Tales / Project Gutenberg Australia,18,0.4,source_items,
source_items.publication_or_organisation,Australian Tales; Marcus Clarke,18,0.4,source_items,
source_items.publication_or_organisation,"How did the Natives of Australia become Acquainted with the Demigods and Daemonia, and with the Superstitions of the Ancient Races?; W. Augustus Miles",18,0.4,source_items,
source_items.publication_or_organisation,In the Days When the World Was Wide and Other Verses; Henry Lawson,18,0.4,source_items,
source_items.publication_or_organisation,In the Roaring Fifties; Edward Dyson,18,0.4,source_items,
source_items.publication_or_organisation,Some Everyday Folk and Dawn; Miles Franklin,18,0.4,source_items,
source_items.publication_or_organisation,Tales of the Austral Tropics; Ernest Favenc,18,0.4,source_items,
source_items.publication_or_organisation,While the Billy Boils; Henry Lawson,18,0.4,source_items,
source_items.publication_or_organisation,Children of the Bush; Henry Lawson,17,0.38,source_items,
source_items.publication_or_organisation,The Getting of Wisdom; Henry Handel Richardson,17,0.38,source_items,
source_items.publication_or_organisation,The Moving Finger; Mary Gaunt,17,0.38,source_items,
source_items.publication_or_organisation,The Mystery of a Hansom Cab; Fergus Hume,17,0.38,source_items,
source_items.publication_or_organisation,The Rising of the Court; Henry Lawson,17,0.38,source_items,
source_items.publication_or_organisation,The Three Miss Kings: An Australian Story; Ada Cambridge,17,0.38,source_items,
source_items.publication_or_organisation,Madame Midas; Fergus Hume,16,0.35,source_items,
source_items.publication_or_organisation,Plain Living; Rolf Boldrewood,16,0.35,source_items,
source_items.publication_or_organisation,Robbery under Arms: A Story of Life and Adventure in the Bush and in the Australian Goldfields; Rolf Boldrewood,16,0.35,source_items,
source_items.publication_or_organisation,The Crooked Stick; Rolf Boldrewood,16,0.35,source_items,
source_items.publication_or_organisation,"The folklore, manners, customs, and languages of the South Australian aborigines; George Taplin",16,0.35,source_items,
source_items.publication_or_organisation,Over the Sliprails; Henry Lawson,15,0.33,source_items,
source_items.publication_or_organisation,The Customs and Traditions of the Aboriginal Natives of North Western Australia; John G. Withnell,15,0.33,source_items,
source_items.publication_or_organisation,The Gold-Stealers; Edward Dyson,15,0.33,source_items,
source_items.publication_or_organisation,"A Colonial Reformer, Volume 1; Rolf Boldrewood",14,0.31,source_items,
source_items.publication_or_organisation,"A Colonial Reformer, Volume 3; Rolf Boldrewood",14,0.31,source_items,
source_items.publication_or_organisation,Native Tribes of Central Australia / Internet Sacred Text Archive,14,0.31,source_items,
source_items.publication_or_organisation,"North Queensland Ethnography. Bulletin No. 9. Burial ceremonies, and disposal of the dead; Walter E. Roth",14,0.31,source_items,
source_items.publication_or_organisation,"A Colonial Reformer, Volume 2; Rolf Boldrewood",13,0.29,source_items,
source_items.publication_or_organisation,Australian Stories Retold and Sketches of Country Life; William Henry Suttor,13,0.29,source_items,
source_items.publication_or_organisation,Old Melbourne Memories; Rolf Boldrewood,13,0.29,source_items,
source_items.publication_or_organisation,Old Tales of a Young Country; Marcus Clarke,12,0.27,source_items,
source_items.publication_or_organisation,Tales of Australian Life; Nathaniel Walter Swan,12,0.27,source_items,
source_items.publication_or_organisation,A Colonial Tramp; Hume Nisbet,11,0.24,source_items,
source_items.publication_or_organisation,On the Track; Henry Lawson,11,0.24,source_items,
source_items.publication_or_organisation,Sisters; Ada Cambridge,11,0.24,source_items,
source_items.publication_or_organisation,Tales of the Dandenongs; Hume Cook,11,0.24,source_items,
source_items.publication_or_organisation,The Aborigines of Victoria and Riverina; Peter Beveridge,11,0.24,source_items,
source_items.publication_or_organisation,Native Tribes of South-East Australia / Wikisource,10,0.22,source_items,
source_items.publication_or_organisation,Spooky stories from the Library; Tess McLaughlan,10,0.22,source_items,
source_items.publication_or_organisation,The Wonder-Child: An Australian Story; Ethel Turner,10,0.22,source_items,
source_items.publication_or_organisation,Thirty Years in Australia; Ada Cambridge,10,0.22,source_items,
source_items.publication_or_organisation,"Adelaide Gaol Ghostly sightings; Department for Environment and Water, South Australia",9,0.2,source_items,
source_items.publication_or_organisation,Federici's ghost; Sarah Matthews,8,0.18,source_items,
source_items.publication_or_organisation,Notes on the Aborigines of New South Wales; Richard Hill and George Thornton,8,0.18,source_items,
source_items.publication_or_organisation,Notes on the Aborigines of Western Australia; C. G. Nicolay,8,0.18,source_items,
source_items.publication_or_organisation,On Our Selection; Steele Rudd,8,0.18,source_items,
source_items.publication_or_organisation,Bush Studies; Barbara Baynton,7,0.15,source_items,
source_items.publication_or_organisation,Canberra history and legends; John Gale,7,0.15,source_items,
source_items.publication_or_organisation,OpenAlex,7,0.15,source_items,
source_items.publication_or_organisation,ABC; Background Briefing,6,0.13,source_items,
source_items.publication_or_organisation,Among Cannibals; Carl Lumholtz,6,0.13,source_items,
source_items.publication_or_organisation,English Wikipedia,6,0.13,source_items,
source_items.publication_or_organisation,More Australian Legendary Tales / Project Gutenberg Australia,6,0.13,source_items,
source_items.publication_or_organisation,Native Tribes of the Northern Territory of Australia / Internet Sacred Text Archive,6,0.13,source_items,
source_items.publication_or_organisation,Spooky stories at the National Trust; National Trust NSW Editor,6,0.13,source_items,
source_items.publication_or_organisation,The Dashwoods; Steele Rudd,6,0.13,source_items,
source_items.publication_or_organisation,Adelaide Arcade history; Adelaide Arcade,5,0.11,source_items,
source_items.publication_or_organisation,National Trust / Australian Broadcasting Corporation,5,0.11,source_items,
source_items.publication_or_organisation,The Fifth Continent; C. H. Eden,5,0.11,source_items,
source_items.publication_or_organisation,Wikidata,5,0.11,source_items,
source_items.publication_or_organisation,ABC; Mornings,4,0.09,source_items,
source_items.publication_or_organisation,ABC; The Ark,4,0.09,source_items,
source_items.publication_or_organisation,ABC; The World Today,4,0.09,source_items,
source_items.publication_or_organisation,Australian Archaeology,4,0.09,source_items,
source_items.publication_or_organisation,Australian Screen / NFSA,4,0.09,source_items,
source_items.publication_or_organisation,Nightlife,4,0.09,source_items,
source_items.publication_or_organisation,"Shearing in the Riverina, New South Wales; Rolf Boldrewood",4,0.09,source_items,
source_items.publication_or_organisation,The Aborigines of Western Australia; Albert Frederick Calvert,4,0.09,source_items,
source_items.publication_or_organisation,"Wrightson, Patricia",4,0.09,source_items,
source_items.publication_or_organisation,ABC; Encounter,3,0.07,source_items,
source_items.publication_or_organisation,ABC; Evenings,3,0.07,source_items,
source_items.publication_or_organisation,ABC; Nightlife,3,0.07,source_items,
source_items.publication_or_organisation,ABC; Science Show,3,0.07,source_items,
source_items.publication_or_organisation,ABC; Spirit of Things,3,0.07,source_items,
source_items.publication_or_organisation,Australia Wide,3,0.07,source_items,
source_items.publication_or_organisation,Australian aboriginal studies/Australian Aboriginal studies,3,0.07,source_items,
source_items.publication_or_organisation,Human Repetends; Marcus Clarke,3,0.07,source_items,
source_items.publication_or_organisation,ResearchOnline at James Cook University (James Cook University),3,0.07,source_items,
source_items.publication_or_organisation,Reviewed exact public place snippets; National Trust / Australian Broadcasting Corporation,3,0.07,source_items,
source_items.publication_or_organisation,The Moral Compass Cleverman Special; ABC Religion & Ethics / Geraldine Doogue,3,0.07,source_items,
source_items.publication_or_organisation,What are Hobart's most famous ghost stories?; Australian Broadcasting Corporation,3,0.07,source_items,
source_items.publication_or_organisation,ABC; Conversations,2,0.04,source_items,
source_items.publication_or_organisation,ABC; Drive,2,0.04,source_items,
source_items.publication_or_organisation,ABC; Your Afternoon,2,0.04,source_items,
source_items.publication_or_organisation,Allen & Unwin,2,0.04,source_items,
source_items.publication_or_organisation,Breakfast,2,0.04,source_items,
source_items.publication_or_organisation,Children's Literature Association quarterly,2,0.04,source_items,
source_items.publication_or_organisation,Ghost hunters conduct global seance via Facebook at Australia's oldest mental hospital; ABC News Tasmania,2,0.04,source_items,
source_items.publication_or_organisation,"Ghosts of Castle, Settlers hotels and Old York Hospital spook and delight tourists in WA town; ABC Midwest & Wheatbelt",2,0.04,source_items,
source_items.publication_or_organisation,Medical Entomology and Zoology,2,0.04,source_items,
source_items.publication_or_organisation,Meet the woman taking Tasmania's most haunted sites to the social media masses; ABC Northern Tasmania,2,0.04,source_items,
source_items.publication_or_organisation,National Trust Tasmania,2,0.04,source_items,
source_items.publication_or_organisation,Notes on the Aborigines of New South Wales; R. H. Mathews,2,0.04,source_items,
source_items.publication_or_organisation,Oxford English Dictionary,2,0.04,source_items,
source_items.publication_or_organisation,Palethnologie,2,0.04,source_items,
source_items.publication_or_organisation,Port Arthur Historic Site,2,0.04,source_items,
source_items.publication_or_organisation,RUNE (Research UNE),2,0.04,source_items,
