dimension,value,count,share_pct,source,notes
target_gap_leads.source_family,(missing),10950,51.3,target_gap_leads,
target_gap_leads.source_family,museum_heritage_page,1972,9.24,target_gap_leads,
target_gap_leads.source_family,heritage_register,1932,9.05,target_gap_leads,
target_gap_leads.source_family,state_library_catalogue,1496,7.01,target_gap_leads,
target_gap_leads.source_family,council_local_studies,1457,6.83,target_gap_leads,
target_gap_leads.source_family,local_history_serial,1431,6.7,target_gap_leads,
target_gap_leads.source_family,state_archive_catalogue,1088,5.1,target_gap_leads,
target_gap_leads.source_family,broadcast_catalogue,420,1.97,target_gap_leads,
target_gap_leads.source_family,structured_endpoint,210,0.98,target_gap_leads,
target_gap_leads.source_family,national_archive_catalogue,136,0.64,target_gap_leads,
target_gap_leads.source_family,national_library_catalogue,68,0.32,target_gap_leads,
target_gap_leads.source_family,RSS_ATOM,67,0.31,target_gap_leads,
target_gap_leads.source_family,ATOM_AtoM,63,0.3,target_gap_leads,
target_gap_leads.source_family,controlled_supernatural,41,0.19,target_gap_leads,
target_gap_leads.source_family,WORDPRESS_REST,6,0.03,target_gap_leads,
target_gap_leads.source_family,OMEKA_API,4,0.02,target_gap_leads,
target_gap_leads.source_family,OAI_PMH,2,0.01,target_gap_leads,
