dimension,value,count,share_pct,source,notes
target_gap_leads.evidence_gap,missing_item_url;source_route_task,6000,28.11,target_gap_leads,
target_gap_leads.evidence_gap,missing_date;missing_term;field_mapping_sparse,5908,27.68,target_gap_leads,
target_gap_leads.evidence_gap,metadata_only_layer;missing_term,3417,16.01,target_gap_leads,
target_gap_leads.evidence_gap,missing_date;missing_term,2786,13.05,target_gap_leads,
target_gap_leads.evidence_gap,missing_date;missing_term;source_unknown,1253,5.87,target_gap_leads,
target_gap_leads.evidence_gap,metadata_only_layer;strict_record_gate_not_met,583,2.73,target_gap_leads,
target_gap_leads.evidence_gap,missing_date;missing_term;field_mapping_sparse;ethics_sensitive,403,1.89,target_gap_leads,
target_gap_leads.evidence_gap,missing_term,226,1.06,target_gap_leads,
target_gap_leads.evidence_gap,missing_date,216,1.01,target_gap_leads,
target_gap_leads.evidence_gap,missing_term;field_mapping_sparse,213,1.0,target_gap_leads,
target_gap_leads.evidence_gap,missing_date;field_mapping_sparse,137,0.64,target_gap_leads,
target_gap_leads.evidence_gap,robots_unknown;field_mapping_sparse;detail_fetch_unavailable;missing_term,46,0.22,target_gap_leads,
target_gap_leads.evidence_gap,strict_gate_incomplete,46,0.22,target_gap_leads,
target_gap_leads.evidence_gap,robots_unknown;detail_fetch_unavailable;missing_term;missing_date,34,0.16,target_gap_leads,
target_gap_leads.evidence_gap,missing_term;field_mapping_sparse;ethics_sensitive,28,0.13,target_gap_leads,
target_gap_leads.evidence_gap,detail_fetch_unavailable;missing_term;missing_date,20,0.09,target_gap_leads,
target_gap_leads.evidence_gap,robots_unknown;field_mapping_sparse;detail_fetch_unavailable;missing_term;missing_date,12,0.06,target_gap_leads,
target_gap_leads.evidence_gap,robots_unknown;detail_fetch_unavailable;missing_term,8,0.04,target_gap_leads,
target_gap_leads.evidence_gap,missing_term;source_unknown,7,0.03,target_gap_leads,
